id	month	year	mean_proportion_wet	reproductive_status	offshore
26131	4	2013	0.00579668209876543	n	NA
26131	5	2013	0.0503098864994026	n	NA
26131	8	2013	0.115229241338112	n	NA
26131	10	2013	0.00401732377538829	n	NA
26131	9	2013	0.0848186728395062	n	NA
26068	1	2013	0	c	no
26068	2	2013	0	c	no
26068	3	2013	0	c	no
26068	4	2013	0	n	no
23980	12	2013	0.000291218637992832	n	no
23980	9	2013	0.150345065562457	n	no
23980	7	2013	0.273032407407407	n	no
23980	6	2013	0.129070216049383	n	no
23980	8	2013	0.128461021505376	n	no
23980	4	2013	0.012659548773213	n	no
23980	10	2013	0.00316233572281959	n	no
23980	5	2013	0.06451986260454	n	no
23980	11	2013	0.000478395061728395	n	no
23937	2	2013	0	n	no
23937	1	2013	0	n	no
23937	3	2013	0	n	no
23937	4	2013	0.000889376218323587	c	no
23882	11	2013	0.0419212962962963	y	no
23882	9	2013	0.124224537037037	y	no
23882	5	2013	0.00318847072879331	y	no
23882	12	2013	0.115908751493429	y	no
23882	10	2013	0.100903524492234	y	no
23882	4	2013	0.00651041666666667	y	no
23882	8	2013	0.080421146953405	y	no
23882	6	2013	0.00511574074074074	y	no
23882	7	2013	0.146987007168459	y	no
23881	10	2013	0.111618876941458	n	no
23881	11	2013	0.00145833333333333	n	no
23881	7	2013	0.11455719832736	n	no
23881	8	2013	0.131727897252091	n	no
23881	6	2013	0.0757600308641975	n	no
23881	9	2013	0.132226080246914	n	no
23881	12	2013	0	n	no
23881	5	2013	0.0154047192353644	n	no
23881	4	2013	0.00336328976034858	n	no
23694	3	2013	0	NA	no
23694	4	2013	0.00179012345679012	NA	no
23694	5	2013	0.00161290322580645	NA	no
23694	1	2013	0	NA	no
23694	2	2013	0	NA	no
23694	8	2013	0	NA	no
23694	7	2013	0.0107078853046595	NA	no
23694	6	2013	0.0149884259259259	NA	no
7951	4	2013	0.00237991898148148	n	no
7951	8	2013	6.23219373219373e-05	n	no
7951	6	2013	0.0330246913580247	n	no
7951	5	2013	0.00955421146953405	n	no
7951	7	2013	0.00978569295101553	n	no
26102	9	2012	2.57201646090535e-05	n	no
26102	8	2012	0.00710125448028674	n	no
26102	6	2012	0.0512114197530864	n	no
26102	7	2012	0.0732937574671446	n	no
26102	5	2012	0.0556870193683006	n	no
26084	5	2012	0.0439852150537634	n	no
26084	7	2012	0.0968077956989247	n	no
26084	8	2012	0.0261088709677419	n	no
26084	4	2012	0.0178915895061728	n	no
26084	6	2012	0.0388117283950617	n	no
26084	9	2012	0.0324884259259259	n	no
26068	4	2012	0.00227920227920228	c	no
26068	6	2012	0.0283912037037037	c	no
26068	8	2012	0.00566382915173238	c	no
26068	9	2012	0.00954475308641975	c	no
26068	10	2012	0.0309998506571087	c	no
26068	5	2012	0.0118988948626045	c	no
26068	7	2012	0.0585685483870968	c	no
26068	12	2012	0	c	no
26068	11	2012	0.0191280864197531	c	no
26033	5	2012	0.0238575268817204	c	NA
26033	6	2012	0.0486342592592593	c	NA
26033	7	2012	0.0248095878136201	c	NA
26033	8	2012	0	c	NA
26033	9	2012	0	c	NA
26033	1	2012	0	NA	NA
26033	4	2012	0.0258873456790123	c	NA
26033	3	2012	0.000993130227001195	NA	NA
26033	2	2012	0	NA	NA
26018	4	2012	0.00662158869395712	y	yes
26018	2	2012	0.00454182630906769	c	yes
26018	3	2012	0.00894190561529271	c	yes
26018	1	2012	0.0092741935483871	c	yes
23937	1	2012	0.0376381421744325	n	no
23937	2	2012	0.0858756385696041	n	no
23937	7	2012	0.313915023894863	NA	no
23937	3	2012	0.0264486260454002	n	no
23937	10	2012	0.0314665471923536	n	no
23937	8	2012	0.189743876941458	NA	no
23937	6	2012	0.142789351851852	NA	no
23937	11	2012	0.0416898148148148	n	no
23937	9	2012	0.00471064814814815	n	no
23937	5	2012	0.0128472222222222	NA	no
23937	4	2012	0.00733796296296296	NA	no
23937	12	2012	0	n	no
23719	4	2012	4.50102880658436e-05	c	no
23719	2	2012	0	NA	no
23719	3	2012	0	NA	no
23719	1	2012	0	NA	no
23694	2	2012	0	NA	no
23694	3	2012	1.86678614097969e-05	NA	no
23694	9	2012	0.00263503086419753	NA	no
23694	10	2012	0.000563769414575866	NA	no
23694	8	2012	0.00114994026284349	NA	no
23694	4	2012	0.00451774691358025	NA	no
23694	5	2012	0.0127277479091995	NA	no
23694	1	2012	0	NA	no
23694	12	2012	0	NA	no
23694	6	2012	0.0196836419753086	NA	no
23694	7	2012	0.0144190561529271	NA	no
23694	11	2012	3.85802469135802e-06	NA	no
23688	4	2012	0.00394316730523627	y	no
23688	2	2012	0.00651340996168582	c	no
23688	3	2012	0.00726179808841099	c	no
23688	8	2012	0	y	no
23688	1	2012	0.0105212066905615	c	no
23688	6	2012	0	y	no
23688	7	2012	0	y	no
23688	5	2012	0	y	no
23688	9	2012	0	y	no
23393	8	2012	0	c	no
23393	7	2012	0.00436454599761051	c	no
23393	9	2012	0.000126763668430335	c	no
23393	5	2012	0.00327434289127838	c	no
23393	6	2012	0.00744984567901235	c	no
23347	9	2012	0.000121252204585538	n	no
23347	4	2012	0	n	no
23347	7	2012	0.00810931899641577	n	no
23347	8	2012	0.000940860215053763	n	no
23347	6	2012	0.00588734567901235	n	no
23347	5	2012	0.00228494623655914	n	no
7951	4	2012	0.0253840488215488	n	no
7951	9	2012	0.0307374338624339	n	no
7951	8	2012	0.0359505675029869	n	no
7951	7	2012	0.0868130227001195	n	no
7951	6	2012	0.083545524691358	n	no
7951	5	2012	0.0174133811230585	n	no
26033	5	2011	0.0379965651135006	NA	NA
26033	6	2011	0.0391898148148148	NA	NA
26033	7	2011	0.123024940262843	NA	NA
26033	8	2011	0.0207175925925926	NA	NA
26033	9	2011	0	NA	NA
26033	10	2011	0	NA	NA
26033	1	2011	0.0144825268817204	c	NA
26033	2	2011	0.00903191137566138	c	NA
26033	11	2011	0	NA	NA
26033	12	2011	0	NA	NA
26033	4	2011	0.0202777777777778	NA	NA
26033	3	2011	0.0118316905615293	c	NA
26018	7	2011	0.0603681302270012	c	yes
26018	10	2011	0.0191009557945042	c	yes
26018	8	2011	0.0315374850657109	c	yes
26018	5	2011	0.00625	c	yes
