id	dtime	proportion_wet	ice_concentration
23500	2015-05-15T20:00:00Z	0	99
23500	2015-05-15T22:00:00Z	0	99
23500	2015-05-16T00:00:00Z	0	99
23500	2015-05-16T02:00:00Z	0	99
23500	2015-05-16T04:00:00Z	0.01236	99
23500	2015-05-16T06:00:00Z	0.01486	99
23500	2015-05-16T08:00:00Z	0.038195	99
23500	2015-05-16T10:00:00Z	0	99
23500	2015-05-16T12:00:00Z	0	99
23500	2015-05-16T14:00:00Z	0	99
23500	2015-05-16T16:00:00Z	0	99
23500	2015-05-16T18:00:00Z	0	99
23500	2015-05-16T20:00:00Z	0	100
23500	2015-05-16T22:00:00Z	0	100
23500	2015-05-17T00:00:00Z	0	100
23500	2015-05-17T02:00:00Z	0.008055	100
23500	2015-05-17T04:00:00Z	0	100
23500	2015-05-17T06:00:00Z	0	100
23500	2015-05-17T08:00:00Z	0	100
23500	2015-05-17T10:00:00Z	0.04972	100
23500	2015-05-17T12:00:00Z	0.014165	100
23500	2015-05-17T14:00:00Z	0.02639	100
23500	2015-05-17T16:00:00Z	0.053195	100
23500	2015-05-17T18:00:00Z	0.014165	100
23500	2015-05-17T20:00:00Z	0	98
23500	2015-05-17T22:00:00Z	0	100
23500	2015-05-18T00:00:00Z	0	100
23500	2015-05-18T02:00:00Z	0	100
23500	2015-05-18T04:00:00Z	0	100
23500	2015-05-18T06:00:00Z	0	100
23500	2015-05-18T08:00:00Z	0	100
23500	2015-05-18T10:00:00Z	0	100
23500	2015-05-18T12:00:00Z	0	100
23500	2015-05-18T14:00:00Z	0.03986	100
23500	2015-05-18T16:00:00Z	0.01972	100
23500	2015-05-18T18:00:00Z	0.01486	100
23500	2015-05-18T20:00:00Z	0	100
23500	2015-05-18T22:00:00Z	0	100
23500	2015-05-19T00:00:00Z	0	100
23500	2015-05-19T02:00:00Z	0.019445	100
23500	2015-05-19T04:00:00Z	0.00097	100
23500	2015-05-19T06:00:00Z	0.01903	100
23500	2015-05-19T08:00:00Z	0.035695	100
23500	2015-05-19T10:00:00Z	0.0125	100
23500	2015-05-19T12:00:00Z	0.00153	100
23500	2015-05-19T14:00:00Z	0.030835	100
23500	2015-05-19T16:00:00Z	0	100
23500	2015-05-19T18:00:00Z	0.00153	100
23500	2015-05-19T20:00:00Z	0	100
23500	2015-05-19T22:00:00Z	0	100
23500	2015-05-20T00:00:00Z	0	100
23500	2015-05-20T02:00:00Z	0.035415	100
23500	2015-05-20T04:00:00Z	0	100
23500	2015-05-20T06:00:00Z	0	100
