kepoi_name,disposition,pdisposition,orb_period,impact,duration,depth,prad,teq,insol,steff,slogg,srad,right_ascension,declination
K04225.01,FALSE POSITIVE,FALSE POSITIVE,0.960843605,1.143,3.22,141.7,19.15,1904.0,3120.32,5708.0,4.378,1.129,295.55756,46.172241
K04293.01,FALSE POSITIVE,FALSE POSITIVE,4.206109,0.607,5.16,120.0,0.91,999.0,235.01,5480.0,4.522,0.802,298.47058,41.06625
K04295.01,CONFIRMED,CANDIDATE,13.3997555,0.375,3.534,167.3,1.51,886.0,145.65,6401.0,4.388999999999999,1.15,287.7627,43.274429
K04296.01,CANDIDATE,CANDIDATE,2.49385348,0.331,1.414,46.9,0.59,1251.0,579.64,5615.0,4.477,0.85,282.63617,43.3661
K04297.01,FALSE POSITIVE,FALSE POSITIVE,5.93725628,0.351,3.639,115.6,0.86,891.0,148.97,5428.0,4.494,0.799,289.20833999999996,50.615990000000004
K04363.01,CANDIDATE,CANDIDATE,18.22211768,0.973,2.044,2318.0,7.45,620.0,34.99,5162.0,4.4110000000000005,0.958,294.36514,46.501759
K04364.01,CONFIRMED,CANDIDATE,4.56383697,0.365,2.271,201.8,1.22,980.0,218.18,5408.0,4.496,0.861,285.72272000000004,43.009479999999996
K02722.05,CANDIDATE,CANDIDATE,16.5340022,0.525,4.063,89.2,1.17,819.0,106.21,6052.0,4.285,1.202,288.37023999999997,43.35461
K04365.01,FALSE POSITIVE,FALSE POSITIVE,55.119831,0.6049,4.703,114.5,1.68,622.0,35.48,6297.0,4.155,1.506,294.05481000000003,39.845249
K04365.02,FALSE POSITIVE,FALSE POSITIVE,25.6416117,0.5744,5.5,126.4,1.76,803.0,98.5,6297.0,4.155,1.506,294.05481000000003,39.845249
K04439.01,FALSE POSITIVE,FALSE POSITIVE,1.33258455,1.141,5.77,152.7,15.89,1680.0,1884.66,6039.0,4.493,0.951,295.3027,46.772018
K04442.01,CANDIDATE,CANDIDATE,13.9482197,0.197,7.686,119.4,2.53,1063.0,301.8,5529.0,3.8080000000000003,2.346,284.35312000000005,48.740210999999995
K04443.01,CANDIDATE,CANDIDATE,5.67577999,0.91,3.554,51.2,1.22,1357.0,802.11,6681.0,4.2330000000000005,1.438,288.56729,41.09013
