P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. SFlux Mean (EU),P. Teq Mean (K),P. Mag,P. Period (days),P. Eccentricity,S. Mass (SU),S. Radius (SU),S. Teff (K),S. RA (hrs),S. DEC (deg),S. No. Planets,S. No. Planets HZ,P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Year
11.88,2.07,1.34,2.77,101.2896,808.2,-23.8,13.72,0.0,1.04,1.11,5865.0,19.8046,46.8343,1,0,-2.28,-0.13,-0.1,0.3,0.26,0,0,1,2016.0
3.82,2.71,0.19,0.52,28.529,588.8,-23.0,46.41,0.0,1.15,1.24,6170.0,19.8173,46.8432,1,0,-2.12,2.45,-0.78,0.23,0.26,0,0,1,2016.0
5.92,3.11,0.2,0.61,995.5987,1431.1,-27.18,1.26,0.0,0.86,0.82,5281.0,19.2219,47.3816,1,0,-2.38,2.58,-1.02,0.21,0.21,0,0,1,2016.0
8.62,3.52,0.2,0.7,37.88701,632.1,-23.88,24.54,0.0,1.01,1.01,5808.0,19.4132,47.3078,1,0,-2.16,2.73,-0.53,0.22,0.22,0,0,1,2016.0
4.65,1.62,1.09,1.76,232.3877,994.7,-24.18,1.29,0.0,0.63,0.6,4103.0,18.8656,47.5786,1,0,-2.21,-0.15,-0.69,0.3,0.28,0,0,1,2016.0
26.81,2.5,1.72,4.3,18.35091,527.3,-22.35,17.67,0.0,0.79,0.74,4870.0,19.1739,47.5097,1,0,-1.98,-0.11,1.03,0.31,0.3,0,0,1,2016.0
3.19,2.56,0.19,0.49,38.31463,633.8,-23.21,9.27,0.0,0.75,0.71,4779.0,19.2092,47.7245,1,0,-2.11,2.41,-0.87,0.23,0.26,0,0,1,2016.0
5.66,3.07,0.2,0.6,49.11423,674.4,-23.87,6.03,0.0,0.7,0.67,4483.0,18.9141,47.8633,1,0,-2.12,2.56,-0.72,0.23,0.23,0,0,1,2016.0
14.46,2.17,1.41,3.06,14.28801,495.3,-21.77,21.68,0.0,0.79,0.74,4897.0,19.3643,47.9292,1,0,-1.93,-0.13,0.51,0.33,0.33,0,0,1,2016.0
3.33,2.6,0.19,0.49,156.6182,901.3,-24.77,5.0,0.0,0.86,0.82,5264.0,19.8539,47.9467,1,0,-2.29,2.42,-1.0,0.22,0.23,0,0,1,2016.0
3.57,2.65,0.19,0.51,771.9427,1342.9,-26.56,2.53,0.0,1.01,1.02,5754.0,19.2503,48.2262,1,0,-2.4,2.44,-1.12,0.22,0.23,0,0,1,2016.0
3.33,2.6,0.19,0.49,21.67717,549.7,-22.61,16.01,0.0,0.79,0.74,4913.0,19.8017,48.4786,1,0,-2.02,2.42,-0.8,0.24,0.28,0,0,1,2016.0
22.16,2.4,1.61,3.86,409.7102,1146.2,-25.64,4.5,0.0,1.03,1.05,5887.0,19.8971,48.7916,1,0,-2.38,-0.12,0.01,0.3,0.24,0,0,1,2016.0
20.99,4.73,0.2,0.94,10.60697,459.8,-23.14,41.44,0.0,0.91,0.87,5327.0,19.7037,49.0173,1,0,-1.87,3.29,0.17,0.21,0.26,0,0,1,2016.0
3.77,2.7,0.19,0.52,83.69456,770.6,-24.17,8.35,0.0,0.87,0.82,5352.0,19.0333,49.2773,1,0,-2.24,2.45,-0.91,0.23,0.24,0,0,1,2016.0
22.36,4.83,0.2,0.96,617.5875,1270.0,-27.62,4.13,0.0,1.15,1.2,6038.0,19.4624,49.254,1,0,-2.41,3.34,-0.56,0.19,0.16,0,0,1,2016.0
,13.17,,,617.5572,1270.0,-29.81,2.82,0.0,0.99,0.99,5709.0,19.801,49.2253,1,0,-2.39,,,,0.07,0,0,1,2016.0
3.72,2.69,0.19,0.51,310.6443,1069.6,-25.59,4.28,0.0,0.97,0.95,5624.0,19.6177,49.3141,1,0,-2.35,2.44,-1.03,0.22,0.23,0,0,1,2016.0
26.81,2.5,1.72,4.3,15.89657,508.7,-22.19,38.38,0.0,0.95,0.92,5627.0,19.4481,49.4809,1,0,-1.98,-0.11,1.08,0.31,0.31,0,0,1,2016.0
55.96,6.53,0.2,1.31,256.0928,1019.2,-27.32,3.73,0.0,0.88,0.84,5355.0,19.3857,50.0541,1,0,-2.33,4.22,0.04,0.17,0.13,0,0,1,2016.0
5.4,1.69,1.12,1.89,112.547,829.8,-23.47,2.24,0.0,0.6,0.57,4192.0,19.0117,50.1498,1,0,-2.17,-0.15,-0.53,0.31,0.28,0,0,1,2016.0
24.12,2.44,1.66,4.05,297.3402,1057.9,-25.33,2.34,0.0,0.79,0.75,4945.0,19.5889,50.2304,1,0,-2.3,-0.11,0.14,0.3,0.24,0,0,1,2016.0
5.46,3.04,0.2,0.59,6.299468,403.6,-21.6,11.6,0.0,0.51,0.49,3701.0,19.7481,50.2872,1,0,-1.65,2.55,-0.44,0.25,0.37,0,0,1,2016.0
30.87,5.38,0.2,1.07,200.0233,958.1,-26.62,6.58,0.0,1.0,0.99,5723.0,19.3399,50.3216,1,0,-2.33,3.61,-0.23,0.19,0.15,0,0,1,2016.0
26.99,5.14,0.2,1.02,133.2021,865.5,-26.08,7.28,0.0,0.94,0.91,5520.0,19.697,50.4946,1,0,-2.29,3.49,-0.22,0.19,0.16,0,0,1,2016.0
5.34,3.01,0.2,0.59,53.913019999999996,690.3,-23.93,12.39,0.0,0.87,0.84,5403.0,19.7348,50.5678,1,0,-2.19,2.54,-0.75,0.23,0.23,0,0,1,2016.0
23.12,2.42,1.63,3.95,578.991,1249.7,-26.04,3.69,0.0,1.08,1.11,5890.0,19.4415,50.6182,1,0,-2.4,-0.11,-0.04,0.29,0.24,0,0,1,2016.0
5.72,3.08,0.2,0.6,12.70332,481.0,-22.4,26.39,0.0,0.8,0.76,5021.0,19.2933,51.2503,1,0,-1.91,2.57,-0.53,0.24,0.3,0,0,1,2016.0
82.66,7.37,0.21,1.52,63.83681,720.1,-26.07,12.61,0.0,0.92,0.89,5559.0,19.2741,51.7374,1,0,-2.22,4.68,0.68,0.16,0.13,0,0,1,2016.0
9.72,1.97,1.27,2.5,663.6797,1293.1,-25.74,2.54,0.0,0.96,0.95,5703.0,19.4293,37.9057,1,0,-2.39,-0.14,-0.54,0.29,0.26,0,0,1,2016.0
7.49,3.36,0.2,0.66,133.1584,865.4,-25.15,6.77,0.0,0.89,0.86,5493.0,19.3914,38.2736,1,0,-2.29,2.67,-0.75,0.22,0.21,0,0,1,2016.0
8.62,3.52,0.2,0.7,14.546510000000001,497.5,-22.84,20.51,0.0,0.77,0.73,4841.0,19.2877,39.1533,1,0,-1.93,2.73,-0.37,0.23,0.27,0,0,1,2016.0
243.48,9.76,0.26,2.56,380.9298,1125.5,-28.63,3.9,0.0,0.98,0.96,5715.0,19.6437,39.3084,1,0,-2.37,6.1,1.15,0.13,0.09,0,0,1,2016.0
4.68,2.89,0.19,0.56,28.43171,588.3,-23.14,22.37,0.0,0.91,0.88,5518.0,19.6474,39.5217,1,0,-2.1,2.5,-0.72,0.23,0.26,0,0,1,2016.0
41.91,5.95,0.2,1.19,234.5362,997.0,-27.02,7.75,0.0,1.11,1.16,5913.0,19.6327,39.7714,1,0,-2.35,3.91,-0.1,0.18,0.14,0,0,1,2016.0
12.15,2.08,1.34,2.8,10.45013,458.1,-21.33,8.11,0.0,0.53,0.5,3715.0,19.2541,40.0334,1,0,-1.79,-0.13,0.45,0.35,0.37,0,0,1,2016.0
5.85,3.1,0.2,0.61,26.71875,579.2,-23.23,21.81,0.0,0.9,0.86,5440.0,19.6518,40.1537,1,0,-2.08,2.57,-0.63,0.23,0.25,0,0,1,2016.0
301.2,10.17,0.29,2.91,21.65631,549.6,-25.59,15.38,0.0,0.76,0.72,4881.0,18.8836,40.3582,1,0,-2.02,6.39,2.76,0.12,0.13,0,0,1,2016.0
4.24,2.8,0.19,0.54,193.1205,949.7,-25.16,6.37,0.0,0.97,0.95,5700.0,19.41,40.4205,1,0,-2.33,2.48,-0.96,0.22,0.22,0,0,1,2016.0
187.63,9.21,0.24,2.21,275.6076,1038.0,-28.15,3.04,0.0,0.84,0.8,5181.0,19.9544,40.8224,1,0,-2.32,5.75,0.98,0.14,0.1,0,0,1,2016.0
46.17,6.14,0.2,1.23,472.5647,1187.8,-27.85,4.19,0.0,1.06,1.08,5903.0,19.5664,41.1376,1,0,-2.39,4.01,-0.19,0.18,0.13,0,0,1,2016.0
13.94,4.12,0.2,0.82,308.5919,1067.8,-26.52,3.71,0.0,0.92,0.88,5513.0,18.9243,41.3465,1,0,-2.35,3.0,-0.64,0.21,0.18,0,0,1,2016.0
9.85,3.67,0.2,0.73,48.42085,672.1,-24.25,16.33,0.0,0.94,0.91,5612.0,19.234,41.3018,1,0,-2.19,2.8,-0.51,0.22,0.21,0,0,1,2016.0
,14.1,,,15.719120000000002,507.3,-25.95,27.81,0.0,0.81,0.78,5330.0,19.7925,41.3961,1,0,-1.97,,,,0.13,0,0,1,2016.0
42.64,5.98,0.2,1.19,6.570382,407.9,-23.13,80.87,0.0,0.98,0.96,5692.0,19.1436,41.5658,1,0,-1.71,3.93,0.83,0.19,0.28,0,0,1,2016.0
4.4,2.83,0.19,0.55,65.0174,723.4,-24.0,10.36,0.0,0.88,0.84,5343.0,19.2663,41.6333,1,0,-2.21,2.49,-0.83,0.23,0.24,0,0,1,2016.0
183.81,9.16,0.24,2.19,69.50486,735.6,-26.63,10.53,0.0,0.9,0.86,5419.0,19.5919,41.6618,1,0,-2.22,5.72,1.46,0.14,0.11,0,0,1,2016.0
119.5,8.2,0.22,1.78,650.6038,1286.7,-28.83,4.58,0.0,1.18,1.27,6185.0,19.9458,41.7427,1,0,-2.42,5.15,0.33,0.15,0.1,0,0,1,2016.0
3.38,2.61,0.19,0.5,374.7512,1120.9,-25.73,3.76,0.0,0.97,0.96,5616.0,18.8878,41.8371,1,0,-2.36,2.42,-1.07,0.22,0.23,0,0,1,2016.0
,13.16,,,10.72202,461.0,-25.38,41.41,0.0,0.87,0.84,5394.0,19.4507,41.9441,1,0,-1.87,,,,0.16,0,0,1,2016.0
2.3,1.33,0.97,1.29,362.8238,1111.9,-24.23,2.24,0.0,0.8,0.76,5099.0,19.3338,42.1165,1,0,-2.32,-0.16,-0.97,0.28,0.29,0,0,1,2016.0
4.86,2.92,0.19,0.57,497.2764,1203.1,-26.29,3.17,0.0,0.97,0.96,5692.0,19.5878,42.2125,1,0,-2.38,2.51,-1.01,0.22,0.22,0,0,1,2016.0
4.86,2.92,0.19,0.57,26.25807,576.7,-23.08,16.09,0.0,0.8,0.77,5071.0,19.4737,42.3803,1,0,-2.06,2.51,-0.69,0.23,0.26,0,0,1,2016.0
8.1,1.88,1.22,2.29,282.5348,1044.5,-24.71,4.35,0.0,0.94,0.91,5611.0,19.4643,42.6961,1,0,-2.35,-0.14,-0.49,0.29,0.27,0,0,1,2016.0
7.81,3.4,0.2,0.67,18.51807,528.5,-23.03,23.59,0.0,0.84,0.8,5222.0,19.8307,42.8399,1,0,-2.0,2.69,-0.46,0.23,0.26,0,0,1,2016.0
25.7,2.48,1.69,4.19,180.4501,933.8,-24.82,7.41,0.0,0.98,0.99,5785.0,19.7101,43.0298,1,0,-2.33,-0.11,0.31,0.3,0.24,0,0,1,2016.0
233.03,9.67,0.26,2.49,220.4341,981.7,-28.01,8.1,0.0,1.09,1.12,5995.0,18.8466,43.2727,1,0,-2.35,6.04,1.3,0.13,0.09,0,0,1,2016.0
10.5,3.75,0.2,0.75,136.0564,870.1,-25.42,10.01,0.0,1.04,1.04,5871.0,18.9087,43.3794,1,0,-2.31,2.83,-0.63,0.21,0.19,0,0,1,2016.0
4.74,2.9,0.19,0.56,48.24831,671.5,-23.73,10.37,0.0,0.83,0.78,5099.0,19.3595,43.3639,1,0,-2.16,2.51,-0.78,0.23,0.24,0,0,1,2016.0
23.12,2.42,1.63,3.95,230.8795,993.1,-25.04,4.41,0.0,0.88,0.85,5485.0,19.531,43.3464,1,0,-2.33,-0.11,0.17,0.3,0.24,0,0,1,2016.0
137.27,8.51,0.22,1.89,294.6017,1055.5,-28.05,5.01,0.0,0.99,0.98,5777.0,19.7024,43.8845,1,0,-2.36,5.33,0.66,0.15,0.1,0,0,1,2016.0
130.63,8.4,0.22,1.85,259.1008,1022.1,-27.88,4.71,0.0,0.95,0.92,5618.0,19.909,44.1709,1,0,-2.34,5.26,0.66,0.15,0.1,0,0,1,2016.0
3.52,2.64,0.19,0.5,114.1806,832.8,-24.46,5.39,0.0,0.82,0.78,5075.0,18.962,44.4805,1,0,-2.25,2.43,-0.96,0.22,0.24,0,0,1,2016.0
3.47,2.63,0.19,0.5,457.1241,1178.0,-25.97,4.09,0.0,1.03,1.05,5863.0,19.3509,44.5564,2,0,-2.39,2.43,-1.08,0.22,0.23,0,0,1,2016.0
4.34,2.82,0.19,0.55,6.031898,399.3,-21.4,105.14,0.0,1.03,1.05,5863.0,19.3509,44.5564,2,0,-1.67,2.48,-0.53,0.25,0.39,0,0,1,2016.0
,12.19,,,283.127,1045.1,-28.79,4.08,0.0,0.92,0.89,5539.0,18.9887,44.6581,1,0,-2.34,,,,0.08,0,0,1,2016.0
7.04,3.29,0.2,0.65,328.7315,1084.8,-26.1,3.31,0.0,0.9,0.86,5437.0,19.5637,44.7928,1,0,-2.35,2.64,-0.87,0.22,0.2,0,0,1,2016.0
389.88,10.62,0.33,3.46,11.01998,464.2,-24.95,39.64,0.0,0.88,0.84,5363.0,18.9318,44.8116,1,0,-1.88,6.74,3.71,0.11,0.17,0,0,1,2016.0
6.82,3.26,0.2,0.64,26.7433,579.4,-23.34,21.8,0.0,0.88,0.85,5452.0,19.4478,44.8873,1,0,-2.08,2.63,-0.57,0.23,0.24,0,0,1,2016.0
3.06,2.53,0.19,0.48,184.3921,938.8,-24.89,5.15,0.0,0.89,0.86,5441.0,19.6565,45.0344,1,0,-2.31,2.4,-1.04,0.22,0.24,0,0,1,2016.0
7.34,3.34,0.2,0.66,209.2763,969.0,-25.63,5.74,0.0,0.95,0.93,5660.0,19.4062,45.1155,1,0,-2.33,2.66,-0.81,0.22,0.2,0,0,1,2016.0
9.05,3.57,0.2,0.71,437.9402,1165.5,-26.59,3.17,0.0,0.94,0.91,5633.0,19.0907,45.4143,1,0,-2.37,2.76,-0.83,0.21,0.19,0,0,1,2016.0
187.63,9.21,0.24,2.21,212.2148,972.4,-27.86,6.49,0.0,1.0,1.01,5726.0,19.037,45.5789,1,0,-2.34,5.75,1.07,0.14,0.1,0,0,1,2016.0
,13.87,,,499.7977,1204.6,-29.69,3.86,0.0,1.03,1.06,5849.0,19.7595,45.5686,1,0,-2.39,,,,0.07,0,0,1,2016.0
14.46,2.17,1.41,3.06,6.9240639999999996,413.3,-20.98,9.47,0.0,0.49,0.46,3631.0,18.9155,45.9588,2,0,-1.68,-0.13,0.72,0.35,0.41,0,0,1,2016.0
1.92,1.27,0.95,1.2,161.262,907.9,-23.23,0.89,0.0,0.49,0.46,3631.0,18.9155,45.9588,2,0,-2.15,-0.16,-0.94,0.3,0.3,0,0,1,2016.0
4.34,2.82,0.19,0.55,27.94848,585.8,-23.07,20.83,0.0,0.9,0.86,5418.0,19.5346,45.9147,1,0,-2.09,2.48,-0.74,0.23,0.26,0,0,1,2016.0
8.96,3.56,0.2,0.71,114.5913,833.6,-25.12,6.1,0.0,0.85,0.78,5326.0,19.803,46.0274,1,0,-2.27,2.75,-0.67,0.22,0.2,0,0,1,2016.0
4.98,2.95,0.19,0.57,43.72612,655.1,-23.65,11.52,0.0,0.85,0.8,5107.0,18.9793,46.1722,1,0,-2.14,2.52,-0.75,0.23,0.24,0,0,1,2016.0
4.86,2.92,0.19,0.57,228.149,990.1,-25.44,3.6,0.0,0.86,0.81,5217.0,19.0261,46.1809,1,0,-2.31,2.51,-0.94,0.22,0.22,0,0,1,2016.0
26.81,2.5,1.72,4.3,19.62537,536.2,-22.42,24.59,0.0,0.86,0.82,5327.0,19.1713,46.5679,1,0,-2.02,-0.11,1.01,0.31,0.29,0,0,1,2016.0
7.19,3.32,0.2,0.65,67.35654,729.9,-24.38,12.53,0.0,0.93,0.9,5601.0,19.3379,46.5791,1,0,-2.23,2.65,-0.68,0.22,0.22,0,0,1,2016.0
18.98,4.57,0.2,0.91,301.1606,1061.3,-26.72,3.58,0.0,0.91,0.87,5438.0,19.0988,46.6925,1,0,-2.34,3.21,-0.52,0.2,0.16,0,0,1,2016.0
5.1,2.97,0.19,0.58,341.4161,1095.1,-25.91,7.04,0.0,1.16,1.24,6129.0,19.2954,46.6175,1,0,-2.39,2.53,-0.96,0.22,0.21,0,0,1,2016.0
6.68,3.24,0.2,0.64,38.81477,635.9,-23.73,8.36,0.0,0.76,0.71,4642.0,18.9244,46.7896,1,0,-2.1,2.62,-0.63,0.23,0.23,0,0,1,2016.0
1.65,1.21,0.93,1.12,341.8834,1095.5,-23.95,3.18,0.0,0.94,0.85,5486.0,19.7049,42.8064,1,0,-2.35,-0.17,-1.05,0.28,0.29,0,0,1,2016.0
4.65,1.62,1.09,1.76,74.77184,749.2,-22.94,12.06,0.0,0.94,0.93,5594.0,19.7664,47.1829,1,0,-2.24,-0.15,-0.53,0.3,0.29,0,0,1,2016.0
14.15,2.16,1.4,3.03,135.3814,869.0,-24.21,9.93,0.0,1.04,1.04,5849.0,19.4333,37.0593,1,0,-2.31,-0.13,-0.05,0.3,0.26,0,0,1,2016.0
1.23,1.11,0.9,1.0,352.4746,1103.9,-23.8,3.48,0.0,0.91,0.93,5418.0,19.3788,37.3551,1,0,-2.35,-0.17,-1.12,0.28,0.3,0,0,1,2016.0
28.98,5.26,0.2,1.05,9.365882000000001,445.7,-23.24,35.62,0.0,0.82,0.78,5096.0,19.2278,41.0298,1,0,-1.82,3.56,0.42,0.2,0.25,0,0,1,2016.0
3.02,2.52,0.19,0.48,232.7558,995.1,-25.14,7.41,0.0,1.07,1.1,5934.0,19.4842,37.237,1,0,-2.35,2.4,-1.06,0.22,0.24,0,0,1,2016.0
5.85,3.1,0.2,0.61,21.674220000000002,549.7,-23.0,17.32,0.0,0.79,0.75,5009.0,19.9931,43.9039,1,0,-2.02,2.57,-0.6,0.23,0.26,0,0,1,2016.0
5.66,3.07,0.2,0.6,233.485,995.9,-25.57,9.43,0.0,1.15,1.23,6160.0,19.2731,44.0044,2,0,-2.36,2.56,-0.9,0.22,0.21,0,0,1,2016.0
4.65,1.62,1.09,1.76,711.2963,1315.7,-25.4,4.09,0.0,1.15,1.23,6160.0,19.2731,44.0044,2,0,-2.42,-0.15,-0.83,0.28,0.28,0,0,1,2016.0
24.64,2.45,1.67,4.09,33.77377,614.2,-22.97,17.44,0.0,0.87,0.84,5387.0,19.6563,44.0777,1,0,-2.12,-0.11,0.74,0.31,0.27,0,0,1,2016.0
4.29,2.81,0.19,0.54,29.4776,593.6,-23.12,18.83,0.0,0.87,0.83,5373.0,19.4845,37.9557,1,0,-2.1,2.48,-0.75,0.23,0.26,0,0,1,2016.0
8.48,1.9,1.23,2.34,44.36656,657.5,-22.72,5.75,0.0,0.68,0.65,4346.0,19.4602,37.9023,1,0,-2.09,-0.14,-0.14,0.32,0.29,0,0,1,2016.0
10.4,2.0,1.29,2.59,91.76219,788.5,-23.62,14.56,0.0,1.06,1.08,5935.0,19.5503,37.8462,1,0,-2.28,-0.13,-0.16,0.3,0.27,0,0,1,2016.0
6.25,1.76,1.15,2.02,746.5786,1331.7,-25.62,1.27,0.0,0.82,0.77,5043.0,19.7907,41.0973,2,0,-2.35,-0.14,-0.73,0.29,0.27,0,0,1,2016.0
1.86,1.25,0.94,1.18,253.495,1016.6,-23.71,2.85,0.0,0.82,0.77,5043.0,19.7907,41.0973,2,0,-2.3,-0.16,-0.99,0.28,0.29,0,0,1,2016.0
1.27,1.12,0.9,1.01,991.5723,1429.6,-24.95,1.22,0.0,0.82,0.79,5282.0,19.3739,41.2011,1,0,-2.38,-0.17,-1.19,0.27,0.29,0,0,1,2016.0
25.7,2.48,1.69,4.19,231.5749,993.8,-25.09,12.11,0.0,1.16,1.42,6228.0,19.539,41.1354,4,0,-2.37,-0.11,0.25,0.3,0.24,0,0,1,2016.0
5.4,1.69,1.12,1.89,804.7195,1356.9,-25.62,4.76,0.0,1.16,1.42,6228.0,19.539,41.1354,4,0,-2.43,-0.15,-0.79,0.28,0.27,0,0,1,2016.0
12.97,2.12,1.37,2.9,114.8048,833.9,-23.98,20.5,0.0,1.16,1.42,6228.0,19.539,41.1354,4,0,-2.31,-0.13,-0.07,0.3,0.26,0,0,1,2016.0
3.69,1.52,1.04,1.59,389.8634,1132.1,-24.6,8.19,0.0,1.16,1.42,6228.0,19.539,41.1354,4,0,-2.4,-0.15,-0.84,0.28,0.28,0,0,1,2016.0
17.55,2.27,1.49,3.39,20.06878,539.2,-22.24,41.81,0.0,1.04,1.04,5860.0,19.3421,41.3815,1,0,-2.04,-0.12,0.58,0.32,0.3,0,0,1,2016.0
5.59,3.06,0.2,0.6,81.99297,766.6,-24.42,8.7,0.0,0.89,0.85,5322.0,19.1729,44.1794,2,0,-2.23,2.56,-0.79,0.22,0.22,0,0,1,2016.0
3.31,1.48,1.02,1.52,440.4148,1167.1,-24.67,2.47,0.0,0.89,0.85,5322.0,19.1729,44.1794,2,0,-2.35,-0.16,-0.88,0.28,0.28,0,0,1,2016.0
10.88,2.03,1.31,2.65,101.4644,808.6,-23.76,10.13,0.0,0.95,0.93,5706.0,19.3669,44.1436,1,0,-2.28,-0.13,-0.15,0.3,0.27,0,0,1,2016.0
,12.67,,,559.2719,1238.9,-29.62,3.77,0.0,1.06,1.08,5944.0,19.4184,47.3295,1,0,-2.4,,,,0.07,0,0,1,2016.0
1.7,1.22,0.93,1.14,944.5833,1412.4,-25.08,1.2,0.0,0.84,0.8,5166.0,19.4763,47.1574,1,0,-2.37,-0.17,-1.12,0.28,0.29,0,0,1,2016.0
4.77,1.64,1.09,1.78,131.2628,862.3,-23.57,7.34,0.0,0.92,0.89,5557.0,19.8262,47.1646,1,0,-2.29,-0.15,-0.61,0.3,0.28,0,0,1,2016.0
23.62,2.43,1.65,4.0,36.93801,628.1,-23.05,27.67,0.0,1.05,1.06,5901.0,18.879,47.1557,1,0,-2.16,-0.11,0.68,0.31,0.27,0,0,1,2016.0
7.65,3.38,0.2,0.67,336.3765,1091.1,-26.18,6.1,0.0,1.1,1.15,5992.0,19.5456,37.9699,1,0,-2.38,2.68,-0.85,0.21,0.2,0,0,1,2016.0
58.73,6.63,0.2,1.34,2.54264,321.7,-22.32,161.53,0.0,0.96,0.94,5694.0,19.4386,38.0358,1,0,-1.25,4.27,1.48,0.18,0.39,0,0,1,2016.0
6.72,1.79,1.17,2.09,43.22865,653.3,-22.56,11.39,0.0,0.82,0.78,5108.0,19.6077,38.3935,1,0,-2.14,-0.14,-0.27,0.32,0.3,0,0,1,2016.0
4.86,2.92,0.19,0.57,345.5828,1098.5,-25.89,7.43,0.0,1.19,1.28,6186.0,19.5142,38.3582,2,0,-2.39,2.51,-0.98,0.22,0.22,0,0,1,2016.0
6.72,1.79,1.17,2.09,124.3204,850.7,-23.71,15.99,0.0,1.19,1.28,6186.0,19.5142,38.3582,2,0,-2.32,-0.14,-0.45,0.3,0.28,0,0,1,2016.0
18.31,2.3,1.51,3.47,40.249990000000004,641.7,-23.02,18.93,0.0,0.94,0.92,5598.0,19.0994,38.3749,3,0,-2.16,-0.12,0.43,0.31,0.27,0,0,1,2016.0
2.73,1.4,0.99,1.39,304.1496,1063.9,-24.15,4.15,0.0,0.94,0.92,5598.0,19.0994,38.3749,3,0,-2.35,-0.16,-0.9,0.28,0.29,0,0,1,2016.0
7.04,1.81,1.18,2.14,171.3394,921.7,-24.08,8.73,0.0,1.03,1.05,5906.0,19.1629,38.0884,1,0,-2.33,-0.14,-0.47,0.3,0.27,0,0,1,2016.0
7.04,1.81,1.18,2.14,102.1462,809.9,-23.52,12.99,0.0,0.98,1.11,5714.0,19.4282,38.2166,1,0,-2.28,-0.14,-0.39,0.3,0.28,0,0,1,2016.0
2.97,1.43,1.01,1.44,468.3228,1185.2,-24.67,3.75,0.0,1.04,1.01,5850.0,19.3923,38.0576,1,0,-2.39,-0.16,-0.92,0.28,0.28,0,0,1,2016.0
6.26,3.17,0.2,0.62,690.5832,1306.0,-26.82,11.09,0.0,1.57,2.42,6403.0,19.4021,38.212,1,0,-2.43,2.6,-0.98,0.21,0.2,0,0,1,2016.0
1.98,1.28,0.95,1.21,128.367,857.5,-23.0,4.9,0.0,0.83,0.78,5071.0,19.1515,41.6356,1,0,-2.26,-0.16,-0.91,0.29,0.3,0,0,1,2016.0
3.22,1.47,1.02,1.5,27.54818,583.7,-21.63,5.73,0.0,0.58,0.56,4043.0,18.8483,44.3465,1,0,-2.0,-0.16,-0.54,0.32,0.33,0,0,1,2016.0
5.27,1.68,1.11,1.87,185.5934,940.3,-24.0,3.76,0.0,0.81,0.77,5102.0,19.1652,44.2375,1,0,-2.29,-0.15,-0.61,0.3,0.28,0,0,1,2016.0
0.66,0.92,0.85,0.78,11.68929,471.1,-19.67,7.1,0.0,0.46,0.44,3804.0,19.0419,44.3109,1,0,-1.82,-0.18,-0.98,0.33,0.4,0,0,1,2016.0
4.68,2.89,0.19,0.56,37.29291,629.6,-23.44,13.21,0.0,0.81,0.78,5162.0,19.1769,47.4148,1,0,-2.13,2.5,-0.75,0.23,0.25,0,0,1,2016.0
6.46,3.2,0.2,0.63,3.341782,344.5,-21.03,158.69,0.0,0.98,1.01,5867.0,19.2579,47.7594,1,0,-1.4,2.61,-0.25,0.25,0.47,0,0,1,2016.0
0.39,0.78,0.81,0.64,259.4774,1022.5,-22.71,4.29,0.0,0.93,0.89,5521.0,19.4042,47.4848,1,0,-2.34,-0.18,-1.3,0.27,0.29,0,0,1,2016.0
4.2,1.58,1.07,1.68,42.37746,650.0,-22.26,31.59,0.0,1.0,1.32,5674.0,19.728,47.4486,1,0,-2.17,-0.15,-0.49,0.31,0.31,0,0,1,2016.0
,13.01,,,286.4713,1048.1,-28.94,1.97,0.0,0.77,0.71,4739.0,19.4712,38.8423,1,0,-2.28,,,,0.07,0,0,1,2016.0
23.62,2.43,1.65,4.0,4.010683,360.5,-20.63,53.53,0.0,0.81,0.74,4838.0,19.5829,38.9393,1,0,-1.51,-0.11,1.44,0.32,0.48,0,0,1,2016.0
1.98,1.28,0.95,1.21,431.7101,1161.3,-24.33,0.93,0.0,0.65,0.62,4248.0,19.4462,38.5729,1,0,-2.25,-0.16,-1.02,0.29,0.29,0,0,1,2016.0
3.1,2.54,0.19,0.48,270.697,1033.4,-25.32,8.4,0.0,1.16,1.23,6159.0,19.3334,38.5399,1,0,-2.37,2.41,-1.06,0.22,0.23,0,0,1,2016.0
12.97,2.12,1.37,2.9,162.2406,909.3,-24.36,8.64,0.0,1.01,1.02,5870.0,19.7317,38.9467,1,0,-2.33,-0.13,-0.14,0.3,0.26,0,0,1,2016.0
14.46,2.17,1.41,3.06,37.68104,631.2,-22.83,13.73,0.0,0.84,0.8,5208.0,19.1278,38.8722,1,0,-2.13,-0.13,0.26,0.32,0.28,0,0,1,2016.0
5.53,3.05,0.2,0.6,198.6096,956.4,-25.38,14.55,0.0,1.3,1.47,6383.0,19.5731,39.0295,1,0,-2.36,2.55,-0.89,0.22,0.21,0,0,1,2016.0
9.51,1.96,1.26,2.47,139.1164,875.0,-24.03,11.3,0.0,1.09,1.12,5971.0,19.4671,38.8207,1,0,-2.32,-0.14,-0.29,0.3,0.27,0,0,1,2016.0
2.51,1.37,0.98,1.34,354.5896,1105.5,-24.26,4.24,0.0,0.98,0.97,5745.0,19.6811,38.7743,1,0,-2.37,-0.16,-0.94,0.28,0.29,0,0,1,2016.0
