P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. SFlux Mean (EU),P. Teq Mean (K),P. Mag,P. Period (days),P. Eccentricity,S. Mass (SU),S. Radius (SU),S. Teff (K),S. RA (hrs),S. DEC (deg),S. No. Planets,S. No. Planets HZ,P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Year
420.63,11.42,0.28,3.22,499.2668,1204.2,-29.27,2.52,0.01,1.0,0.93,5403.0,6.2742,-21.4531,1,0,-2.36,7.49,1.65,0.11,0.08,0,0,1,2014.0
101.42,11.18,0.07,0.81,42.71117,651.3,-26.54,3.33,0.0,0.57,0.57,3724.0,5.8765,-19.0317,1,0,-2.04,8.52,0.55,0.1,0.1,0,0,1,2014.0
38.15,6.31,0.15,0.96,228.6356,990.7,-27.12,3.19,0.0,0.85,0.81,4985.0,13.9238,-21.2077,1,0,-2.29,4.5,-0.22,0.17,0.13,0,0,1,2015.0
689.93,12.38,0.36,4.5,825.0447,1365.4,-29.99,1.75,0.0,0.87,0.92,5311.0,20.7395,-19.4375,1,0,-2.37,8.52,2.18,0.1,0.07,0,0,1,2014.0
425.4,8.7,0.65,5.62,72.93599,744.4,-26.57,16.25,0.03,1.13,1.09,5846.0,12.8128,-47.6136,1,0,-2.25,4.93,3.22,0.14,0.11,0,0,1,2016.0
105.56,12.58,0.05,0.67,449.9531,1173.4,-29.36,3.55,0.0,1.08,1.02,5695.0,18.6789,-58.4592,1,0,-2.38,9.94,-0.09,0.09,0.07,0,0,1,2016.0
194.9,14.11,0.07,0.98,441.7067,1166.3,-29.6,4.3,0.09,0.99,1.11,5715.0,13.8605,-23.7812,1,0,-2.38,10.56,0.37,0.08,0.07,0,0,1,2016.0
213.66,13.37,0.09,1.19,410.4751,1144.5,-29.4,3.18,0.1,0.93,0.92,5498.0,18.96,-49.1385,1,0,-2.36,9.72,0.55,0.09,0.07,0,0,1,2016.0
207.61,14.01,0.08,1.06,357.2834,1106.3,-29.35,4.61,0.08,1.03,1.07,5670.0,9.0064,-54.8932,1,0,-2.36,10.38,0.51,0.09,0.07,0,0,1,2016.0
378.98,13.78,0.14,2.0,694.1061,1306.1,-30.04,2.55,0.08,1.06,1.02,5659.0,19.6422,-55.33,1,0,-2.39,9.72,1.07,0.09,0.07,0,0,1,2016.0
5.95,1.74,1.14,1.98,43.067170000000004,651.2,-22.49,14.03,0.11,0.59,0.79,5150.0,5.7422,-70.1436,3,0,-2.14,-0.15,-0.33,0.32,0.29,0,0,1,2011.0
7.09,1.82,1.18,2.15,50.79233,680.1,-22.76,13.37,0.01,0.92,0.78,5713.0,6.0092,-56.1619,1,0,-2.2,-0.14,-0.27,0.31,0.28,0,0,1,2013.0
22.79,4.86,0.2,0.97,378.6832,1123.6,-27.1,4.08,0.04,0.99,1.01,5675.0,6.6025,-27.6222,2,0,-2.37,3.35,-0.48,0.19,0.22,0,0,1,2008.0
111.28,8.04,0.21,1.72,20.226470000000003,540.0,-25.0,59.9,0.05,1.2,1.25,6159.0,7.005,-5.3669,2,0,-2.04,5.05,1.36,0.15,0.21,0,0,1,2013.0
124.0,11.87,0.07,0.88,175.077,926.7,-28.21,2.82,0.02,0.8,0.68,4841.0,7.6558,-78.2789,1,0,-2.26,8.93,0.32,0.1,0.08,0,0,1,2005.0
158.97,8.84,0.23,2.03,153.2553,896.4,-27.42,5.76,0.0,0.93,0.88,5370.0,9.02,-25.5269,1,0,-2.29,5.52,1.01,0.14,0.15,0,0,1,2012.0
9.03,1.93,1.25,2.41,240.5362,1001.4,-24.6,8.13,0.1,0.94,1.14,5940.0,11.1317,-30.1744,2,0,-2.36,-0.14,-0.41,0.29,0.26,0,0,1,2011.0
7.55,2.25,0.67,1.5,53.53564,688.3,-23.28,9.49,0.08,0.85,0.73,5170.0,11.2425,25.7103,1,0,-2.17,0.6,-0.38,0.3,0.27,0,0,1,2010.0
25.12,5.02,0.2,1.0,27.65682,583.7,-24.32,17.05,0.07,0.83,0.96,4740.0,11.4461,3.0061,1,0,-2.05,3.43,0.06,0.2,0.26,0,0,1,2004.0
95.38,7.69,0.21,1.61,5.283778,385.4,-23.45,70.46,0.11,0.74,0.9,5079.0,11.725,-58.0067,1,0,-1.62,4.86,1.73,0.16,0.34,0,0,1,2005.0
54.69,6.48,0.2,1.3,64.17684,719.6,-25.8,20.67,0.11,1.03,1.27,5672.0,11.7472,-58.7036,1,0,-2.22,4.19,0.36,0.17,0.2,0,0,1,2004.0
143.07,8.61,0.22,1.93,204.184,963.1,-27.67,4.11,0.0,0.93,0.83,5291.0,11.7617,2.8214,1,0,-2.31,5.38,0.81,0.14,0.15,0,0,1,2005.0
31.16,5.39,0.2,1.07,6.687983,409.7,-22.92,47.84,0.0,0.9,0.77,5303.0,11.8814,-50.2928,1,0,-1.72,3.62,0.57,0.2,0.36,0,0,1,2009.0
197.12,9.31,0.24,2.27,122.5929,846.6,-27.29,4.56,0.09,0.79,0.73,5017.0,11.9447,-2.7789,1,0,-2.25,5.81,1.32,0.14,0.14,0,0,1,2014.0
116.68,8.14,0.22,1.76,705.1725,1310.9,-28.91,5.89,0.09,1.33,1.48,6489.0,11.9489,-12.1078,1,0,-2.43,5.11,0.29,0.15,0.15,0,0,1,2013.0
59.14,6.65,0.2,1.34,4.129832,363.2,-22.85,55.81,0.0,0.79,0.73,4969.0,11.9861,-20.3539,1,0,-1.52,4.28,1.3,0.17,0.4,0,0,1,2009.0
66.77,6.9,0.2,1.4,19.82776,537.4,-24.65,48.06,0.05,1.12,1.19,5797.0,12.3203,-3.3197,1,0,-2.03,4.42,0.86,0.17,0.23,0,0,1,2006.0
244.81,9.77,0.26,2.57,10.07054,452.6,-24.67,68.27,0.12,1.01,1.02,5844.0,12.5353,74.4894,1,0,-1.85,6.11,2.81,0.13,0.23,0,0,1,2010.0
89.02,11.09,0.07,0.72,433.1105,1161.8,-29.05,5.24,0.05,1.2,1.41,5610.0,12.6211,-40.8119,1,0,-2.37,8.65,-0.12,0.1,0.08,0,0,1,2005.0
13.35,4.06,0.2,0.81,27.7718,584.9,-23.86,9.67,0.0,0.76,0.59,4908.0,14.3564,-40.3939,1,0,-2.06,2.97,-0.28,0.22,0.28,0,0,1,2009.0
332.25,10.35,0.3,3.1,34.62458,617.8,-26.14,39.85,0.04,0.89,1.36,5627.0,16.0175,33.3036,2,0,-2.14,6.52,2.68,0.12,0.15,0,0,1,2016.0
25.12,5.02,0.2,1.0,9.828078999999999,450.9,-23.19,102.54,0.05,0.89,1.36,5627.0,16.0175,33.3036,2,0,-1.85,3.43,0.31,0.2,0.33,0,0,1,2016.0
422.86,11.76,0.26,3.06,884.5192,1389.3,-29.95,4.07,0.01,1.1,1.58,5730.0,16.5475,2.0847,1,0,-2.41,7.81,1.38,0.11,0.08,0,0,1,2005.0
4.17,1.58,1.06,1.68,102.9394,811.5,-23.22,4.65,0.0,0.77,0.72,4850.0,17.2944,29.2272,1,0,-2.22,-0.15,-0.63,0.3,0.29,0,0,1,2010.0
359.27,10.48,0.31,3.27,119.5401,842.3,-27.52,12.62,0.02,1.12,1.07,6123.0,17.5561,5.7008,2,0,-2.31,6.63,2.17,0.12,0.12,0,0,1,2013.0
16.41,4.35,0.2,0.87,19.99537,538.0,-23.65,40.0,0.09,0.99,1.03,5790.0,18.0108,29.5719,1,0,-2.03,3.11,-0.11,0.21,0.29,0,0,1,2015.0
9.0,1.93,1.25,2.41,14.16211,493.1,-21.51,29.01,0.11,0.71,0.71,5392.0,19.0181,-66.1928,1,0,-1.94,-0.14,0.15,0.34,0.34,0,0,1,2015.0
5.75,1.72,1.13,1.95,82.00907,766.0,-23.17,6.49,0.07,0.79,0.78,4931.0,19.0517,-11.0439,2,0,-2.21,-0.15,-0.45,0.31,0.28,0,0,1,2017.0
9.19,1.94,1.25,2.43,23.1339,557.4,-22.06,16.82,0.11,0.79,0.78,4931.0,19.0517,-11.0439,2,0,-2.03,-0.14,0.05,0.33,0.3,0,0,1,2017.0
25.44,5.04,0.2,1.0,175.5163,925.0,-26.35,14.48,0.12,1.09,1.48,5724.0,19.1861,-2.6383,1,0,-2.32,3.44,-0.3,0.19,0.22,0,0,1,2009.0
363.09,12.75,0.18,2.24,332.6377,1088.0,-29.06,2.22,0.0,0.8,0.81,4875.0,20.0119,22.7108,1,0,-2.3,8.76,1.4,0.1,0.07,0,0,1,2005.0
20.29,4.67,0.2,0.93,77.33188,753.9,-25.29,17.12,0.11,1.04,1.2,5588.0,20.0603,29.8967,2,0,-2.24,3.26,-0.27,0.2,0.24,0,0,1,2005.0
225.74,9.6,0.26,2.45,63.51906999999999,718.9,-26.64,26.73,0.05,1.33,1.7,6037.0,23.9983,-22.4281,1,0,-2.24,6.0,1.77,0.13,0.15,0,0,1,2006.0
343.38,10.41,0.3,3.17,8.686065,436.6,-24.65,141.89,0.1,1.14,1.35,6208.0,19.5344,16.4742,1,0,-1.8,6.57,3.58,0.12,0.23,0,0,1,2007.0
197.12,11.87,0.12,1.4,260.2281,1023.2,-28.64,3.64,0.02,0.95,0.53,6295.0,15.8269,-49.9633,1,0,-2.38,8.33,0.73,0.1,0.08,0,0,1,2004.0
4.8,2.91,0.19,0.57,158.9225,904.6,-25.04,15.57,0.0,1.15,1.4,6199.0,8.4411,10.0803,5,0,-2.34,2.51,-0.9,0.22,0.22,0,0,1,2016.0
3.15,2.55,0.19,0.48,61.59933,713.7,-23.71,31.7,0.0,1.15,1.4,6199.0,8.4411,10.0803,5,0,-2.24,2.41,-0.93,0.23,0.25,0,0,1,2016.0
12.3,3.95,0.2,0.79,7.295951,418.7,-22.34,157.0,0.0,1.15,1.4,6199.0,8.4411,10.0803,5,0,-1.74,2.92,-0.06,0.23,0.32,0,0,1,2016.0
33.25,5.51,0.2,1.1,9.287947,444.8,-23.33,131.0,0.0,1.15,1.4,6199.0,8.4411,10.0803,5,0,-1.83,3.68,0.52,0.19,0.25,0,0,1,2016.0
130.36,8.4,0.22,1.85,6.0769150000000005,399.8,-23.79,32.03,0.05,0.73,0.68,4640.0,11.7447,30.9592,3,0,-1.67,5.26,2.08,0.14,0.31,0,0,1,2011.0
339.56,10.39,0.3,3.15,187.4425,942.6,-27.99,5.05,0.02,0.95,0.86,5519.0,18.6147,61.7025,1,0,-2.32,6.55,1.87,0.12,0.12,0,0,1,2013.0
21.07,2.37,1.58,3.75,16.59993,514.2,-22.12,10.0,0.0,0.63,0.6,4197.0,11.6497,-3.9056,1,0,-1.92,-0.12,0.81,0.32,0.31,0,0,1,2016.0
8.59,1.91,1.23,2.35,24.568939999999998,567.2,-22.08,5.74,0.0,0.61,0.57,3930.0,11.2869,-1.878,2,0,-1.98,-0.14,-0.01,0.34,0.31,0,0,1,2016.0
17.1,2.26,1.48,3.35,10.39209,457.4,-21.51,10.93,0.0,0.61,0.57,3930.0,11.2869,-1.878,2,0,-1.8,-0.12,0.76,0.34,0.36,0,0,1,2016.0
26.93,2.5,1.72,4.31,26.882109999999997,580.1,-22.76,30.94,0.0,0.97,0.96,5850.0,11.8795,-1.1985,1,0,-2.1,-0.11,0.9,0.3,0.28,0,0,1,2016.0
