p_mass,p_radius,p_period,p_semi_major_axis,p_eccentricity,p_angular_distance,p_impact_parameter,s_ra,s_dec,s_mag,s_distance,s_metallicity,s_mass,s_radius,s_temperature,s_log_g,p_hill_sphere,p_distance,p_periastron,p_apastron,p_distance_eff,p_flux,p_temp_equil,p_type,s_radius_est,s_ra_h,s_ra_t,s_dec_t,s_luminosity,s_snow_line,s_abio_zone,s_tidal_lock,p_habzone_opt,p_habzone_con,p_type_temp,p_habitable,p_esi,p_radius_est,p_mass_est,p_semi_major_axis_est
781.85689,,796.0,1.93,0.22,97.4,,99.17099,-19.255878,3.92,19.82,0.21,1.52,2.3,4792.0,3.25,0.12065121,1.976706,1.5054,2.3546,1.9418663,0.68781196,229.87309,Jovian,2.3,6.611399700000001,06 36 41.0388,-19 15 21.1608,2.4992607000000002,4.2684435999999994,0.42870561,0.53043519,1,1,Warm,0,0.37834721,13.232029,781.85689,1.93
2357.0125,,116.688,0.481,0.3988,26.9,,202.10754,13.778788,4.97,17.91,,1.09,1.89,5495.0,3.95,0.037404833,0.51924947,0.2891772,0.6728228,0.49110247,13.753257999999999,475.14878,Jovian,1.89,13.473837,13 28 25.8131,+13 46 43.6368,2.9179849,4.6121699000000005,1.2839292,0.47478096,0,0,Hot,0,0.14126541,12.604921000000001,2357.0125,0.481
953.48401,,691.9,2.1,0.117,25.3,,38.039253,-1.0348959999999998,5.35,83.15,0.0,2.49,10.5,4846.0,2.63,0.13469037,2.1143734,1.8543,2.3457,2.1036099,12.438138,477.2133,Jovian,10.5,2.5359502999999997,02 32 09.4212,-01 02 05.6256,54.47545699999999,19.928023,0.55449989,0.62529398,0,0,Hot,0,0.14524422,13.116992000000002,953.48401,2.1
416.35468,,93.4,0.49,0.06,3.0,,224.20147999999998,74.900925,6.83,163.32,-0.03,1.44,10.3,4847.0,2.57,0.030465581000000002,0.490882,0.4606,0.5194,0.49022082,218.9002,979.29341,Jovian,10.3,14.946766,14 56 48.3573,+74 54 03.3300,52.463248,19.55651,0.46277365,0.5209611,0,0,Hot,0,0.070820113,13.604033,416.35468,0.49
1684.4884,,952.7,2.5,0.206,24.6,,39.424168,-3.396175,5.65,101.53,-0.06,2.4,11.0,4785.0,2.35,0.17645392,2.553045,1.985,3.015,2.5134499,9.2926133,441.22513,Jovian,11.0,2.628278,02 37 41.8008,-03 23 46.2300,56.833158,20.354698000000003,0.49324069,0.61766768,0,0,Hot,0,0.16929368,12.792619,1684.4884,2.5
1017.0496,,181.4,0.7,0.027,15.9,,348.9729,-9.087736999999999,4.25,44.08,-0.03,1.4,11.0,4665.0,2.52,0.061244550999999994,0.70025515,0.6811,0.7189,0.7000639,104.81969000000001,815.0724700000001,Jovian,11.0,23.264861,23 15 53.5004,-09 05 15.8532,51.342925,19.346574,0.33534899,0.49451088,0,0,Hot,0,0.078414548,13.079797,1017.0496,0.7
4290.678,,,260.0,,5190.0,,94.803802,-58.05431,9.128,50.12,,,,,,,260.0,260.0,260.0,260.00001000000003,,,Jovian,,6.3202538,06 19 12.9137,-58 03 15.5160,,,,,0,0,,0,,12.277019000000001,4290.678,260.0
2034.0992,,481.9,1.3,0.2,0.497,,177.5648,2.7601419999999997,9.58,2618.0,-0.71,1.14,32.35,4095.0,1.89,0.12617529,1.326,1.04,1.56,1.3065871,159.23206000000002,898.12947,Jovian,32.35,11.837653999999999,11 50 15.5552,+02 45 36.5112,263.66522000000003,43.841983,0.11761662,0.49188134,0,0,Hot,0,0.076881824,12.686905,2034.0992,1.3
330.54112000000003,,268.94,0.78,0.29,15.8,,318.39996,14.689387,9.63,49.42,0.17,0.49,0.86,4864.0,4.26,0.048582661,0.812799,0.5538,1.0062,0.78843547,0.63701048,223.9117,Jovian,0.86,21.226665,21 13 35.9951,+14 41 21.7932,0.37090255,1.6443478,0.33265737,0.36370546,1,1,Warm,0,0.3690268,13.742892000000001,330.54112000000003,0.78
337.21551,,153.22,0.576,0.001,0.744,,176.48217,14.616381,10.31,774.0,-0.22,1.08,8.95,4649.0,2.61,0.039048208,0.57600029,0.575424,0.576576,0.57600015,101.0481,807.74977,Jovian,8.95,11.765479,11 45 55.7240,+14 36 58.9716,33.525318,15.633284,0.29922028,0.5124708,0,0,Hot,0,0.075857,13.730808999999999,337.21551,0.576
