P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. SFlux Mean (EU),P. Teq Mean (K),P. Mag,P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,S. Mass (SU),S. Radius (SU),S. Teff (K),S. RA (hrs),S. DEC (deg),S. No. Planets,S. No. Planets HZ,P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
HD 134606 d,Warm,Neptunian,gas,hydrogen-rich,non-habitable,38.47,5.78,0.2,1.15,0.9368675999999999,239.9,-21.06,459.26,1.1567,0.46,0.98,1.0,5940.0,15.2542,-70.5197,3,1,-0.23,3.82,1.37,0.2,0.62,0,0,1,Radial Velocity,2011.0
HD 134987 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,505.52,10.99,0.38,4.18,2.385112,313.3,-23.38,258.19,0.81,0.23,1.07,1.25,5740.0,15.2244,-25.3092,2,0,-1.18,7.1,5.61,0.1,0.38,0,0,1,Radial Velocity,1999.0
HD 134987 c,Cold,Jovian,gas,hydrogen-rich,non-habitable,260.71,9.89,0.27,2.66,0.04556709,117.4,-18.81,5000.0,5.8,0.12,1.07,1.25,5740.0,15.2244,-25.3092,2,0,6.75,6.19,7.41,0.08,0.17,0,0,1,Radial Velocity,2009.0
HD 136352 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.28,1.68,1.11,1.87,122.437,842.3,-23.57,11.58,0.0933,0.18,0.81,0.97,5940.0,15.3633,-48.3175,3,0,-2.3,-0.15,-0.56,0.3,0.28,0,0,1,Radial Velocity,2011.0
HD 136352 c,Hot,Neptunian,gas,metals-rich,non-habitable,11.38,3.85,0.2,0.77,38.31127,630.8,-24.11,27.58,0.1665,0.16,0.81,0.97,5940.0,15.3633,-48.3175,3,0,-2.16,2.88,-0.41,0.22,0.28,0,0,1,Radial Velocity,2011.0
HD 136352 d,Hot,Superterran,rocky-iron,metals-rich,non-habitable,9.54,1.96,1.26,2.48,6.874417,397.3,-20.86,106.72,0.411,0.43,0.81,0.97,5940.0,15.3633,-48.3175,3,0,-1.66,-0.14,0.34,0.37,0.41,0,0,1,Radial Velocity,2011.0
HD 136418 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,635.88,11.26,0.45,5.02,4.070755,357.4,-24.02,464.3,1.32,0.26,1.33,3.4,5071.0,15.3186,41.7333,1,0,-1.49,7.42,5.88,0.09,0.3,0,0,1,Radial Velocity,2010.0
HD 137388 b,Warm,Jovian,gas,hydrogen-rich,non-habitable,70.9,7.03,0.2,1.43,0.6154669,219.9,-20.98,330.0,0.89,0.36,0.86,0.82,5240.0,15.5944,-80.2047,1,1,0.05,4.49,2.32,0.17,0.54,0,0,1,Radial Velocity,2011.0
HD 139357 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,3103.09,11.58,2.0,23.14,10.39361,456.6,-25.08,1125.7,2.36,0.1,1.35,11.47,4700.0,15.5878,53.9222,1,0,-1.84,11.22,13.06,0.05,0.15,0,0,1,Radial Velocity,2009.0
HD 141399 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,143.39,8.61,0.22,1.93,10.92947,463.1,-24.48,94.44,0.415,0.04,1.07,1.46,5600.0,15.7817,46.9864,4,1,-1.88,5.39,1.94,0.14,0.24,0,0,1,Radial Velocity,2014.0
HD 141399 c,Hot,Jovian,gas,hydrogen-rich,non-habitable,422.86,10.74,0.34,3.66,3.966525,359.4,-23.86,201.99,0.689,0.05,1.07,1.46,5600.0,15.7817,46.9864,4,1,-1.49,6.85,4.67,0.11,0.31,0,0,1,Radial Velocity,2014.0
HD 141399 d,Warm,Jovian,gas,hydrogen-rich,non-habitable,375.17,10.56,0.32,3.37,0.43176509999999996,206.3,-21.4,1069.8,2.09,0.07,1.07,1.46,5600.0,15.7817,46.9864,4,1,0.48,6.69,6.29,0.1,0.4,0,0,1,Radial Velocity,2014.0
HD 141399 e,Cold,Jovian,gas,hydrogen-rich,non-habitable,209.84,9.45,0.25,2.35,0.07791254,132.9,-19.33,5000.0,5.0,0.26,1.07,1.46,5600.0,15.7817,46.9864,4,1,4.63,5.9,6.09,0.09,0.21,0,0,1,Radial Velocity,2014.0
HD 141937 b,Warm,Jovian,gas,hydrogen-rich,non-habitable,3084.02,11.58,1.98,22.98,0.5895679,215.8,-22.04,653.22,1.52,0.41,1.1,1.06,5925.0,15.8714,-18.4358,1,1,0.3,11.19,19.14,0.04,0.36,0,1,1,Radial Velocity,2002.0
