P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. SFlux Mean (EU),P. Teq Mean (K),P. Mag,P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,S. Mass (SU),S. Radius (SU),S. Teff (K),S. RA (hrs),S. DEC (deg),S. No. Planets,S. No. Planets HZ,P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
Kepler-647 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.45,1.16,0.92,1.07,84.11431,771.5,-22.34,16.23,0.1266,0.0,1.03,1.07,6020.0,18.9859,44.5917,1,0,-2.27,-0.17,-0.95,0.29,0.31,0,0,1,Transit,2016.0
Kepler-648 b,Hot,Neptunian,gas,metals-rich,non-habitable,6.54,3.21,0.2,0.63,52.4055,685.5,-24.04,17.42,0.1336,0.0,1.05,0.98,5741.0,18.9266,45.0169,1,0,-2.2,2.62,-0.68,0.22,0.22,0,0,1,Transit,2016.0
Kepler-649 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,17.18,2.26,1.48,3.36,27.04532,581.0,-22.55,29.91,0.1866,0.0,0.97,0.94,5871.0,19.0437,45.0796,1,0,-2.1,-0.12,0.48,0.32,0.29,0,0,1,Transit,2016.0
Kepler-650 b,Hot,Neptunian,gas,no-atmosphere,non-habitable,5.04,2.96,0.19,0.58,1082.0539999999999,1461.2,-27.16,3.03,0.0421,0.0,1.08,1.35,5849.0,19.2667,45.1543,1,0,-2.42,2.52,-1.07,0.21,0.21,0,0,1,Transit,2016.0
Kepler-651 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,20.8,2.36,1.58,3.72,29.373209999999997,593.1,-22.74,21.39,0.1466,0.0,0.92,0.87,5522.0,19.1555,46.2035,1,0,-2.1,-0.12,0.63,0.31,0.28,0,0,1,Transit,2016.0
Kepler-652 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,26.25,2.49,1.71,4.25,249.7077,1012.8,-25.18,4.18,0.0503,0.0,0.97,0.88,5490.0,19.2005,46.4736,1,0,-2.33,-0.11,0.24,0.3,0.24,0,0,1,Transit,2016.0
Kepler-653 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,9.29,1.95,1.26,2.45,93.60795999999999,792.5,-23.58,14.71,0.1182,0.0,1.02,1.19,5665.0,18.8142,46.7178,2,0,-2.27,-0.14,-0.23,0.3,0.27,0,0,1,Transit,2016.0
Kepler-653 c,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.39,0.78,0.81,0.64,3879.705,2010.7,-25.66,0.9,0.0184,0.0,1.02,1.19,5665.0,18.8142,46.7178,2,0,-2.44,-0.18,-1.42,0.26,0.29,0,0,1,Transit,2016.0
Kepler-654 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,11.88,2.07,1.34,2.77,101.2896,808.2,-23.8,13.72,0.1136,0.0,1.04,1.11,5865.0,19.8046,46.8343,1,0,-2.28,-0.13,-0.1,0.3,0.26,0,0,1,Transit,2016.0
Kepler-655 b,Hot,Neptunian,gas,metals-rich,non-habitable,3.82,2.71,0.19,0.52,28.529,588.8,-23.0,46.41,0.2647,0.0,1.15,1.24,6170.0,19.8173,46.8432,1,0,-2.12,2.45,-0.78,0.23,0.26,0,0,1,Transit,2016.0
Kepler-656 b,Hot,Neptunian,gas,no-atmosphere,non-habitable,5.92,3.11,0.2,0.61,995.5987,1431.1,-27.18,1.26,0.0217,0.0,0.86,0.82,5281.0,19.2219,47.3816,1,0,-2.38,2.58,-1.02,0.21,0.21,0,0,1,Transit,2016.0
Kepler-657 b,Hot,Neptunian,gas,metals-rich,non-habitable,8.62,3.52,0.2,0.7,37.88701,632.1,-23.88,24.54,0.1658,0.0,1.01,1.01,5808.0,19.4132,47.3078,1,0,-2.16,2.73,-0.53,0.22,0.22,0,0,1,Transit,2016.0
Kepler-658 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,4.65,1.62,1.09,1.76,232.3877,994.7,-24.18,1.29,0.0198,0.0,0.63,0.6,4103.0,18.8656,47.5786,1,0,-2.21,-0.15,-0.69,0.3,0.28,0,0,1,Transit,2016.0
Kepler-659 b,Hot,Superterran,rocky-iron,hydrogen-rich,non-habitable,26.81,2.5,1.72,4.3,18.35091,527.3,-22.35,17.67,0.1227,0.0,0.79,0.74,4870.0,19.1739,47.5097,1,0,-1.98,-0.11,1.03,0.31,0.3,0,0,1,Transit,2016.0
Kepler-660 b,Hot,Neptunian,gas,metals-rich,non-habitable,3.19,2.56,0.19,0.49,38.31463,633.8,-23.21,9.27,0.0785,0.0,0.75,0.71,4779.0,19.2092,47.7245,1,0,-2.11,2.41,-0.87,0.23,0.26,0,0,1,Transit,2016.0
Kepler-661 b,Hot,Neptunian,gas,metals-rich,non-habitable,5.66,3.07,0.2,0.6,49.11423,674.4,-23.87,6.03,0.0576,0.0,0.7,0.67,4483.0,18.9141,47.8633,1,0,-2.12,2.56,-0.72,0.23,0.23,0,0,1,Transit,2016.0
Kepler-662 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,14.46,2.17,1.41,3.06,14.28801,495.3,-21.77,21.68,0.1406,0.0,0.79,0.74,4897.0,19.3643,47.9292,1,0,-1.93,-0.13,0.51,0.33,0.33,0,0,1,Transit,2016.0
Kepler-663 b,Hot,Neptunian,gas,no-atmosphere,non-habitable,3.33,2.6,0.19,0.49,156.6182,901.3,-24.77,5.0,0.0544,0.0,0.86,0.82,5264.0,19.8539,47.9467,1,0,-2.29,2.42,-1.0,0.22,0.23,0,0,1,Transit,2016.0
Kepler-664 b,Hot,Neptunian,gas,no-atmosphere,non-habitable,3.57,2.65,0.19,0.51,771.9427,1342.9,-26.56,2.53,0.0364,0.0,1.01,1.02,5754.0,19.2503,48.2262,1,0,-2.4,2.44,-1.12,0.22,0.23,0,0,1,Transit,2016.0
Kepler-665 b,Hot,Neptunian,gas,metals-rich,non-habitable,3.33,2.6,0.19,0.49,21.67717,549.7,-22.61,16.01,0.1149,0.0,0.79,0.74,4913.0,19.8017,48.4786,1,0,-2.02,2.42,-0.8,0.24,0.28,0,0,1,Transit,2016.0
Kepler-666 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,22.16,2.4,1.61,3.86,409.7102,1146.2,-25.64,4.5,0.0538,0.0,1.03,1.05,5887.0,19.8971,48.7916,1,0,-2.38,-0.12,0.01,0.3,0.24,0,0,1,Transit,2016.0
Kepler-667 b,Hot,Neptunian,gas,metals-rich,non-habitable,20.99,4.73,0.2,0.94,10.60697,459.8,-23.14,41.44,0.2271,0.0,0.91,0.87,5327.0,19.7037,49.0173,1,0,-1.87,3.29,0.17,0.21,0.26,0,0,1,Transit,2016.0
Kepler-668 b,Hot,Neptunian,gas,metals-rich,non-habitable,3.77,2.7,0.19,0.52,83.69456,770.6,-24.17,8.35,0.0769,0.0,0.87,0.82,5352.0,19.0333,49.2773,1,0,-2.24,2.45,-0.91,0.23,0.24,0,0,1,Transit,2016.0
Kepler-669 b,Hot,Neptunian,gas,metals-rich,non-habitable,22.36,4.83,0.2,0.96,617.5875,1270.0,-27.62,4.13,0.0527,0.0,1.15,1.2,6038.0,19.4624,49.254,1,0,-2.41,3.34,-0.56,0.19,0.16,0,0,1,Transit,2016.0
Kepler-670 b,Hot,Jovian,,,non-habitable,,13.17,,,617.5572,1270.0,-29.81,2.82,0.0389,0.0,0.99,0.99,5709.0,19.801,49.2253,1,0,-2.39,,,,0.07,0,0,1,Transit,2016.0
Kepler-671 b,Hot,Neptunian,gas,no-atmosphere,non-habitable,3.72,2.69,0.19,0.51,310.6443,1069.6,-25.59,4.28,0.0511,0.0,0.97,0.95,5624.0,19.6177,49.3141,1,0,-2.35,2.44,-1.03,0.22,0.23,0,0,1,Transit,2016.0
Kepler-672 b,Hot,Superterran,rocky-iron,hydrogen-rich,non-habitable,26.81,2.5,1.72,4.3,15.89657,508.7,-22.19,38.38,0.2188,0.0,0.95,0.92,5627.0,19.4481,49.4809,1,0,-1.98,-0.11,1.08,0.31,0.31,0,0,1,Transit,2016.0
Kepler-673 b,Hot,Jovian,gas,metals-rich,non-habitable,55.96,6.53,0.2,1.31,256.0928,1019.2,-27.32,3.73,0.0451,0.0,0.88,0.84,5355.0,19.3857,50.0541,1,0,-2.33,4.22,0.04,0.17,0.13,0,0,1,Transit,2016.0
Kepler-674 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.4,1.69,1.12,1.89,112.547,829.8,-23.47,2.24,0.0283,0.0,0.6,0.57,4192.0,19.0117,50.1498,1,0,-2.17,-0.15,-0.53,0.31,0.28,0,0,1,Transit,2016.0
Kepler-675 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,24.12,2.44,1.66,4.05,297.3402,1057.9,-25.33,2.34,0.0319,0.0,0.79,0.75,4945.0,19.5889,50.2304,1,0,-2.3,-0.11,0.14,0.3,0.24,0,0,1,Transit,2016.0
Kepler-676 b,Hot,Neptunian,gas,metals-rich,non-habitable,5.46,3.04,0.2,0.59,6.299468,403.6,-21.6,11.6,0.0801,0.0,0.51,0.49,3701.0,19.7481,50.2872,1,0,-1.65,2.55,-0.44,0.25,0.37,0,0,1,Transit,2016.0
Kepler-677 b,Hot,Neptunian,gas,metals-rich,non-habitable,30.87,5.38,0.2,1.07,200.0233,958.1,-26.62,6.58,0.0687,0.0,1.0,0.99,5723.0,19.3399,50.3216,1,0,-2.33,3.61,-0.23,0.19,0.15,0,0,1,Transit,2016.0
Kepler-678 b,Hot,Neptunian,gas,metals-rich,non-habitable,26.99,5.14,0.2,1.02,133.2021,865.5,-26.08,7.28,0.072,0.0,0.94,0.91,5520.0,19.697,50.4946,1,0,-2.29,3.49,-0.22,0.19,0.16,0,0,1,Transit,2016.0
Kepler-679 b,Hot,Neptunian,gas,metals-rich,non-habitable,5.34,3.01,0.2,0.59,53.913019999999996,690.3,-23.93,12.39,0.1,0.0,0.87,0.84,5403.0,19.7348,50.5678,1,0,-2.19,2.54,-0.75,0.23,0.23,0,0,1,Transit,2016.0
Kepler-680 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,23.12,2.42,1.63,3.95,578.991,1249.7,-26.04,3.69,0.0479,0.0,1.08,1.11,5890.0,19.4415,50.6182,1,0,-2.4,-0.11,-0.04,0.29,0.24,0,0,1,Transit,2016.0
Kepler-681 b,Hot,Neptunian,gas,metals-rich,non-habitable,5.72,3.08,0.2,0.6,12.70332,481.0,-22.4,26.39,0.161,0.0,0.8,0.76,5021.0,19.2933,51.2503,1,0,-1.91,2.57,-0.53,0.24,0.3,0,0,1,Transit,2016.0
Kepler-682 b,Hot,Jovian,gas,metals-rich,non-habitable,82.66,7.37,0.21,1.52,63.83681,720.1,-26.07,12.61,0.1031,0.0,0.92,0.89,5559.0,19.2741,51.7374,1,0,-2.22,4.68,0.68,0.16,0.13,0,0,1,Transit,2016.0
Kepler-683 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,9.72,1.97,1.27,2.5,663.6797,1293.1,-25.74,2.54,0.0359,0.0,0.96,0.95,5703.0,19.4293,37.9057,1,0,-2.39,-0.14,-0.54,0.29,0.26,0,0,1,Transit,2016.0
Kepler-684 b,Hot,Neptunian,gas,metals-rich,non-habitable,7.49,3.36,0.2,0.66,133.1584,865.4,-25.15,6.77,0.0674,0.0,0.89,0.86,5493.0,19.3914,38.2736,1,0,-2.29,2.67,-0.75,0.22,0.21,0,0,1,Transit,2016.0
Kepler-685 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,379.23,10.57,0.32,3.39,1945.838,1692.1,-30.58,1.63,0.028,0.0,1.11,1.16,5963.0,19.5915,38.4229,1,0,-2.44,6.7,1.09,0.12,0.08,0,0,1,Transit,2016.0
Kepler-686 b,Hot,Jovian,,,non-habitable,,12.14,,,1129.776,1477.0,-30.29,1.59,0.0262,0.0,0.94,0.92,5649.0,19.0143,39.0275,1,0,-2.41,,,,0.07,0,0,1,Transit,2016.0
Kepler-687 b,Hot,Neptunian,gas,metals-rich,non-habitable,8.62,3.52,0.2,0.7,14.546510000000001,497.5,-22.84,20.51,0.1344,0.0,0.77,0.73,4841.0,19.2877,39.1533,1,0,-1.93,2.73,-0.37,0.23,0.27,0,0,1,Transit,2016.0
Kepler-688 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,243.48,9.76,0.26,2.56,380.9298,1125.5,-28.63,3.9,0.0481,0.0,0.98,0.96,5715.0,19.6437,39.3084,1,0,-2.37,6.1,1.15,0.13,0.09,0,0,1,Transit,2016.0
Kepler-689 b,Hot,Neptunian,gas,metals-rich,non-habitable,4.68,2.89,0.19,0.56,28.43171,588.3,-23.14,22.37,0.1505,0.0,0.91,0.88,5518.0,19.6474,39.5217,1,0,-2.1,2.5,-0.72,0.23,0.26,0,0,1,Transit,2016.0
Kepler-690 b,Hot,Neptunian,gas,metals-rich,non-habitable,41.91,5.95,0.2,1.19,234.5362,997.0,-27.02,7.75,0.0793,0.0,1.11,1.16,5913.0,19.6327,39.7714,1,0,-2.35,3.91,-0.1,0.18,0.14,0,0,1,Transit,2016.0
Kepler-691 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,12.15,2.08,1.34,2.8,10.45013,458.1,-21.33,8.11,0.0639,0.0,0.53,0.5,3715.0,19.2541,40.0334,1,0,-1.79,-0.13,0.45,0.35,0.37,0,0,1,Transit,2016.0
Kepler-692 b,Hot,Neptunian,gas,metals-rich,non-habitable,5.85,3.1,0.2,0.61,26.71875,579.2,-23.23,21.81,0.1475,0.0,0.9,0.86,5440.0,19.6518,40.1537,1,0,-2.08,2.57,-0.63,0.23,0.25,0,0,1,Transit,2016.0
Kepler-693 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,301.2,10.17,0.29,2.91,21.65631,549.6,-25.59,15.38,0.1104,0.0,0.76,0.72,4881.0,18.8836,40.3582,1,0,-2.02,6.39,2.76,0.12,0.13,0,0,1,Transit,2016.0
Kepler-694 b,Hot,Neptunian,gas,metals-rich,non-habitable,4.24,2.8,0.19,0.54,193.1205,949.7,-25.16,6.37,0.0665,0.0,0.97,0.95,5700.0,19.41,40.4205,1,0,-2.33,2.48,-0.96,0.22,0.22,0,0,1,Transit,2016.0
Kepler-695 b,Hot,Jovian,gas,metals-rich,non-habitable,187.63,9.21,0.24,2.21,275.6076,1038.0,-28.15,3.04,0.0387,0.0,0.84,0.8,5181.0,19.9544,40.8224,1,0,-2.32,5.75,0.98,0.14,0.1,0,0,1,Transit,2016.0
Kepler-696 b,Hot,Jovian,gas,metals-rich,non-habitable,46.17,6.14,0.2,1.23,472.5647,1187.8,-27.85,4.19,0.0519,0.0,1.06,1.08,5903.0,19.5664,41.1376,1,0,-2.39,4.01,-0.19,0.18,0.13,0,0,1,Transit,2016.0
Kepler-697 b,Hot,Neptunian,gas,metals-rich,non-habitable,13.94,4.12,0.2,0.82,308.5919,1067.8,-26.52,3.71,0.0456,0.0,0.92,0.88,5513.0,18.9243,41.3465,1,0,-2.35,3.0,-0.64,0.21,0.18,0,0,1,Transit,2016.0
Kepler-698 b,Hot,Neptunian,gas,metals-rich,non-habitable,9.85,3.67,0.2,0.73,48.42085,672.1,-24.25,16.33,0.1234,0.0,0.94,0.91,5612.0,19.234,41.3018,1,0,-2.19,2.8,-0.51,0.22,0.21,0,0,1,Transit,2016.0
Kepler-699 b,Hot,Jovian,,,non-habitable,,14.1,,,15.719120000000002,507.3,-25.95,27.81,0.1674,0.0,0.81,0.78,5330.0,19.7925,41.3961,1,0,-1.97,,,,0.13,0,0,1,Transit,2016.0
Kepler-700 b,Hot,Neptunian,gas,metals-rich,non-habitable,42.64,5.98,0.2,1.19,6.570382,407.9,-23.13,80.87,0.3635,0.0,0.98,0.96,5692.0,19.1436,41.5658,1,0,-1.71,3.93,0.83,0.19,0.28,0,0,1,Transit,2016.0
Kepler-701 b,Hot,Neptunian,gas,metals-rich,non-habitable,4.4,2.83,0.19,0.55,65.0174,723.4,-24.0,10.36,0.0891,0.0,0.88,0.84,5343.0,19.2663,41.6333,1,0,-2.21,2.49,-0.83,0.23,0.24,0,0,1,Transit,2016.0
Kepler-702 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,183.81,9.16,0.24,2.19,69.50486,735.6,-26.63,10.53,0.0907,0.0,0.9,0.86,5419.0,19.5919,41.6618,1,0,-2.22,5.72,1.46,0.14,0.11,0,0,1,Transit,2016.0
Kepler-703 b,Hot,Jovian,gas,metals-rich,non-habitable,119.5,8.2,0.22,1.78,650.6038,1286.7,-28.83,4.58,0.0571,0.0,1.18,1.27,6185.0,19.9458,41.7427,1,0,-2.42,5.15,0.33,0.15,0.1,0,0,1,Transit,2016.0
Kepler-704 b,Hot,Neptunian,gas,no-atmosphere,non-habitable,3.38,2.61,0.19,0.5,374.7512,1120.9,-25.73,3.76,0.0468,0.0,0.97,0.96,5616.0,18.8878,41.8371,1,0,-2.36,2.42,-1.07,0.22,0.23,0,0,1,Transit,2016.0
Kepler-705 b,Warm,Superterran,rocky-iron,hydrogen-rich,mesoplanet,12.69,2.11,1.36,2.86,0.8325992,243.4,-18.6,56.06,0.2319,0.0,0.53,0.51,3722.0,19.3006,41.8121,1,1,-0.56,-0.13,1.31,0.41,0.74,1,0,1,Transit,2016.0
Kepler-706 b,Hot,Jovian,,,non-habitable,,13.16,,,10.72202,461.0,-25.38,41.41,0.2236,0.0,0.87,0.84,5394.0,19.4507,41.9441,1,0,-1.87,,,,0.16,0,0,1,Transit,2016.0
Kepler-707 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,2.3,1.33,0.97,1.29,362.8238,1111.9,-24.23,2.24,0.0311,0.0,0.8,0.76,5099.0,19.3338,42.1165,1,0,-2.32,-0.16,-0.97,0.28,0.29,0,0,1,Transit,2016.0
Kepler-708 b,Hot,Neptunian,gas,no-atmosphere,non-habitable,4.86,2.92,0.19,0.57,497.2764,1203.1,-26.29,3.17,0.0418,0.0,0.97,0.96,5692.0,19.5878,42.2125,1,0,-2.38,2.51,-1.01,0.22,0.22,0,0,1,Transit,2016.0
Kepler-709 b,Hot,Neptunian,gas,metals-rich,non-habitable,4.86,2.92,0.19,0.57,26.25807,576.7,-23.08,16.09,0.1157,0.0,0.8,0.77,5071.0,19.4737,42.3803,1,0,-2.06,2.51,-0.69,0.23,0.26,0,0,1,Transit,2016.0
Kepler-710 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,8.1,1.88,1.22,2.29,282.5348,1044.5,-24.71,4.35,0.0511,0.0,0.94,0.91,5611.0,19.4643,42.6961,1,0,-2.35,-0.14,-0.49,0.29,0.27,0,0,1,Transit,2016.0
Kepler-711 b,Hot,Neptunian,gas,metals-rich,non-habitable,7.81,3.4,0.2,0.67,18.51807,528.5,-23.03,23.59,0.1518,0.0,0.84,0.8,5222.0,19.8307,42.8399,1,0,-2.0,2.69,-0.46,0.23,0.26,0,0,1,Transit,2016.0
Kepler-712 b,Hot,Neptunian,gas,metals-rich,non-habitable,7.81,3.4,0.2,0.67,19.38724,534.6,-23.08,21.02,0.1406,0.0,0.84,0.78,5148.0,19.6606,42.9353,2,1,-2.01,2.69,-0.46,0.23,0.25,0,0,1,Transit,2016.0
Kepler-712 c,Warm,Neptunian,gas,metals-rich,non-habitable,22.67,4.85,0.2,0.96,0.8128420999999999,241.9,-20.39,226.89,0.6868,0.0,0.84,0.78,5148.0,19.6606,42.9353,2,1,-0.39,3.35,0.96,0.22,0.53,0,0,1,Transit,2016.0
Kepler-713 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,25.7,2.48,1.69,4.19,180.4501,933.8,-24.82,7.41,0.0739,0.0,0.98,0.99,5785.0,19.7101,43.0298,1,0,-2.33,-0.11,0.31,0.3,0.24,0,0,1,Transit,2016.0
Kepler-714 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,233.03,9.67,0.26,2.49,220.4341,981.7,-28.01,8.1,0.0812,0.0,1.09,1.12,5995.0,18.8466,43.2727,1,0,-2.35,6.04,1.3,0.13,0.09,0,0,1,Transit,2016.0
Kepler-715 b,Hot,Neptunian,gas,metals-rich,non-habitable,10.5,3.75,0.2,0.75,136.0564,870.1,-25.42,10.01,0.0921,0.0,1.04,1.04,5871.0,18.9087,43.3794,1,0,-2.31,2.83,-0.63,0.21,0.19,0,0,1,Transit,2016.0
Kepler-716 b,Hot,Neptunian,gas,metals-rich,non-habitable,4.74,2.9,0.19,0.56,48.24831,671.5,-23.73,10.37,0.0875,0.0,0.83,0.78,5099.0,19.3595,43.3639,1,0,-2.16,2.51,-0.78,0.23,0.24,0,0,1,Transit,2016.0
Kepler-717 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,23.12,2.42,1.63,3.95,230.8795,993.1,-25.04,4.41,0.0504,0.0,0.88,0.85,5485.0,19.531,43.3464,1,0,-2.33,-0.11,0.17,0.3,0.24,0,0,1,Transit,2016.0
Kepler-718 b,Hot,Jovian,,,non-habitable,,16.54,,,1997.763,1703.3,-31.59,2.05,0.0334,0.0,1.18,1.3,6191.0,19.9708,43.5036,1,0,-2.45,,,,0.06,0,0,1,Transit,2016.0
Kepler-719 b,Hot,Jovian,gas,metals-rich,non-habitable,137.27,8.51,0.22,1.89,294.6017,1055.5,-28.05,5.01,0.0571,0.0,0.99,0.98,5777.0,19.7024,43.8845,1,0,-2.36,5.33,0.66,0.15,0.1,0,0,1,Transit,2016.0
Kepler-720 b,Hot,Jovian,gas,metals-rich,non-habitable,130.63,8.4,0.22,1.85,259.1008,1022.1,-27.88,4.71,0.054,0.0,0.95,0.92,5618.0,19.909,44.1709,1,0,-2.34,5.26,0.66,0.15,0.1,0,0,1,Transit,2016.0
Kepler-721 b,Hot,Neptunian,gas,metals-rich,non-habitable,3.52,2.64,0.19,0.5,114.1806,832.8,-24.46,5.39,0.0563,0.0,0.82,0.78,5075.0,18.962,44.4805,1,0,-2.25,2.43,-0.96,0.22,0.24,0,0,1,Transit,2016.0
Kepler-722 b,Hot,Neptunian,gas,no-atmosphere,non-habitable,3.47,2.63,0.19,0.5,457.1241,1178.0,-25.97,4.09,0.0506,0.0,1.03,1.05,5863.0,19.3509,44.5564,2,0,-2.39,2.43,-1.08,0.22,0.23,0,0,1,Transit,2016.0
Kepler-722 c,Hot,Neptunian,gas,metals-rich,non-habitable,4.34,2.82,0.19,0.55,6.031898,399.3,-21.4,105.14,0.4402,0.0,1.03,1.05,5863.0,19.3509,44.5564,2,0,-1.67,2.48,-0.53,0.25,0.39,0,0,1,Transit,2016.0
Kepler-723 b,Hot,Jovian,,,non-habitable,,12.19,,,283.127,1045.1,-28.79,4.08,0.0486,0.0,0.92,0.89,5539.0,18.9887,44.6581,1,0,-2.34,,,,0.08,0,0,1,Transit,2016.0
Kepler-724 b,Hot,Neptunian,gas,metals-rich,non-habitable,7.04,3.29,0.2,0.65,328.7315,1084.8,-26.1,3.31,0.042,0.0,0.9,0.86,5437.0,19.5637,44.7928,1,0,-2.35,2.64,-0.87,0.22,0.2,0,0,1,Transit,2016.0
Kepler-725 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,389.88,10.62,0.33,3.46,11.01998,464.2,-24.95,39.64,0.218,0.0,0.88,0.84,5363.0,18.9318,44.8116,1,0,-1.88,6.74,3.71,0.11,0.17,0,0,1,Transit,2016.0
Kepler-726 b,Hot,Neptunian,gas,metals-rich,non-habitable,6.82,3.26,0.2,0.64,26.7433,579.4,-23.34,21.8,0.1463,0.0,0.88,0.85,5452.0,19.4478,44.8873,1,0,-2.08,2.63,-0.57,0.23,0.24,0,0,1,Transit,2016.0
Kepler-727 b,Hot,Superterran,gas,no-atmosphere,non-habitable,3.06,2.53,0.19,0.48,184.3921,938.8,-24.89,5.15,0.0562,0.0,0.89,0.86,5441.0,19.6565,45.0344,1,0,-2.31,2.4,-1.04,0.22,0.24,0,0,1,Transit,2016.0
Kepler-728 b,Hot,Neptunian,gas,metals-rich,non-habitable,7.34,3.34,0.2,0.66,209.2763,969.0,-25.63,5.74,0.0617,0.0,0.95,0.93,5660.0,19.4062,45.1155,1,0,-2.33,2.66,-0.81,0.22,0.2,0,0,1,Transit,2016.0
Kepler-729 b,Hot,Neptunian,gas,metals-rich,non-habitable,9.05,3.57,0.2,0.71,437.9402,1165.5,-26.59,3.17,0.0413,0.0,0.94,0.91,5633.0,19.0907,45.4143,1,0,-2.37,2.76,-0.83,0.21,0.19,0,0,1,Transit,2016.0
Kepler-730 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,187.63,9.21,0.24,2.21,212.2148,972.4,-27.86,6.49,0.0681,0.0,1.0,1.01,5726.0,19.037,45.5789,1,0,-2.34,5.75,1.07,0.14,0.1,0,0,1,Transit,2016.0
Kepler-731 b,Hot,Jovian,,,non-habitable,,13.87,,,499.7977,1204.6,-29.69,3.86,0.0486,0.0,1.03,1.06,5849.0,19.7595,45.5686,1,0,-2.39,,,,0.07,0,0,1,Transit,2016.0
Kepler-732 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,14.46,2.17,1.41,3.06,6.9240639999999996,413.3,-20.98,9.47,0.069,0.0,0.49,0.46,3631.0,18.9155,45.9588,2,0,-1.68,-0.13,0.72,0.35,0.41,0,0,1,Transit,2016.0
Kepler-732 c,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.92,1.27,0.95,1.2,161.262,907.9,-23.23,0.89,0.0143,0.0,0.49,0.46,3631.0,18.9155,45.9588,2,0,-2.15,-0.16,-0.94,0.3,0.3,0,0,1,Transit,2016.0
Kepler-733 b,Hot,Neptunian,gas,metals-rich,non-habitable,4.34,2.82,0.19,0.55,27.94848,585.8,-23.07,20.83,0.143,0.0,0.9,0.86,5418.0,19.5346,45.9147,1,0,-2.09,2.48,-0.74,0.23,0.26,0,0,1,Transit,2016.0
Kepler-734 b,Hot,Neptunian,gas,metals-rich,non-habitable,8.96,3.56,0.2,0.71,114.5913,833.6,-25.12,6.1,0.0619,0.0,0.85,0.78,5326.0,19.803,46.0274,1,0,-2.27,2.75,-0.67,0.22,0.2,0,0,1,Transit,2016.0
Kepler-735 b,Hot,Neptunian,gas,metals-rich,non-habitable,4.98,2.95,0.19,0.57,43.72612,655.1,-23.65,11.52,0.0945,0.0,0.85,0.8,5107.0,18.9793,46.1722,1,0,-2.14,2.52,-0.75,0.23,0.24,0,0,1,Transit,2016.0
Kepler-736 b,Hot,Neptunian,gas,metals-rich,non-habitable,4.86,2.92,0.19,0.57,228.149,990.1,-25.44,3.6,0.0437,0.0,0.86,0.81,5217.0,19.0261,46.1809,1,0,-2.31,2.51,-0.94,0.22,0.22,0,0,1,Transit,2016.0
Kepler-737 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,9.51,1.96,1.26,2.47,2.0444169999999997,304.6,-19.42,28.6,0.1462,0.0,0.51,0.48,3813.0,19.4575,46.4293,1,0,-1.18,-0.14,0.71,0.42,0.67,0,0,1,Transit,2016.0
Kepler-738 b,Hot,Superterran,rocky-iron,hydrogen-rich,non-habitable,26.81,2.5,1.72,4.3,19.62537,536.2,-22.42,24.59,0.1573,0.0,0.86,0.82,5327.0,19.1713,46.5679,1,0,-2.02,-0.11,1.01,0.31,0.29,0,0,1,Transit,2016.0
Kepler-739 b,Hot,Neptunian,gas,metals-rich,non-habitable,7.19,3.32,0.2,0.65,67.35654,729.9,-24.38,12.53,0.103,0.0,0.93,0.9,5601.0,19.3379,46.5791,1,0,-2.23,2.65,-0.68,0.22,0.22,0,0,1,Transit,2016.0
