pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radj,ra_str,ra,dec_str,dec,st_dist,st_teff,st_mass,st_rad
HD 4203 c,Radial Velocity,2,6700.00000000,6.950000,0.240000,2.17000,,00h44m41.20s,11.171676,+20d26m56.1s,20.448927,81.57,5596.00,1.25,1.42
HD 4208 b,Radial Velocity,1,828.00000000,1.650000,0.050000,0.82000,,00h44m26.65s,11.111043,-26d30m56.4s,-26.515680,34.23,5629.00,0.90,0.92
HD 42618 b,Radial Velocity,1,149.61000000,0.554000,0.190000,0.04531,,06h12m00.57s,93.002357,+06d46m59.1s,6.783074,23.50,5727.00,1.01,1.00
HD 4308 b,Radial Velocity,1,15.56000000,0.120000,0.000000,0.05000,,00h44m39.27s,11.163615,-65d38m58.3s,-65.649521,22.03,5686.00,0.93,1.02
HD 4313 b,Radial Velocity,1,356.21000000,1.157000,0.147000,1.92700,,00h45m40.36s,11.418160,+07d50m42.1s,7.845021,136.82,4943.00,1.63,5.14
HD 43197 b,Radial Velocity,1,327.80000000,0.920000,0.830000,0.60000,,06h13m35.66s,93.398590,-29d53m50.2s,-29.897270,56.30,5508.00,0.96,1.00
HD 43691 b,Radial Velocity,1,36.99870000,0.238000,0.079600,2.55000,,06h19m34.68s,94.894485,+41d05m32.3s,41.092304,85.81,6093.00,1.32,1.60
HD 44219 b,Radial Velocity,1,472.30000000,1.190000,0.610000,0.58000,,06h20m14.32s,95.059677,-10d43m30.0s,-10.725009,50.40,5752.00,1.00,1.32
HD 45184 b,Radial Velocity,2,5.88540000,0.064400,0.070000,0.03840,,06h24m43.88s,96.182831,-28d46m48.4s,-28.780113,21.88,5869.00,1.03,
HD 45184 c,Radial Velocity,2,13.13540000,0.110000,0.070000,0.02770,,06h24m43.88s,96.182831,-28d46m48.4s,-28.780113,21.88,5869.00,1.03,
HD 45350 b,Radial Velocity,1,963.60000000,1.920000,0.778000,1.79000,,06h28m45.71s,97.190460,+38d57m46.7s,38.962963,46.94,5616.00,1.02,
HD 45364 b,Radial Velocity,2,226.93000000,0.681300,0.168400,0.18720,,06h25m38.48s,96.410316,-31d28m51.4s,-31.480953,34.39,5434.00,0.82,
HD 45364 c,Radial Velocity,2,342.85000000,0.897200,0.097400,0.65790,,06h25m38.48s,96.410316,-31d28m51.4s,-31.480953,34.39,5434.00,0.82,
HD 45652 b,Radial Velocity,1,44.07300000,0.237000,0.607000,0.43300,,06h29m13.19s,97.304962,+10d56m02.0s,10.933891,34.89,5294.00,0.92,0.94
HD 46375 b,Radial Velocity,1,3.02357300,0.039800,0.063000,0.22600,,06h33m12.62s,98.302597,+05d27m46.5s,5.462925,29.58,5285.00,0.92,
HD 47186 b,Radial Velocity,2,4.08450000,0.050000,0.040000,0.07000,,06h36m08.79s,99.036613,-27d37m20.3s,-27.622297,37.50,5657.00,0.96,1.08
HD 47186 c,Radial Velocity,2,1353.60000000,2.395000,0.249000,0.35061,,06h36m08.79s,99.036613,-27d37m20.3s,-27.622297,37.50,5657.00,0.96,1.08
HD 4732 b,Radial Velocity,2,360.20000000,1.190000,0.130000,2.37000,,00h49m13.95s,12.308117,-24d08m12.0s,-24.136671,54.87,4959.00,1.74,5.40
HD 4732 c,Radial Velocity,2,2732.00000000,4.600000,0.230000,2.37000,,00h49m13.95s,12.308117,-24d08m12.0s,-24.136671,54.87,4959.00,1.74,5.40
HD 47366 b,Radial Velocity,2,363.30000000,1.214000,0.089000,1.75000,,06h37m40.79s,99.419968,-12d59m06.4s,-12.985116,80.00,4866.00,1.81,7.30
HD 47366 c,Radial Velocity,2,684.70000000,1.853000,0.278000,1.86000,,06h37m40.79s,99.419968,-12d59m06.4s,-12.985116,80.00,4866.00,1.81,7.30
HD 47536 b,Radial Velocity,1,712.13000000,1.930000,0.200000,7.32000,,06h37m47.62s,99.448410,-32d20m23.0s,-32.339733,122.95,4424.00,0.91,22.39
HD 48265 b,Radial Velocity,1,780.30000000,1.810000,0.080000,1.47000,,06h40m01.73s,100.007195,-48d32m31.0s,-48.541954,85.40,5650.00,1.28,2.05
HD 4917 b,Radial Velocity,1,400.50000000,1.167000,0.066000,1.61500,,00h51m06.28s,12.776146,-12d55m39.4s,-12.927608,205.45,4802.00,1.32,5.01
HD 49674 b,Radial Velocity,1,4.94737000,0.060000,0.090000,0.10000,,06h51m30.52s,102.877151,+40d52m03.9s,40.867756,43.09,5602.00,1.03,1.02
HD 50499 b,Radial Velocity,2,2483.70000000,3.930000,0.270000,1.45000,,06h52m02.03s,103.008438,-33d54m56.0s,-33.915562,46.35,6099.00,1.31,1.42
HD 50499 c,Radial Velocity,2,8619.90000000,9.020000,0.000000,2.93000,,06h52m02.03s,103.008438,-33d54m56.0s,-33.915562,46.35,6099.00,1.31,1.42
HD 50554 b,Radial Velocity,1,1293.00000000,2.353000,0.501000,4.95400,,06h54m42.82s,103.678436,+24d14m44.0s,24.245558,31.19,5987.00,1.04,1.02
HD 51608 b,Radial Velocity,2,14.07260000,0.105900,0.090000,0.04020,,06h54m51.34s,103.713921,-55d15m33.6s,-55.259327,34.83,5358.00,0.80,
HD 51608 c,Radial Velocity,2,95.94460000,0.380900,0.140000,0.04500,,06h54m51.34s,103.713921,-55d15m33.6s,-55.259327,34.83,5358.00,0.80,
HD 52265 b,Radial Velocity,1,119.27000000,0.520000,0.270000,1.21000,,07h00m18.04s,105.075150,-05d22m01.8s,-5.367162,30.01,6136.00,1.20,
HD 5319 b,Radial Velocity,2,637.10000000,1.570000,0.092000,1.55600,,00h55m01.40s,13.755836,+00d47m22.4s,0.789553,114.00,4871.00,1.27,4.06
HD 5319 c,Radial Velocity,2,872.20000000,1.930000,0.183000,1.05300,,00h55m01.40s,13.755836,+00d47m22.4s,0.789553,114.00,4871.00,1.27,4.06
HD 55696 b,Radial Velocity,1,1827.00000000,3.180000,0.705000,3.87000,,07h12m14.97s,108.062378,-38d10m28.3s,-38.174541,78.15,6012.00,1.29,1.52
HD 5583 b,Radial Velocity,1,139.35000000,0.530000,0.076000,5.78000,,00h57m56.70s,14.486255,+34d59m08.0s,34.985561,221.00,4830.00,1.01,9.09
HD 5608 b,Radial Velocity,1,779.90000000,1.911000,0.056000,1.68100,,00h58m14.22s,14.559246,+33d57m03.2s,33.950886,58.21,4877.00,1.53,5.14
HD 564 b,Radial Velocity,1,492.30000000,1.200000,0.096000,0.33000,,00h09m52.82s,2.470091,-50d16m04.2s,-50.267822,53.60,5902.00,0.96,1.01
HD 5891 b,Radial Velocity,1,177.11000000,0.640000,0.070000,7.63000,,01h00m33.19s,15.138300,+20d17m32.9s,20.292484,285.75,4673.00,1.93,10.64
HD 59686 A b,Radial Velocity,1,299.36000000,1.086000,0.050000,6.92000,,07h31m48.40s,112.951653,+17d05m09.8s,17.086046,96.80,4658.00,1.90,13.20
HD 60532 b,Radial Velocity,2,201.90000000,0.770000,0.260000,1.06000,,07h34m03.18s,113.513252,-22d17m45.8s,-22.296066,25.30,6245.00,1.50,2.57
HD 60532 c,Radial Velocity,2,600.10000000,1.600000,0.030000,2.51000,,07h34m03.18s,113.513252,-22d17m45.8s,-22.296066,25.30,6245.00,1.50,2.57
HD 62509 b,Radial Velocity,1,589.64000000,1.640000,0.020000,2.30000,,07h45m18.95s,116.328957,+28d01m34.3s,28.026199,10.34,4946.00,2.10,8.31
HD 63454 b,Radial Velocity,1,2.81805000,0.040000,0.000000,0.25000,,07h39m21.85s,114.841049,-78d16m44.3s,-78.278969,37.73,4812.00,0.42,0.77
HD 63765 b,Radial Velocity,1,358.00000000,0.940000,0.240000,0.53000,,07h47m49.72s,116.957161,-54d15m50.9s,-54.264145,32.57,5449.00,0.65,0.83
HD 6434 b,Radial Velocity,1,21.99800000,0.140000,0.170000,0.49000,,01h04m40.15s,16.167295,-39d29m17.6s,-39.488216,42.41,5769.00,1.10,1.12
HD 65216 b,Radial Velocity,2,577.60000000,1.301000,0.270000,1.29500,,07h53m41.32s,118.422173,-63d38m50.4s,-63.647324,35.16,5612.00,0.87,
HD 65216 c,Radial Velocity,2,5370.00000000,5.750000,0.170000,2.03000,,07h53m41.32s,118.422173,-63d38m50.4s,-63.647324,35.16,5612.00,0.87,
HD 66141 b,Radial Velocity,1,480.50000000,1.200000,0.070000,6.00000,,08h02m15.94s,120.566406,+02d20m04.5s,2.334571,68.16,4323.00,1.10,21.40
HD 66428 b,Radial Velocity,1,1973.00000000,3.140000,0.470000,2.64000,,08h03m28.67s,120.869438,-01d09m45.8s,-1.162709,53.36,5716.00,1.00,1.13
HD 67087 b,Radial Velocity,2,352.20000000,1.080000,0.170000,3.06000,,08h07m39.76s,121.915649,+31d33m04.7s,31.551319,76.69,6330.00,1.36,1.55
HD 67087 c,Radial Velocity,2,2374.00000000,3.860000,0.760000,4.85000,,08h07m39.76s,121.915649,+31d33m04.7s,31.551319,76.69,6330.00,1.36,1.55
HD 6718 b,Radial Velocity,1,2496.00000000,3.550000,0.100000,1.68000,,01h07m48.66s,16.952761,-08d14m01.3s,-8.233706,54.90,5801.00,1.08,0.95
HD 68402 b,Radial Velocity,1,1103.00000000,2.180000,0.030000,3.07000,,08h05m23.69s,121.348717,-74d24m37.5s,-74.410416,78.00,5950.00,1.12,1.02
HD 68988 b,Radial Velocity,1,6.27711000,0.070000,0.120000,1.97000,,08h18m22.17s,124.592384,+61d27m38.6s,61.460724,60.95,5932.00,1.28,1.19
HD 69830 b,Radial Velocity,3,8.66700000,0.078500,0.100000,0.03210,,08h18m23.95s,124.599777,-12d37m55.8s,-12.632174,12.56,5385.00,0.86,
HD 69830 c,Radial Velocity,3,31.56000000,0.186000,0.130000,0.03710,,08h18m23.95s,124.599777,-12d37m55.8s,-12.632174,12.56,5385.00,0.86,
HD 69830 d,Radial Velocity,3,197.00000000,0.630000,0.070000,0.05700,,08h18m23.95s,124.599777,-12d37m55.8s,-12.632174,12.56,5385.00,0.86,
HD 70573 b,Radial Velocity,1,851.80000000,1.760000,0.400000,6.10000,,08h22m49.95s,125.708135,+01d51m33.6s,1.859323,45.70,5737.00,1.00,
HD 70642 b,Radial Velocity,1,2068.00000000,3.180000,0.030000,1.85000,,08h21m28.14s,125.367233,-39d42m19.5s,-39.705410,29.30,5665.00,0.96,1.02
HD 7199 b,Radial Velocity,1,615.00000000,1.360000,0.190000,0.27000,,01h10m47.22s,17.696762,-66d11m17.4s,-66.188164,36.19,5371.00,0.77,0.97
HD 72490 b,Radial Velocity,1,858.00000000,1.880000,0.124000,1.76800,,08h33m36.65s,128.402710,+13d33m02.8s,13.550790,126.79,4934.00,1.21,4.96
HD 72659 b,Radial Velocity,1,3658.00000000,4.750000,0.220000,3.85000,,08h34m03.19s,128.513290,-01d34m05.6s,-1.568217,51.40,5932.00,1.43,1.46
HD 72892 b,Radial Velocity,1,39.47500000,0.228000,0.423000,5.45000,,08h34m52.60s,128.719147,-14d27m24.1s,-14.456694,72.78,5688.00,1.02,1.22
HD 73267 b,Radial Velocity,1,1260.00000000,2.198000,0.256000,3.06000,,08h36m17.78s,129.074066,-34d27m35.9s,-34.459980,54.91,5317.00,0.89,1.04
HD 73526 b,Radial Velocity,2,188.30000000,0.650000,0.190000,3.08000,,08h37m16.48s,129.318680,-41d19m08.8s,-41.319103,97.51,5601.00,1.14,1.53
HD 73526 c,Radial Velocity,2,379.10000000,1.030000,0.280000,2.25000,,08h37m16.48s,129.318680,-41d19m08.8s,-41.319103,97.51,5601.00,1.14,1.53
HD 73534 b,Radial Velocity,1,1750.00000000,2.990000,0.126000,1.11200,,08h39m15.80s,129.815842,+12d57m37.4s,12.960376,81.00,4917.00,1.16,2.58
HD 74156 b,Radial Velocity,2,51.64500000,0.292000,0.627000,1.80000,,08h42m25.12s,130.604675,+04d34m41.2s,4.578097,64.60,6068.00,1.24,
HD 74156 c,Radial Velocity,2,2473.00000000,3.850000,0.432000,8.06000,,08h42m25.12s,130.604675,+04d34m41.2s,4.578097,64.60,6068.00,1.24,
HD 7449 b,Radial Velocity,1,1255.50000000,2.380000,0.920000,0.50800,,01h14m29.32s,18.622173,-05d02m50.6s,-5.047387,38.71,6024.00,1.05,
HD 75289 b,Radial Velocity,1,3.50927000,0.050000,0.030000,0.49000,,08h47m40.39s,131.918289,-41d44m12.5s,-41.736794,29.14,6117.00,1.29,1.23
HD 75784 b,Radial Velocity,2,341.20000000,1.032000,0.097000,1.00000,,08h52m23.94s,133.099747,+13d14m00.4s,13.233433,68.70,4867.00,1.26,3.40
HD 75784 c,Radial Velocity,2,7900.00000000,8.400000,0.489000,5.64000,,08h52m23.94s,133.099747,+13d14m00.4s,13.233433,68.70,4867.00,1.26,3.40
HD 75898 b,Radial Velocity,1,422.90000000,1.191000,0.110000,2.71000,,08h53m50.80s,133.461685,+33d03m24.5s,33.056812,78.23,5963.00,1.26,1.58
HD 76700 b,Radial Velocity,1,3.97097000,0.050000,0.090000,0.21000,,08h53m55.51s,133.481308,-66d48m03.6s,-66.800995,60.99,5644.00,0.99,1.37
HD 76920 b,Radial Velocity,1,415.40000000,1.149000,0.856000,3.93000,,08h55m16.82s,133.820068,-67d15m55.7s,-67.265472,184.80,4698.00,1.17,7.47
HD 77338 b,Radial Velocity,1,5.73610000,0.060000,0.090000,0.06000,,09h01m12.50s,135.302063,-25d31m37.4s,-25.527061,46.00,5341.00,1.37,0.97
HD 7924 b,Radial Velocity,3,5.39792000,0.060000,0.060000,0.02000,,01h21m59.12s,20.496313,+76d42m37.0s,76.710281,16.82,5131.00,0.65,0.78
HD 7924 c,Radial Velocity,3,15.29900000,0.113400,0.098000,0.02473,,01h21m59.12s,20.496313,+76d42m37.0s,76.710281,16.82,5131.00,0.65,0.78
HD 7924 d,Radial Velocity,3,24.45100000,0.155100,0.210000,0.02026,,01h21m59.12s,20.496313,+76d42m37.0s,76.710281,16.82,5131.00,0.65,0.78
HD 79498 b,Radial Velocity,1,1807.00000000,2.980000,0.575000,1.34000,,09h15m09.40s,138.789169,+23d22m32.0s,23.375549,49.00,5748.00,1.08,1.05
HD 80606 b,Radial Velocity,1,111.43670000,,0.930000,4.38000,1.070,09h22m37.57s,140.656540,+50d36m13.4s,50.603722,66.60,5561.00,1.15,1.04
HD 81040 b,Radial Velocity,1,1001.70001000,1.940000,0.530000,7.27000,,09h23m47.09s,140.946198,+20d21m52.0s,20.364454,34.47,5755.00,1.05,0.91
HD 81688 b,Radial Velocity,1,184.02000000,0.810000,0.000000,2.70000,,09h28m39.99s,142.166626,+45d36m05.3s,45.601482,85.92,4753.00,2.10,13.00
HD 82886 b,Radial Velocity,1,705.00000000,1.580000,0.070000,2.33000,,09h35m45.18s,143.938263,+34d46m50.7s,34.780743,127.52,4953.00,2.53,5.26
HD 82943 b,Radial Velocity,2,441.47000000,1.183060,0.162000,1.68100,,09h34m50.73s,143.711395,-12d07m46.4s,-12.129546,27.61,6016.00,1.20,
HD 82943 c,Radial Velocity,2,220.07800000,0.743450,0.366300,1.95900,,09h34m50.73s,143.711395,-12d07m46.4s,-12.129546,27.61,6016.00,1.20,
HD 83443 b,Radial Velocity,1,2.98570000,0.040000,0.010000,0.34000,,09h37m11.83s,144.299286,-43d16m19.9s,-43.272205,40.95,5442.00,0.79,0.94
HD 8535 b,Radial Velocity,1,1313.00000000,2.450000,0.150000,0.68000,,01h23m37.24s,20.905149,-41d16m11.3s,-41.269802,52.50,6136.00,1.13,1.19
HD 85390 b,Radial Velocity,1,799.52000000,1.373000,0.500000,0.09900,,09h50m02.50s,147.510406,-49d47m25.0s,-49.790268,33.56,5186.00,0.76,
HD 85512 b,Radial Velocity,1,58.43000000,0.260000,0.110000,0.01000,,09h51m07.05s,147.779388,-43d30m10.0s,-43.502789,11.28,4300.00,0.43,0.71
HD 8574 b,Radial Velocity,1,227.00000000,0.760000,0.300000,2.03000,,01h25m12.52s,21.302153,+28d34m00.1s,28.566692,44.20,6064.00,1.34,1.38
HD 86081 b,Radial Velocity,1,2.13784310,0.034600,0.011900,1.48000,,09h56m05.92s,149.024658,-03d48m30.3s,-3.808422,104.24,5939.00,1.21,1.46
HD 86226 b,Radial Velocity,1,1695.00000000,2.840000,0.150000,0.92000,,09h56m29.85s,149.124359,-24d05m57.8s,-24.099390,45.74,5903.00,1.06,1.02
HD 86264 b,Radial Velocity,1,1475.00000000,2.860000,0.700000,7.00000,,09h56m57.84s,149.240997,-15d53m42.4s,-15.895122,67.94,6210.00,1.42,1.88
HD 8673 b,Radial Velocity,1,1634.00000000,3.020000,0.723000,14.20000,,01h26m08.78s,21.536604,+34d34m46.9s,34.579700,37.90,6472.00,1.35,1.39
HD 86950 b,Radial Velocity,1,1270.00000000,2.720000,0.170000,3.60000,,10h01m37.61s,150.406708,-17d19m58.9s,-17.333023,169.00,4805.00,1.66,8.80
HD 87646 b,Radial Velocity,1,13.48100000,0.117000,0.050000,12.40000,,10h06m40.77s,151.669861,+17d53m42.4s,17.895103,135.17,5770.00,1.12,1.55
HD 87883 b,Radial Velocity,1,2754.00000000,3.580000,0.530000,1.54000,,10h08m43.14s,152.179749,+34d14m32.1s,34.242260,18.30,4915.00,0.66,0.79
HD 88133 b,Radial Velocity,1,3.41488400,0.047900,0.031000,0.28450,,10h10m07.68s,152.531982,+18d11m12.7s,18.186871,73.77,5392.00,1.26,2.20
HD 89307 b,Radial Velocity,1,2166.00000000,3.270000,0.200000,2.11000,,10h18m21.29s,154.588699,+12d37m16.0s,12.621108,32.04,5955.00,1.27,1.10
HD 89345 b,Transit,1,11.81430000,0.106600,0.220000,0.11000,0.660,10h18m41.06s,154.671066,+10d07m44.5s,10.129028,132.80,5576.00,1.16,1.75
HD 89744 b,Radial Velocity,1,256.78000000,0.917000,0.677000,8.35000,,10h22m10.56s,155.544006,+41d13m46.3s,41.229530,39.00,6291.00,1.86,
HD 90156 b,Radial Velocity,1,49.77000000,0.250000,0.310000,0.05700,,10h23m55.28s,155.980316,-29d38m43.9s,-29.645529,21.96,5599.00,0.84,
HD 9174 b,Radial Velocity,1,1179.00000000,2.200000,0.120000,1.11000,,01h30m01.00s,22.504177,-19d36m16.2s,-19.604502,78.93,5577.00,1.03,1.67
HD 92788 b,Radial Velocity,2,325.80300000,0.970000,0.350000,3.76000,,10h42m48.53s,160.702209,-02d11m01.5s,-2.183756,34.69,5744.00,1.15,1.14
HD 92788 c,Radial Velocity,2,11611.29750000,10.500000,0.460000,3.67000,,10h42m48.53s,160.702209,-02d11m01.5s,-2.183756,34.69,5744.00,1.15,1.14
HD 92987 b,Radial Velocity,1,10354.83750000,9.620000,0.210000,16.88000,,10h43m36.27s,160.901108,-39d03m30.3s,-39.058426,43.59,5770.00,1.08,1.58
HD 93083 b,Radial Velocity,1,143.58000000,0.477000,0.140000,0.37000,,10h44m20.91s,161.087143,-33d34m37.3s,-33.577023,28.54,4995.00,0.70,
HD 9446 b,Radial Velocity,2,30.05200000,0.189000,0.200000,0.70000,,01h33m20.18s,23.334101,+29d15m54.5s,29.265148,50.42,5793.00,1.00,1.00
HD 9446 c,Radial Velocity,2,192.90000000,0.654000,0.060000,1.82000,,01h33m20.18s,23.334101,+29d15m54.5s,29.265148,50.42,5793.00,1.00,1.00
HD 94834 b,Radial Velocity,1,1576.00000000,2.740000,0.140000,1.26000,,10h57m15.11s,164.312973,+24d08m34.0s,24.142782,98.43,4798.00,1.11,4.20
HD 95086 b,Imaging,1,,55.700000,,5.00000,,10h57m03.02s,164.262589,-68d40m02.4s,-68.667343,86.44,,1.60,
HD 95089 b,Radial Velocity,2,1785.00000000,3.330000,0.284000,3.45000,,10h58m47.74s,164.698898,+01d43m45.2s,1.729216,137.46,4918.00,1.54,5.08
HD 95089 c,Radial Velocity,2,464.40000000,1.360000,0.119000,1.26000,,10h58m47.74s,164.698898,+01d43m45.2s,1.729216,137.46,4918.00,1.54,5.08
HD 95127 b,Radial Velocity,1,482.00000000,1.280000,0.110000,10.63000,,10h59m35.09s,164.896194,+43d48m52.1s,43.814465,332.00,4218.00,3.70,41.01
HD 95872 b,Radial Velocity,1,4375.00000000,5.150000,0.060000,3.74000,,11h03m28.11s,165.867114,-22d05m38.3s,-22.093977,7.56,5312.00,0.70,0.84
HD 96063 b,Radial Velocity,1,362.50000000,1.110000,0.170000,1.27000,,11h04m44.45s,166.185226,-02d30m47.6s,-2.513218,140.62,5020.00,1.37,4.75
HD 96127 b,Radial Velocity,1,647.29999000,1.420000,0.300000,20.96000,,11h05m45.95s,166.441452,+44d18m05.6s,44.301559,597.42,3943.00,10.94,51.10
HD 96167 b,Radial Velocity,1,498.04000000,1.332000,0.685000,0.71700,,11h05m15.07s,166.312790,-10d17m28.7s,-10.291301,85.51,5733.00,1.27,1.94
HD 97658 b,Radial Velocity,1,9.49090000,,0.060000,0.03000,0.210,11h14m33.16s,168.638184,+25d42m37.4s,25.710384,21.58,5175.00,0.89,0.74
HD 98219 b,Radial Velocity,1,433.80000000,1.260000,0.079000,1.96400,,11h17m47.55s,169.448135,-23d58m31.5s,-23.975414,114.07,4925.00,1.41,4.60
HD 98649 b,Radial Velocity,1,6022.97250000,6.570000,0.860000,6.79000,,11h20m51.77s,170.215698,-23d13m02.4s,-23.217342,42.22,5790.00,1.03,1.01
HD 98736 b,Radial Velocity,1,968.80000000,1.864000,0.226000,2.33000,,11h21m49.34s,170.455597,+18d11m24.0s,18.190001,32.48,5271.00,0.92,0.93
HD 99109 b,Radial Velocity,1,439.29999000,1.110000,0.090000,0.44000,,11h24m17.36s,171.072327,-01d31m44.7s,-1.529076,54.88,5282.00,0.76,0.98
HD 99492 b,Radial Velocity,1,17.04310000,0.120000,0.250000,0.07000,,11h26m46.28s,171.692825,+03d00m22.8s,3.006328,55.70,4815.00,0.48,0.83
HD 99706 b,Radial Velocity,2,841.00000000,1.980000,0.250000,1.23000,,11h28m30.21s,172.125885,+43d57m59.7s,43.966579,147.21,4862.00,1.46,5.52
HD 99706 c,Radial Velocity,2,1278.00000000,,0.411000,5.69000,,11h28m30.21s,172.125885,+43d57m59.7s,43.966579,147.21,4862.00,1.46,5.52
HIP 105854 b,Radial Velocity,1,184.20000000,0.810000,0.020000,8.20000,,21h26m22.87s,321.595306,-37d49m45.9s,-37.829430,78.80,4780.00,2.10,
HIP 107773 b,Radial Velocity,1,144.30000000,0.720000,0.090000,1.98000,,21h50m00.12s,327.500519,-64d42m45.1s,-64.712540,103.63,4945.00,2.42,11.60
HIP 109384 b,Radial Velocity,1,499.48000000,1.134000,0.549000,1.56000,,22h09m37.40s,332.405823,+71d18m51.6s,71.314331,56.20,5180.00,0.78,
HIP 109600 b,Radial Velocity,1,232.08000000,0.706000,0.163000,2.68000,,22h12m06.25s,333.026062,+29d03m56.9s,29.065811,58.60,5530.00,0.87,
HIP 116454 b,Transit,1,9.12050000,,0.200000,0.04000,0.220,23h35m49.28s,353.955353,+00d26m43.9s,0.445516,55.20,5089.00,0.81,0.72
HIP 12961 b,Radial Velocity,1,57.43500000,0.250000,0.170000,0.36000,,02h46m42.89s,41.678692,-23d05m11.8s,-23.086611,23.39,3901.00,0.69,0.65
HIP 14810 b,Radial Velocity,3,6.67389200,0.069600,0.143990,3.90000,,03h11m14.23s,47.809292,+21d05m50.5s,21.097359,50.55,5544.00,1.01,1.07
HIP 14810 c,Radial Velocity,3,147.74700000,0.549000,0.156600,1.31000,,03h11m14.23s,47.809292,+21d05m50.5s,21.097359,50.55,5544.00,1.01,1.07
HIP 14810 d,Radial Velocity,3,981.80000000,1.940000,0.185000,0.59000,,03h11m14.23s,47.809292,+21d05m50.5s,21.097359,50.55,5544.00,1.01,1.07
HIP 41378 b,Transit,5,15.57120000,,,,0.259,08h26m27.85s,126.616043,+10d04m49.4s,10.080378,106.61,6199.00,1.15,1.40
HIP 41378 c,Transit,5,31.69780000,,,,0.228,08h26m27.85s,126.616043,+10d04m49.4s,10.080378,106.61,6199.00,1.15,1.40
HIP 41378 d,Transit,5,156.00000000,,,,0.353,08h26m27.85s,126.616043,+10d04m49.4s,10.080378,106.61,6199.00,1.15,1.40
HIP 41378 e,Transit,5,131.00000000,,,,0.492,08h26m27.85s,126.616043,+10d04m49.4s,10.080378,106.61,6199.00,1.15,1.40
HIP 41378 f,Transit,5,324.00000000,,,,0.910,08h26m27.85s,126.616043,+10d04m49.4s,10.080378,106.61,6199.00,1.15,1.40
HIP 5158 b,Radial Velocity,2,345.72000000,0.890000,0.520000,0.96000,,01h06m02.05s,16.508533,-22d27m11.4s,-22.453154,51.68,4813.00,0.43,0.75
HIP 5158 c,Radial Velocity,2,9017.76000000,7.700000,0.140000,15.04000,,01h06m02.05s,16.508533,-22d27m11.4s,-22.453154,51.68,4813.00,0.43,0.75
HIP 57274 b,Radial Velocity,3,8.13520000,0.070000,0.190000,0.02000,,11h44m40.96s,176.170685,+30d57m33.5s,30.959293,25.88,4510.00,0.29,0.78
HIP 57274 c,Radial Velocity,3,32.03000000,0.178000,0.050000,0.40902,,11h44m40.96s,176.170685,+30d57m33.5s,30.959293,25.88,4510.00,0.29,0.78
HIP 57274 d,Radial Velocity,3,431.70000000,1.010000,0.270000,0.52670,,11h44m40.96s,176.170685,+30d57m33.5s,30.959293,25.88,4510.00,0.29,0.78
HIP 63242 b,Radial Velocity,1,124.60000000,0.565000,0.230000,9.18000,,12h57m31.96s,194.383163,-65d38m47.3s,-65.646461,157.16,4830.00,1.54,
HIP 65407 b,Radial Velocity,2,28.12500000,0.177000,0.140000,0.42800,,13h24m21.04s,201.087662,+48d53m06.3s,48.885094,55.50,5460.00,0.93,
HIP 65407 c,Radial Velocity,2,67.30000000,0.316000,0.120000,0.78400,,13h24m21.04s,201.087662,+48d53m06.3s,48.885094,55.50,5460.00,0.93,
HIP 65426 b,Imaging,1,,92.000000,,9.00000,1.500,13h24m36.10s,201.150406,-51d30m16.1s,-51.504459,111.40,8840.00,1.96,1.77
HIP 65891 b,Radial Velocity,1,1084.50000000,2.810000,0.130000,6.00000,,13h30m25.27s,202.605301,-58d39m51.7s,-58.664356,136.05,5000.00,2.50,8.93
HIP 67537 b,Radial Velocity,1,2556.50000000,4.910000,0.590000,11.10000,,13h50m19.40s,207.580826,-39d54m03.1s,-39.900856,112.60,4985.00,2.41,8.69
HIP 67851 b,Radial Velocity,2,88.90000000,0.460000,0.050000,1.38000,,13h53m52.06s,208.466919,-35d18m51.7s,-35.314362,65.96,4890.00,1.63,5.92
HIP 67851 c,Radial Velocity,2,2131.80000000,3.820000,0.170000,5.98000,,13h53m52.06s,208.466919,-35d18m51.7s,-35.314362,65.96,4890.00,1.63,5.92
HIP 70849 b,Radial Velocity,1,17337.50000000,20.250000,0.715000,9.00000,,14h29m18.56s,217.327347,-46d27m49.7s,-46.463818,24.07,4105.00,0.63,
HIP 74890 b,Radial Velocity,1,822.30000000,2.100000,0.070000,2.40000,,15h18m17.33s,229.572205,-41d25m14.1s,-41.420570,91.49,4850.00,1.74,5.77
HIP 78530 b,Imaging,1,,740.000000,,23.00000,,16h01m55.46s,240.481064,-21d58m49.4s,-21.980389,156.70,10500.00,2.50,
HIP 79431 b,Radial Velocity,1,111.70000000,0.360000,0.290000,2.10000,,16h12m41.77s,243.174057,-18d52m31.8s,-18.875504,14.54,3368.00,0.42,0.54
HIP 8541 b,Radial Velocity,1,1560.20000000,2.800000,0.160000,5.50000,,01h50m06.33s,27.526375,-54d27m53.9s,-54.464962,168.63,4670.00,1.17,7.83
HIP 91258 b,Radial Velocity,1,5.05050000,0.060000,0.020000,1.09000,,18h36m53.15s,279.221466,+61d42m09.0s,61.702503,45.95,5519.00,0.97,0.89
HIP 97233 b,Radial Velocity,1,1058.80000000,2.550000,0.610000,20.00000,,19h45m41.27s,296.421967,-00d41m47.9s,-0.696645,106.50,5020.00,1.93,5.34
