pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radj,ra_str,ra,dec_str,dec,st_dist,st_teff,st_mass,st_rad
55 Cnc e,Radial Velocity,5,0.73653900,0.015440,,0.02542,0.170,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,5196.00,0.91,0.94
55 Cnc f,Radial Velocity,5,262.00000000,0.788000,0.305000,0.14100,,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,5196.00,0.91,0.94
6 Lyn b,Radial Velocity,1,934.30000000,2.110000,0.073000,2.01000,,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,54.74,4938.00,1.44,5.20
61 Vir b,Radial Velocity,3,4.21500000,0.050201,0.120000,0.01600,,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,5577.00,0.94,0.96
61 Vir c,Radial Velocity,3,38.02100000,0.217500,0.140000,0.05700,,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,5577.00,0.94,0.96
61 Vir d,Radial Velocity,3,123.01000000,0.476000,0.350000,0.07200,,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,5577.00,0.94,0.96
7 CMa b,Radial Velocity,1,796.00000000,1.930000,0.220000,2.46000,,06h36m41.04s,99.170990,-19d15m21.2s,-19.255878,19.82,4792.00,1.52,2.30
70 Vir b,Radial Velocity,1,116.68800000,0.481000,0.398800,7.41600,,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,17.91,5495.00,1.09,1.89
75 Cet b,Radial Velocity,1,691.90000000,2.100000,0.117000,3.00000,,02h32m09.42s,38.039253,-01d02m05.6s,-1.034896,83.15,4846.00,2.49,10.50
8 UMi b,Radial Velocity,1,93.40000000,0.490000,0.060000,1.31000,,14h56m48.35s,224.201477,+74d54m03.3s,74.900925,159.10,4847.00,1.44,10.30
81 Cet b,Radial Velocity,1,952.70000000,2.500000,0.206000,5.30000,,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175,101.53,4785.00,2.40,11.00
91 Aqr b,Radial Velocity,1,181.40000000,0.700000,0.027000,3.20000,,23h15m53.50s,348.972900,-09d05m15.9s,-9.087737,44.08,4665.00,1.40,11.00
AB Pic b,Imaging,1,,260.000000,,13.50000,,06h19m12.91s,94.803802,-58d03m15.5s,-58.054310,50.12,,,
BD+03 2562 b,Radial Velocity,1,481.90000000,1.300000,0.200000,6.40000,,11h50m15.55s,177.564804,+02d45m36.5s,2.760142,2618.00,4095.00,1.14,32.35
BD+14 4559 b,Radial Velocity,1,268.94000000,0.780000,0.290000,1.04000,,21h13m35.99s,318.399963,+14d41m21.8s,14.689387,49.42,4864.00,0.49,0.86
BD+15 2375 b,Radial Velocity,1,153.22000000,0.576000,0.001000,1.06100,,11h45m55.72s,176.482174,+14d36m59.0s,14.616381,774.00,4649.00,1.08,8.95
BD+15 2940 b,Radial Velocity,1,137.48000000,0.539000,0.260000,1.11000,,16h00m22.94s,240.095566,+15d32m48.9s,15.546930,431.61,4796.00,1.10,14.70
BD+20 2457 b,Radial Velocity,2,379.63000000,1.050000,0.150000,55.59000,,10h16m44.86s,154.186910,+19d53m29.1s,19.891409,200.00,4259.00,10.83,71.02
BD+20 2457 c,Radial Velocity,2,621.99000000,2.010000,0.180000,12.47000,,10h16m44.86s,154.186910,+19d53m29.1s,19.891409,200.00,4259.00,10.83,71.02
BD+20 274 b,Radial Velocity,1,578.20000000,1.300000,0.210000,4.20000,,01h43m40.88s,25.920324,+21d00m19.1s,21.005314,1383.85,4296.00,0.80,17.30
BD+20 594 b,Transit,1,41.68550000,,0.000000,0.07000,0.230,03h34m36.23s,53.650967,+20d35m57.2s,20.599232,180.39,5766.00,1.67,1.08
BD+48 738 b,Radial Velocity,1,392.60000000,1.000000,0.200000,0.91000,,02h42m50.45s,40.710224,+49d35m13.1s,49.586960,892.17,4414.00,0.74,11.00
BD+48 740 b,Radial Velocity,1,733.00000000,1.700000,0.760000,1.70000,,02h42m58.22s,40.742569,+48d55m48.2s,48.930061,678.94,4534.00,1.09,10.33
BD+49 828 b,Radial Velocity,1,2590.00000000,4.200000,0.350000,1.60000,,03h02m33.73s,45.640529,+49d43m48.0s,49.730011,447.59,4943.00,1.52,7.60
BD-06 1339 b,Radial Velocity,2,3.87280000,0.042800,0.000000,0.02700,,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.28,4324.00,0.70,
BD-06 1339 c,Radial Velocity,2,125.94000000,0.435000,0.310000,0.17000,,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.28,4324.00,0.70,
