,PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SurfaceTempK,RightAscension,Declination,star_solar_mass,star_solar_radius,star_temp,ListsPlanetIsOn
3071,Kepler-528 b,0,,0.18600000000000003,19.78297415,,19 42 44,+47 44 53,1.01,1.06,5807.0,Confirmed planets
3072,Kepler-112 b,0,,0.21506999999999998,8.408878,,19 47 55,+43 12 35,0.946,0.841,5544.0,Confirmed planets
3073,Kepler-112 c,0,,0.21871,28.574263000000002,,19 47 55,+43 12 35,0.946,0.841,5544.0,Confirmed planets
3074,Kepler-421 b,0,,0.379102,704.1984,184.0,18 53 01,+45 05 16,0.794,0.757,5308.0,Confirmed planets
3075,Kepler-388 b,0,,0.07382000000000001,3.173315,,18 59 18,+44 36 31,0.635,0.586,4498.0,Confirmed planets
3076,Kepler-388 c,0,,0.07837000000000001,13.297004000000001,,18 59 18,+44 36 31,0.635,0.586,4498.0,Confirmed planets
3077,Kepler-589 b,0,,0.203,16.54964934,,18 42 34,+47 45 07,0.88,0.83,5296.0,Confirmed planets
3078,Kepler-1003 b,0,,0.159,3.55485691,,19 28 05,+44 52 34,1.11,1.17,6109.0,Confirmed planets
3079,Kepler-703 b,0,,0.732,4.58352176,,19 56 45,+41 44 34,1.18,1.27,6185.0,Confirmed planets
3080,Kepler-792 b,0,,0.175,11.30119217,,19 28 02,+38 49 15,1.09,1.12,5971.0,Confirmed planets
3081,KOI-183 b,0,0.595,1.192,2.6843285,1605.0,19 31 25,+46 23 28,0.85,0.95,5560.0,Confirmed planets
3082,Kepler-656 b,0,,0.278,1.26025909,,19 13 19,+47 22 54,0.86,0.82,5281.0,Confirmed planets
3083,Kepler-1010 b,0,,0.207,34.2685705,,19 16 46,+44 08 58,0.86,0.82,5253.0,Confirmed planets
3084,CoRoT-5 b,0,0.467,1.3880000000000001,4.0378962,1316.3,06 45 07,+00 48 55,1.0,1.186,6100.0,Confirmed planets
3085,Kepler-483 b,0,,0.28600000000000003,30.229104,,19 26 35,+41 53 05,1.28,1.47,6346.0,Confirmed planets
3086,Kepler-1443 b,0,,0.087,2.41811321,,18 53 45,+47 04 01,1.19,1.27,6289.0,Confirmed planets
3087,Kepler-786 b,0,,0.217,53.52934870000001,,19 34 59,+38 56 21,0.81,0.74,4838.0,Confirmed planets
3088,Kepler-399 d,0,,0.17224,58.034616,,19 58 00,+40 40 14,0.927,0.68,5502.0,Confirmed planets
3089,Kepler-399 b,0,,0.08749,14.425281,,19 58 00,+40 40 14,0.927,0.68,5502.0,Confirmed planets
3090,Kepler-399 c,0,,0.13032,26.675690000000003,,19 58 00,+40 40 14,0.927,0.68,5502.0,Confirmed planets
3091,Kepler-743 b,0,,0.10800000000000001,3.17926292,,19 42 18,+42 48 23,0.94,0.85,5486.0,Confirmed planets
3092,GJ 3323 b,0,0.00636,,5.3636,,05 01 58,-06 03 14,0.16399999999999998,0.11900000000000001,3159.0,Confirmed planets
3093,GJ 3323 c,0,0.00727,,40.54,,05 01 58,-06 03 14,0.16399999999999998,0.11900000000000001,3159.0,Confirmed planets
3094,Gliese 777 A b,2,1.495,,2867.9,,20 03 37.405,+29 53 48.50,1.04,1.2,,"Confirmed planets, Planets in binary systems, S-type"
3095,Gliese 777 A c,2,0.064,,17.1186,,20 03 37.405,+29 53 48.50,1.04,1.2,,"Confirmed planets, Planets in binary systems, S-type"
3096,Kepler-268 b,0,,0.23238000000000003,25.934138,,19 27 54,+38 03 18,1.13,1.274,6081.0,Confirmed planets
3097,Kepler-268 c,0,,0.30801999999999996,83.446393,,19 27 54,+38 03 18,1.13,1.274,6081.0,Confirmed planets
3098,Kepler-1106 b,0,,0.147,1.25275217,,19 24 35,+44 03 45,1.11,1.17,6104.0,Confirmed planets
