kepoi_name,disposition,pdisposition,orb_period,impact,duration,depth,prad,teq,insol,steff,slogg,srad,right_ascension,declination
K00977.01,CANDIDATE,CANDIDATE,1.353771892,1.203,7.012,1349.1,430.99,4903.0,136609.48,4283.0,2.012,15.76,292.71963999999997,48.852016
K00978.01,FALSE POSITIVE,FALSE POSITIVE,18.95491633,1.228,24.249,867.5,71.39,1139.0,397.48,6362.0,3.761,2.534,284.02679,49.415428000000006
K00979.01,FALSE POSITIVE,FALSE POSITIVE,4.348866254,1.187,3.2797,625.6,2436.69,6421.0,401588.95,3598.0,0.65,101.451,298.80411000000004,40.843563
K00980.01,FALSE POSITIVE,FALSE POSITIVE,47.93094546,1.272,2.6897,2144.4,68.02,905.0,158.41,8214.0,4.104,1.938,295.59872,50.720669
K00981.01,FALSE POSITIVE,FALSE POSITIVE,3.99751422,0.0303,3.686,32.8,2.98,2203.0,5563.95,5066.0,3.122,5.324,283.73642,44.71331
K00982.01,FALSE POSITIVE,FALSE POSITIVE,1.5926331809999998,0.003,5.5605,633.1,1.56,1053.0,290.51,4506.0,4.626,0.651,291.76196,37.09864
K00134.01,FALSE POSITIVE,FALSE POSITIVE,67.5923754,0.728,12.249,4158.1,12.1,588.0,28.2,6038.0,4.082,1.744,295.58657999999997,45.364979
K01052.01,CONFIRMED,CANDIDATE,17.02902786,0.202,4.645,568.9,2.54,755.0,76.66,5839.0,4.327,1.067,290.51047,41.244820000000004
K01052.02,CONFIRMED,CANDIDATE,6.84619236,0.077,3.529,246.8,1.67,1022.0,258.41,5839.0,4.327,1.067,290.51047,41.244820000000004
K01052.03,CONFIRMED,CANDIDATE,67.8321638,0.027,7.358,507.8,2.39,476.0,12.14,5839.0,4.327,1.067,290.51047,41.244820000000004
K01052.04,CONFIRMED,CANDIDATE,43.1312147,0.67,3.198,447.8,2.39,554.0,22.21,5839.0,4.327,1.067,290.51047,41.244820000000004
K01053.01,CONFIRMED,CANDIDATE,1.2248664409999999,0.286,1.7086,196.0,1.54,1741.0,2174.33,5553.0,4.32,1.107,290.60794,41.201091999999996
K01112.01,CANDIDATE,CANDIDATE,37.8102649,0.061,8.733,570.3,2.33,566.0,24.27,6085.0,4.4510000000000005,0.973,289.7767,38.26228
K01113.01,CONFIRMED,CANDIDATE,25.93406406,0.014,4.6142,414.5,2.48,695.0,55.1,5952.0,4.287,1.225,291.97617,38.05508
K01113.02,CONFIRMED,CANDIDATE,83.4463485,0.058,6.536,503.0,2.73,471.0,11.59,5952.0,4.287,1.225,291.97617,38.05508
K01114.01,FALSE POSITIVE,FALSE POSITIVE,7.04710032,1.195,2.926,400.9,25.2,986.0,223.84,5766.0,4.363,1.068,290.13492,38.404221
K01115.01,CONFIRMED,CANDIDATE,12.99204853,0.091,6.0175,270.6,2.03,866.0,132.94,5765.0,4.236000000000001,1.242,291.42357999999996,38.216590999999994
K01182.01,FALSE POSITIVE,FALSE POSITIVE,11.11620211,0.937,4.211,4843.9,8.96,853.0,125.21,6122.0,4.471,0.996,295.29193,38.964588
K01183.01,FALSE POSITIVE,FALSE POSITIVE,1.9228614990000001,0.943,3.5734,1916.2,5.09,1392.0,884.12,5778.0,4.531000000000001,0.911,291.44507000000004,38.637211
K01184.01,FALSE POSITIVE,FALSE POSITIVE,0.635445336,1.253,1.8592,2547.4,19.0,1177.0,451.42,3920.0,4.7,0.55,285.08026,39.182109999999994
K01185.01,FALSE POSITIVE,FALSE POSITIVE,1.665784138,1.27,1.8946,2006.2,97.27,2636.0,11424.49,6261.0,3.6860000000000004,2.789,291.47629,38.50058
K01186.01,FALSE POSITIVE,FALSE POSITIVE,55.6639167,1.298,23.546,3414.4,34.14,434.0,8.38,5587.0,4.5280000000000005,0.853,294.74054,39.015511
K00152.01,CONFIRMED,CANDIDATE,52.09081627,0.065,8.6388,2894.1,7.14,592.0,29.07,6198.0,4.237,1.324,300.51712000000003,44.38158
K00983.01,FALSE POSITIVE,FALSE POSITIVE,7.1548608,0.9848,7.694,780.4,7.41,1482.0,1141.57,7443.0,4.166,1.739,289.87411000000003,49.68549
K00984.01,CANDIDATE,CANDIDATE,4.28746668,0.374,1.5693,790.1,2.29,942.0,186.31,5296.0,4.5760000000000005,0.815,291.0488,36.839882
K00985.01,FALSE POSITIVE,FALSE POSITIVE,2.002779769,0.242,2.231,260.5,1.42,1311.0,696.4,5346.0,4.44,0.892,298.44775,47.264998999999996
K00986.01,CONFIRMED,CANDIDATE,8.18739443,0.377,3.0472,517.6,1.92,782.0,88.36,5251.0,4.494,0.849,291.92596000000003,38.014117999999996
K00986.02,CONFIRMED,CANDIDATE,76.0498163,0.015,7.158,445.9,1.75,372.0,4.53,5251.0,4.494,0.849,291.92596000000003,38.014117999999996
K00139.02,CONFIRMED,CANDIDATE,3.341799486,0.426,2.9254,178.2,1.67,1356.0,798.41,5873.0,4.293,1.235,291.65317000000005,44.688271
K01054.01,FALSE POSITIVE,FALSE POSITIVE,3.3226948,0.4722,3.568,78.7,15.33,3859.0,52428.3,5234.0,2.41,16.959,288.68259,41.307320000000004
K01055.01,FALSE POSITIVE,FALSE POSITIVE,36.97708808,1.246,4.737,1269.9,38.6,602.0,31.08,5589.0,4.1930000000000005,1.239,288.44287,41.17218
K01056.01,FALSE POSITIVE,FALSE POSITIVE,1.851409163,1.1117,10.232,232.5,20.42,2154.0,5090.14,7117.0,4.176,1.469,293.2735,41.257690000000004
K01057.01,FALSE POSITIVE,FALSE POSITIVE,1.303859704,0.674,2.8239,36.7,0.98,2393.0,7759.2,6802.0,4.103,1.521,298.13794,41.334358
K00147.01,FALSE POSITIVE,FALSE POSITIVE,145.5624926,1.274,5.4126,2931.6,40.15,387.0,5.33,6148.0,4.346,1.095,286.49072,37.489979
K01116.01,CONFIRMED,CANDIDATE,3.749105745,0.942,1.9826,182.6,1.68,1160.0,428.25,5751.0,4.447,0.983,290.88467,38.057571
K01117.01,CONFIRMED,CANDIDATE,11.08956602,0.02,6.2877,148.1,3.51,1422.0,965.62,6353.0,3.698,2.867,291.03192,38.21196
K01118.01,CANDIDATE,CANDIDATE,7.37290344,0.993,2.172,205.2,2.67,1004.0,240.11,5973.0,4.371,1.07,291.65097000000003,38.028178999999994
K01119.01,FALSE POSITIVE,FALSE POSITIVE,7.24476126,0.04,2.3145,58.0,0.65,837.0,116.02,5370.0,4.494,0.874,294.49011,38.194126000000004
K01193.01,CANDIDATE,CANDIDATE,119.0624882,0.968,3.1188,5372.3,10.4,366.0,4.26,5697.0,4.3919999999999995,0.92,287.88812,39.078709
K01194.01,CONFIRMED,CANDIDATE,8.70798309,0.063,2.4904,1419.6,2.01,543.0,20.59,4362.0,4.7219999999999995,0.554,293.80441,38.63913
K01194.02,FALSE POSITIVE,FALSE POSITIVE,14.8623076,0.324,3.161,840.0,1.57,454.0,10.08,4362.0,4.7219999999999995,0.554,293.80441,38.63913
K01194.03,CONFIRMED,CANDIDATE,4.17634276,0.142,2.335,531.5,1.23,694.0,54.8,4362.0,4.7219999999999995,0.554,293.80441,38.63913
K00152.02,CONFIRMED,CANDIDATE,27.40229859,0.022,6.8491,747.5,3.63,734.0,68.46,6198.0,4.237,1.324,300.51712000000003,44.38158
K00987.01,CONFIRMED,CANDIDATE,3.1792672860000004,0.171,1.0246,200.9,1.21,1101.0,347.01,5511.0,4.553999999999999,0.857,295.57416,42.806438
K00988.01,CONFIRMED,CANDIDATE,10.38122447,0.319,2.715,801.5,2.18,672.0,48.37,5095.0,4.566,0.78,291.36478,37.609169
K00988.02,CONFIRMED,CANDIDATE,24.5709023,0.945,3.587,764.2,2.82,505.0,15.33,5095.0,4.566,0.78,291.36478,37.609169
K00989.01,FALSE POSITIVE,FALSE POSITIVE,81.221876,1.01,4.1135,9883.0,16.59,385.0,5.2,5619.0,4.5360000000000005,0.874,296.38229,48.045311
K00989.02,FALSE POSITIVE,FALSE POSITIVE,0.817026268,0.01,2.0799,1145.5,2.92,1784.0,2386.13,5619.0,4.5360000000000005,0.874,296.38229,48.045311
K00135.01,CONFIRMED,CANDIDATE,3.024092505,0.424,2.8021,7765.0,12.14,1489.0,1162.54,6063.0,4.261,1.358,285.24084,46.668251
K01058.01,CANDIDATE,CANDIDATE,5.670155713,1.267,0.9361,536.7,5.85,341.0,3.21,3337.0,5.126,0.183,292.26181,41.442554
K01059.01,CONFIRMED,CANDIDATE,1.0226786540000001,0.019,1.3712,129.2,1.14,1734.0,2138.47,5366.0,4.363,1.02,296.68045,41.386520000000004
K01060.01,CONFIRMED,CANDIDATE,12.10968709,0.924,6.3461,284.7,2.98,1005.0,240.8,6021.0,4.093,1.458,293.08463,41.135441
K01060.02,CONFIRMED,CANDIDATE,4.75796103,0.621,4.66,124.5,1.7,1372.0,835.65,6021.0,4.093,1.458,293.08463,41.135441
K01060.03,CONFIRMED,CANDIDATE,20.4972755,0.966,8.536,242.9,2.96,843.0,119.42,6021.0,4.093,1.458,293.08463,41.135441
K01119.02,FALSE POSITIVE,FALSE POSITIVE,13.55480534,0.497,2.288,48.3,0.62,679.0,50.41,5370.0,4.494,0.874,294.49011,38.194126000000004
K01120.01,FALSE POSITIVE,FALSE POSITIVE,29.74454668,0.337,23.2842,66894.0,20.06,455.0,10.1,4889.0,4.569,0.788,297.75708,41.680454
K01121.01,FALSE POSITIVE,FALSE POSITIVE,14.15402428,1.1,4.47001,61625.0,53.25,777.0,86.13,5850.0,4.404,1.037,290.35294,41.769740999999996
K01122.01,FALSE POSITIVE,FALSE POSITIVE,0.844786082,1.297,3.5289,2468.5,35.27,1864.0,2846.03,5705.0,4.452,0.915,298.71152,41.635791999999995
K01123.01,FALSE POSITIVE,FALSE POSITIVE,0.8484839470000001,1.264,1.4451,1907.4,32.11,1908.0,3117.82,5941.0,4.504,0.936,292.23679,41.7393
K01124.01,FALSE POSITIVE,FALSE POSITIVE,11.99097576,1.269,5.7401,2124.3,37.47,880.0,141.63,6110.0,4.352,1.072,296.29855,41.602717999999996
K01199.01,CONFIRMED,CANDIDATE,53.5292702,0.346,5.668,1086.1,2.28,348.0,3.48,4736.0,4.624,0.708,293.74393,38.939281
K01200.01,FALSE POSITIVE,FALSE POSITIVE,0.39372681299999995,1.1898,2.95,564.6,24.17,2705.0,12661.53,6277.0,4.449,1.031,294.65121,38.636459
K01201.01,CANDIDATE,CANDIDATE,2.757584622,0.093,0.9267,563.1,1.01,615.0,33.79,3683.0,4.84,0.424,292.57703,39.12088
K01202.01,CONFIRMED,CANDIDATE,0.928310036,0.181,1.1899,376.2,1.16,1115.0,365.72,4109.0,4.672,0.602,291.69247,38.572899
K00152.03,CONFIRMED,CANDIDATE,13.48457668,0.011,5.0197,653.5,3.39,929.0,176.29,6198.0,4.237,1.324,300.51712000000003,44.38158
K01203.01,CONFIRMED,CANDIDATE,31.8841473,0.938,6.122,910.0,3.7,563.0,23.82,5779.0,4.477,0.974,293.56815,39.03632
