pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radj,ra,dec,st_dist,st_teff,st_mass,st_rad
CoRoT-19 b,Transit,1,3.89713,0.0518,0.047,1.11,1.29,97.033582,-0.170681,770.0,6090.0,1.21,1.65
CoRoT-2 b,Transit,1,1.7429935,0.02798,0.0143,3.47,1.466,291.777056,1.3837139999999999,200.0,5625.0,0.96,0.91
CoRoT-20 b,Transit,2,9.24285,0.09,0.59,4.3,,97.72040799999999,0.226919,864.31,,1.14,
CoRoT-20 c,Radial Velocity,2,1675.0,2.9,0.6,17.0,,97.72040799999999,0.226919,864.31,,1.14,
CoRoT-21 b,Transit,1,2.72474,0.0417,0.0,2.26,1.3,101.05245,-0.29913,1398.83,6200.0,1.29,1.95
CoRoT-22 b,Transit,1,9.75598,0.092,0.077,0.038,0.435,280.66711499999997,6.219136,592.0,5939.0,1.1,1.14
CoRoT-23 b,Transit,1,3.6313,0.048,0.16,2.8,1.05,279.78261499999996,4.357806,600.0,5900.0,1.14,1.61
CoRoT-24 b,Transit,2,5.1134,0.056,0.0,0.018,0.33,101.922547,-3.719301,600.0,4950.0,0.91,0.86
CoRoT-24 c,Transit,2,11.759,0.098,0.0,0.088,0.44,101.922547,-3.719301,600.0,4950.0,0.91,0.86
CoRoT-25 b,Transit,1,4.86069,0.0578,0.0,0.27,1.08,280.629662,6.513829,1000.0,6040.0,1.09,1.19
CoRoT-26 b,Transit,1,4.20474,0.0526,0.0,0.52,1.26,279.750514,6.969786999999999,1670.0,5590.0,1.09,1.79
CoRoT-27 b,Transit,1,3.57532,0.0476,0.065,10.39,1.0070000000000001,278.495813,5.538462,1035.15,5900.0,1.05,1.08
CoRoT-28 b,Transit,1,5.20851,0.0603,0.047,0.484,0.955,278.688338,5.57373,560.0,5150.0,1.01,1.78
CoRoT-29 b,Transit,1,2.85057,0.0386,0.082,0.85,0.9,278.90210299999995,6.4796510000000005,765.0,5260.0,0.97,0.9
CoRoT-3 b,Transit,1,4.2568,,0.0,21.66,1.01,292.05526299999997,0.12182,680.0,6740.0,1.37,1.56
CoRoT-4 b,Transit,1,9.20205,0.09,0.0,0.72,1.19,102.194663,-0.672774,741.6,6190.0,1.16,1.17
CoRoT-5 b,Transit,1,4.0378962,0.04947,0.09,0.467,1.3880000000000001,101.277254,0.815239,904.65,6100.0,1.0,1.19
CoRoT-6 b,Transit,1,8.886593,0.0855,0.1,2.96,1.166,281.072525,6.663194,657.24,6090.0,1.05,1.02
CoRoT-7 b,Transit,2,0.85359163,,0.0,0.01,0.15,100.956125,-1.063033,153.7,5275.0,0.82,0.83
CoRoT-7 c,Radial Velocity,2,3.698,0.046,0.0,0.026430000000000002,,100.956125,-1.063033,153.7,5275.0,0.82,0.83
CoRoT-8 b,Transit,1,6.21229,0.063,0.0,0.22,0.57,291.588518,1.426452,380.0,5080.0,0.88,0.77
CoRoT-9 b,Transit,1,95.272656,0.4021,0.133,0.84,1.0659999999999998,280.786712,6.204172,460.0,5625.0,0.96,0.96
