pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radj,ra,dec,st_dist,st_teff,st_mass,st_rad
K2-21 c,Transit,2,15.50192,0.107,0.21,,0.222,340.30368,-14.488987,83.85,4222.06,0.68,0.65
K2-210 b,Transit,1,0.570233,,,,0.073,17.640936,1.578266,177.39,5396.0,0.91,0.85
K2-211 b,Transit,1,0.669558,,,,0.12300000000000001,21.105953,1.704954,274.39,5221.0,0.88,0.82
K2-212 b,Transit,1,9.79551,0.0785,,,0.225,18.423407,3.096936,109.32,4272.0,0.67,0.65
K2-213 b,Transit,1,8.13087,,,,0.135,13.140305,3.507705,394.05,5794.0,1.07,1.2
K2-214 b,Transit,1,8.596802,0.0834,,,0.217,14.876076999999999,4.227798,303.28,5854.0,1.05,1.27
K2-215 b,Transit,1,8.269648,,,,0.18899999999999997,18.470087,6.123901999999999,408.67,5704.0,1.0,0.97
K2-216 b,Transit,1,2.1748,0.028,0.0,0.025169999999999998,0.156,11.480249,6.346971,115.94,4503.0,0.7,0.72
K2-217 b,Transit,1,14.074524,,,,0.319,11.298392,6.481562,386.01,5967.0,1.1,1.33
K2-218 b,Transit,1,8.679885,,,,0.22899999999999998,12.809659,6.84646,398.41,5757.0,1.05,1.01
K2-219 b,Transit,3,3.901287,,,,0.12,12.845309,8.86764,328.42,5753.0,1.02,1.19
K2-219 c,Transit,3,6.66767,,,,0.128,12.845309,8.86764,328.42,5753.0,1.02,1.19
K2-219 d,Transit,3,11.137278,,,,0.23,12.845309,8.86764,328.42,5753.0,1.02,1.19
K2-22 b,Transit,1,0.381078,0.0088,,1.4,0.223,169.482819,2.6190700000000002,245.53,3830.0,0.6,0.57
K2-220 b,Transit,1,13.683256,0.1104,,,0.213,12.769862,9.516805999999999,234.92,5660.0,0.96,1.02
K2-221 b,Transit,1,2.399094,,,,0.15,16.654982,10.189687,321.63,5716.0,1.01,0.95
K2-222 b,Transit,1,15.387063,0.1211,,,0.213,16.46228,11.753423,101.59,6058.0,1.0,1.09
K2-223 b,Transit,2,0.50565,0.0127,,,0.079,185.306152,-10.282036999999999,201.1,5835.0,1.06,0.99
K2-223 c,Transit,2,4.56327,0.0549,,,0.14,185.306152,-10.282036999999999,201.1,5835.0,1.06,0.99
K2-224 b,Transit,2,4.47904,0.0516,,,0.139,189.70408600000002,-10.060654,277.7,5620.0,0.91,0.84
K2-224 c,Transit,2,10.09489,0.0886,,,0.215,189.70408600000002,-10.060654,277.7,5620.0,0.91,0.84
K2-225 b,Transit,1,15.87209,0.134,,,0.311,186.54129,-9.624804,360.3,5742.0,1.27,1.7
K2-226 b,Transit,1,3.27108,0.0413,,,0.13699999999999998,183.64575200000002,-9.562642,211.2,5424.0,0.88,0.91
K2-227 b,Transit,1,13.621832,,,,0.149,190.94847099999998,-8.478236,188.22,5673.0,0.95,0.89
K2-228 b,Transit,1,2.69828,0.0338,,,0.10800000000000001,187.29478500000002,-6.834258,142.4,4715.0,0.71,0.65
K2-229 b,Transit,2,0.58426,0.0131,,,0.102,186.87326000000002,-6.721861,103.8,5315.0,0.87,0.79
K2-229 c,Transit,2,8.32727,0.0769,,,0.18100000000000002,186.87326000000002,-6.721861,103.8,5315.0,0.87,0.79
K2-230 b,Transit,1,2.86041,0.0409,,,0.175,191.363205,-6.576109,548.9,5945.0,1.11,1.39
K2-231 b,Transit,1,13.841901,,,,0.223,289.091827,-15.771107999999998,295.0,5695.0,1.01,0.95
K2-232 b,Transit,1,11.168454,0.10355999999999999,0.258,0.398,1.0,73.76651,18.654535,131.21,6154.0,1.19,1.16
K2-233 b,Transit,3,2.46746,0.03317,0.0,,0.125,230.47997999999998,-20.231684,67.64,4950.0,0.8,0.74
K2-233 c,Transit,3,7.06142,0.06687,0.0,,0.11900000000000001,230.47997999999998,-20.231684,67.64,4950.0,0.8,0.74
K2-233 d,Transit,3,24.3662,0.1527,0.0,,0.23600000000000002,230.47997999999998,-20.231684,67.64,4950.0,0.8,0.74
K2-237 b,Transit,1,2.18056,0.037,0.0,1.6,1.65,253.76889,-28.710564,458.0,6257.0,1.28,1.43
K2-238 b,Transit,1,3.20466,0.046,0.0,0.86,1.3,347.704346,-7.857499000000001,453.0,5630.0,1.19,1.59
K2-239 b,Transit,3,5.24,0.0441,,,0.098,160.594299,4.441349,49.0,3420.0,0.4,0.36
K2-239 c,Transit,3,7.775,0.0576,,,0.08900000000000001,160.594299,4.441349,49.0,3420.0,0.4,0.36
K2-239 d,Transit,3,10.115,0.0685,,,0.098,160.594299,4.441349,49.0,3420.0,0.4,0.36
K2-24 b,Transit,2,20.88977,,0.06,0.05977999999999999,0.48200000000000004,242.573715,-24.990332000000002,171.39,5625.0,1.07,1.16
K2-24 c,Transit,2,42.3391,,0.07,0.04845,0.669,242.573715,-24.990332000000002,171.39,5625.0,1.07,1.16
K2-240 b,Transit,2,6.034,0.0513,,,0.17800000000000002,227.849609,-17.875217000000003,70.0,3810.0,0.58,0.54
K2-240 c,Transit,2,20.523,0.1159,,,0.161,227.849609,-17.875217000000003,70.0,3810.0,0.58,0.54
K2-241 b,Transit,1,26.8199,0.1567,,,0.22699999999999998,181.239365,-6.804924000000001,149.6,5262.0,0.71,0.75
K2-242 b,Transit,1,6.51389,0.0494,,,0.22699999999999998,179.83590700000002,-6.517851,109.6,3459.0,0.38,0.37
K2-243 b,Transit,2,11.54182,0.1087,,,0.19399999999999998,181.121399,-4.899185,269.2,6570.0,1.29,1.39
K2-243 c,Transit,2,24.94598,0.1817,,,0.179,181.121399,-4.899185,269.2,6570.0,1.29,1.39
K2-244 b,Transit,1,21.06884,0.1418,,,0.156,183.468918,-3.831868,214.0,5677.0,0.86,0.92
K2-245 b,Transit,1,11.89307,0.0959,,,0.387,185.181686,-1.590889,463.4,5793.0,0.83,1.25
K2-246 b,Transit,1,5.76918,0.0602,,,0.311,181.629715,-1.16056,723.1,5610.0,0.87,0.94
K2-247 b,Transit,2,2.25021,0.0304,,,0.18899999999999997,188.893692,-10.069232000000001,260.2,4667.0,0.74,0.69
K2-247 c,Transit,2,6.49424,0.0615,,,0.195,188.893692,-10.069232000000001,260.2,4667.0,0.74,0.69
K2-248 b,Transit,1,7.17256,0.0699,,,0.22899999999999998,182.81724499999999,-9.414005,410.5,5528.0,0.88,0.92
K2-249 b,Transit,1,12.409,0.1151,,,0.249,183.366669,-8.995114,528.3,6504.0,1.32,1.57
K2-25 b,Transit,1,3.484552,,0.27,,0.306,63.273433999999995,15.247763,45.01,3180.0,0.29,0.29
K2-250 b,Transit,1,4.01457,0.0459,,,0.218,185.031769,-8.975785,417.6,5172.0,0.8,0.81
K2-251 b,Transit,1,9.30075,0.0694,,,0.21,190.689224,-8.535919999999999,147.7,3717.0,0.52,0.49
K2-252 b,Transit,1,13.81513,0.1041,,,0.155,182.36636399999998,-8.30952,229.9,5152.0,0.79,0.82
K2-253 b,Transit,1,4.00167,0.0506,,,1.13,186.085403,-6.378883999999999,901.8,6027.0,1.08,1.1
K2-254 b,Transit,2,4.09639,0.0448,,,0.145,185.550751,-4.717236,229.4,4629.0,0.71,0.67
K2-254 c,Transit,2,12.11839,0.0923,,,0.195,185.550751,-4.717236,229.4,4629.0,0.71,0.67
K2-255 b,Transit,1,1.96417,0.0274,,,0.259,189.912994,-3.370542,192.4,4676.0,0.71,0.69
K2-256 b,Transit,1,5.52011,0.0578,,,0.235,186.227158,-2.065931,580.5,5219.0,0.84,0.78
K2-257 b,Transit,1,1.60588,0.0216,,,0.07400000000000001,188.27848799999998,-1.953159,64.1,3725.0,0.52,0.5
K2-258 b,Transit,1,19.0921,0.149,,,0.268,187.63133200000001,-1.1609200000000002,675.2,6351.0,1.21,1.31
K2-259 b,Transit,1,15.48043,0.1271,,,0.207,186.802689,1.566849,422.1,6059.0,1.14,1.13
K2-26 b,Transit,1,14.5665,0.0962,,,0.23800000000000002,94.206581,24.596411,99.33,3785.0,0.56,0.52
K2-260 b,Transit,1,2.6266657,0.0404,0.0,1.42,1.5519999999999998,76.867325,16.867718,676.32,6367.0,1.39,1.69
K2-261 b,Transit,1,11.63344,0.102,0.39,0.223,0.85,163.032425,0.49335200000000007,214.58,5537.0,1.1,1.65
K2-263 b,Transit,1,50.818947,0.2573,0.14,0.04657,0.215,129.68238799999997,15.680626,163.23,5368.0,0.88,0.85
K2-264 b,Transit,2,5.840002,0.050230000000000004,,,0.19899999999999998,131.358566,19.698462,187.0,3660.0,0.5,0.47
K2-264 c,Transit,2,19.660302,0.11283,,,0.23800000000000002,131.358566,19.698462,187.0,3660.0,0.5,0.47
K2-265 b,Transit,1,2.369172,0.033760000000000005,0.084,0.02058,0.153,342.031525,-14.494689000000001,139.22,5477.0,0.92,0.98
K2-266 b,Transit,4,0.658524,0.013059999999999999,,0.03555,0.294,157.93544,0.9375709999999999,77.16,4285.0,0.69,0.7
K2-266 c,Transit,4,7.814,0.0679,0.042,0.00091,0.063,157.93544,0.9375709999999999,77.16,4285.0,0.69,0.7
K2-266 d,Transit,4,14.697,0.1035,0.047,0.029580000000000002,0.261,157.93544,0.9375709999999999,77.16,4285.0,0.69,0.7
K2-266 e,Transit,4,19.482,0.1249,0.043,0.02611,0.244,157.93544,0.9375709999999999,77.16,4285.0,0.69,0.7
K2-268 b,Transit,2,2.151894,0.0308,,,0.126,133.709549,11.848265,331.46,5068.0,0.84,0.78
K2-268 c,Transit,2,9.326841,0.0819,,,0.24,133.709549,11.848265,331.46,5068.0,0.84,0.78
K2-269 b,Transit,1,4.144965,0.0531,,,0.14,130.155167,13.014676,362.07,6209.0,1.16,1.45
K2-27 b,Transit,1,6.771315,0.06702000000000001,0.251,0.09722,0.4,171.515167,1.2307379999999999,251.43,5248.0,0.87,0.89
K2-270 b,Transit,2,1.543069,0.0247,,,0.12300000000000001,131.266602,13.549833,283.53,4877.0,0.85,0.77
K2-270 c,Transit,2,4.400028,0.0497,,,0.263,131.266602,13.549833,283.53,4877.0,0.85,0.77
K2-271 b,Transit,1,8.562421,0.077,,,0.649,125.22388500000001,16.090946,571.47,5644.0,0.83,0.99
K2-272 b,Transit,1,14.453533,0.1081,,,0.26,132.621124,17.542444,426.57,5419.0,0.81,0.81
K2-273 b,Transit,1,11.716332,0.0974,,,0.39399999999999996,129.777054,19.010023,310.6,5200.0,0.9,0.84
K2-274 b,Transit,1,14.129714,0.1064,,,0.196,129.28243999999998,20.399372,232.82,5065.0,0.81,0.74
K2-275 b,Transit,2,3.280961,0.04,,,0.2,132.16989099999998,20.455076000000002,124.09,4812.0,0.79,0.73
K2-275 c,Transit,2,8.438756,0.075,,,0.209,132.16989099999998,20.455076000000002,124.09,4812.0,0.79,0.73
K2-276 b,Transit,1,18.718269,0.1291,,,0.336,125.952751,22.634024,489.88,5139.0,0.82,0.85
K2-277 b,Transit,1,6.326763,0.0675,,,0.185,202.01663200000002,-15.93782,113.53,5741.0,1.02,0.97
K2-278 b,Transit,1,3.334966,0.0488,,,0.266,203.301773,-14.504056,804.13,6747.0,1.4,1.61
K2-279 b,Transit,1,7.122605,0.067,,,0.10800000000000001,204.779724,-6.041594,183.8,5558.0,0.79,0.86
K2-28 b,Transit,1,2.260455,0.0214,0.0,,0.207,335.62439,-7.955366000000001,63.11,3214.0,0.26,0.29
K2-280 b,Transit,1,19.895202,0.1488,,,0.684,291.59533700000003,-22.247662,396.9,5742.0,1.11,1.28
K2-281 b,Transit,1,8.687721,0.0773,,,0.73,16.22735,7.269234,466.11,4812.0,0.82,0.76
K2-282 b,Transit,1,4.169836,0.0499,,,0.252,13.432017000000002,7.995316000000001,502.28,5523.0,0.95,0.94
K2-283 b,Transit,1,1.921036,0.0291,,,0.314,13.194414000000002,9.692924,408.24,5060.0,0.89,0.82
K2-284 b,Transit,1,4.795069,0.04771,0.078,,0.248,79.140686,20.255108,107.6,4140.0,0.63,0.61
K2-285 b,Transit,4,3.471745,0.038169999999999996,0.0,0.03046,0.231,349.384277,1.30029,155.65,4975.0,0.83,0.79
K2-285 c,Transit,4,7.138048,0.0824,0.0,0.04933,0.315,349.384277,1.30029,155.65,4975.0,0.83,0.79
K2-285 d,Transit,4,10.45582,0.1178,0.0,0.02045,0.221,349.384277,1.30029,155.65,4975.0,0.83,0.79
K2-285 e,Transit,4,14.76289,0.18041,0.0,0.03367,0.174,349.384277,1.30029,155.65,4975.0,0.83,0.79
K2-286 b,Transit,1,27.359,0.1768,,,0.187,233.36956800000002,-16.773256,76.32,3926.0,0.64,0.62
K2-287 b,Transit,1,14.893291,0.1206,0.478,0.315,0.847,233.074341,-22.358261,159.05,5695.0,1.06,1.07
K2-288 B b,Transit,1,31.393463,0.164,,,0.17,55.443439,18.268902,65.72,3341.0,0.33,0.32
K2-289 b,Transit,1,13.156969,0.107,,,0.812,246.643036,-15.792385999999999,270.7,5529.0,0.95,1.02
K2-29 b,Transit,1,3.2588321,0.04217,0.066,0.73,1.19,62.670646999999995,24.402042,179.39,5358.0,0.94,0.86
K2-290 b,Transit,2,9.21165,0.0923,0.0,0.0343,0.273,234.857773,-20.198818,274.99,6302.0,1.19,1.51
K2-290 c,Transit,2,48.36685,0.305,0.0,0.774,1.006,234.857773,-20.198818,274.99,6302.0,1.19,1.51
K2-291 b,Transit,1,2.225177,0.03261,0.0,0.020419999999999997,0.142,76.44579300000001,21.54863,90.29,5520.0,0.93,0.9
K2-293 b,Transit,1,13.1225,,,,0.21899999999999997,351.606354,-6.027876,396.64,5532.0,0.96,0.95
K2-294 b,Transit,1,2.50387,,,,0.14800000000000002,352.051666,-7.603689999999999,377.04,5612.0,0.99,1.2
K2-3 b,Transit,3,10.05449,0.0769,,,0.19399999999999998,172.334946,-1.454787,44.13,3896.0,0.6,0.56
K2-3 c,Transit,3,24.64354,0.1399,,,0.165,172.334946,-1.454787,44.13,3896.0,0.6,0.56
K2-3 d,Transit,3,44.55983,0.2076,,,0.135,172.334946,-1.454787,44.13,3896.0,0.6,0.56
K2-30 b,Transit,1,4.098503,0.048389999999999996,0.0,0.579,1.0390000000000001,52.341961,22.299404,336.26,5425.0,0.9,0.84
K2-31 b,Transit,1,1.25785,0.022,0.0,1.774,1.06,245.44075,-23.547864999999998,110.87,5280.0,0.91,0.78
K2-32 b,Transit,3,8.99213,0.08036,0.0,0.051910000000000005,0.45799999999999996,252.426086,-19.542822,158.39,5275.0,0.86,0.84
K2-32 c,Transit,3,20.6602,0.1399,0.0,0.03807,0.26899999999999996,252.426086,-19.542822,158.39,5275.0,0.86,0.84
K2-32 d,Transit,3,31.7154,0.1862,0.0,0.03241,0.306,252.426086,-19.542822,158.39,5275.0,0.86,0.84
K2-33 b,Transit,1,5.424865,,0.0,3.7,0.45,242.561401,-19.319273000000003,139.8,3540.0,0.56,1.05
K2-34 b,Transit,1,2.995633,0.0426,,,1.245,127.578773,22.235909,352.34,6071.0,1.15,1.44
K2-35 b,Transit,2,5.608352,0.055,0.12,,0.172,170.10308799999999,1.2859559999999999,254.43,4402.71,0.7,0.62
K2-35 c,Transit,2,2.399964,0.031,0.13,,0.11800000000000001,170.10308799999999,1.2859559999999999,254.43,4402.71,0.7,0.62
K2-36 b,Transit,2,1.42266,0.023,,,0.11800000000000001,169.449066,3.866393,110.09,4924.0,0.8,0.74
K2-36 c,Transit,2,5.34059,0.0555,,,0.25,169.449066,3.866393,110.09,4924.0,0.8,0.74
K2-37 b,Transit,3,4.44117,0.0511,,,0.14400000000000002,243.451004,-24.787062,180.86,5413.0,0.9,0.85
K2-37 c,Transit,3,6.42904,0.0654,,,0.245,243.451004,-24.787062,180.86,5413.0,0.9,0.85
K2-37 d,Transit,3,14.09189,0.1103,,,0.244,243.451004,-24.787062,180.86,5413.0,0.9,0.85
K2-38 b,Transit,2,4.01593,,,0.06,0.17,240.03358500000002,-23.189287,193.71,5757.0,2.24,1.38
K2-38 c,Transit,2,10.56103,0.0964,,0.03115,0.21600000000000003,240.03358500000002,-23.189287,193.71,5757.0,2.24,1.38
K2-39 b,Transit,1,4.60543,,0.0,0.09,0.56,338.368378,-9.022769,310.14,4881.0,0.66,2.97
K2-4 b,Transit,1,10.003417,0.078,0.08,,0.187,174.74563600000002,-3.905585,233.37,4014.73,0.64,0.57
K2-42 b,Transit,1,6.68796,0.0617,,,0.192,176.665726,-5.171913,401.36,4613.0,0.7,0.64
K2-43 b,Transit,1,3.471341,0.038,0.07,,0.424,169.117142,-3.9754400000000003,183.48,3889.72,0.6,0.59
K2-44 b,Transit,1,5.65688,0.0651,,,0.243,174.011627,-2.520881,483.19,5912.0,1.15,1.58
K2-45 b,Transit,1,1.7292684,0.0224,,,0.599,169.632874,-1.77413,502.34,4103.0,0.5,0.45
K2-46 b,Transit,1,19.1541,0.13821,,,0.183,174.26634199999998,-0.9072610000000001,454.93,6256.0,0.96,1.29
K2-47 b,Transit,1,31.6372,0.1779,,,0.16899999999999998,168.582596,2.780711,353.38,5054.0,0.75,0.76
K2-48 b,Transit,1,20.5065,0.1344,,,0.2,176.12355,3.272425,316.61,4899.0,0.77,0.73
K2-49 b,Transit,1,2.77065,0.0309,,,0.172,177.320206,3.475569,463.06,4175.0,0.51,0.45
K2-5 b,Transit,2,5.73594,0.0532,,,0.17,169.303497,-1.8779759999999999,204.12,3930.0,0.61,0.57
K2-5 c,Transit,2,10.93241,0.0818,,,0.20199999999999999,169.303497,-1.8779759999999999,204.12,3930.0,0.61,0.57
K2-50 b,Transit,1,8.7529,0.0705,,,0.142,169.483627,5.988378,259.33,4326.0,0.61,0.55
K2-52 b,Transit,1,3.535055,0.054,,,1.6059999999999999,246.61142,-24.969948000000002,1041.7,7147.0,1.69,2.19
K2-53 b,Transit,1,12.20772,0.098,,,0.23199999999999998,244.14181499999998,-20.400534,139.1,5263.0,0.85,0.81
K2-54 b,Transit,1,9.7843,0.0671,,,0.10300000000000001,338.05419900000004,-17.543995000000002,175.84,3798.0,0.42,0.38
K2-55 b,Transit,1,2.849258,0.03486,,,0.341,333.751923,-17.250708,160.26,4456.0,0.7,0.63
K2-57 b,Transit,1,9.0063,0.0746,,,0.187,342.691711,-14.069885999999999,266.23,4434.0,0.68,0.62
K2-58 b,Transit,3,7.05254,0.0692,,,0.239,333.82180800000003,-14.049807999999999,182.69,5413.0,0.89,0.86
K2-58 c,Transit,3,2.53726,0.035,,,0.145,333.82180800000003,-14.049807999999999,182.69,5413.0,0.89,0.86
K2-58 d,Transit,3,22.8827,0.1517,,,0.153,333.82180800000003,-14.049807999999999,182.69,5413.0,0.89,0.86
K2-59 b,Transit,2,20.6921,0.1354,,,0.215,338.942352,-14.027745000000001,314.09,5055.0,0.77,0.73
K2-59 c,Transit,2,11.2954,0.0905,,,0.205,338.942352,-14.027745000000001,314.09,5055.0,0.77,0.73
K2-6 b,Transit,1,30.94191,0.1898,,,0.223,178.192261,-1.198477,319.59,5850.0,0.97,0.96
K2-60 b,Transit,1,3.00265,0.045,0.0,0.426,0.6829999999999999,338.606171,-13.731701999999999,498.7,5500.0,0.97,1.12
K2-61 b,Transit,1,2.57302,0.0392,,,0.221,339.674744,-13.560023999999999,410.35,6293.0,1.21,1.36
K2-62 b,Transit,2,6.67202,0.0636,,,0.191,334.364166,-12.187498,112.83,4880.0,0.77,0.73
K2-62 c,Transit,2,16.1966,0.1148,,,0.191,334.364166,-12.187498,112.83,4880.0,0.77,0.73
K2-63 b,Transit,2,20.257,0.1627,,,0.287,333.426666,-12.066374,524.41,6771.0,1.4,1.63
K2-63 c,Transit,2,25.4556,0.189,,,0.348,333.426666,-12.066374,524.41,6771.0,1.4,1.63
K2-64 b,Transit,1,6.53044,0.0619,,,0.185,332.41360499999996,-11.428742,506.87,5312.0,0.74,0.73
K2-65 b,Transit,1,12.6475,0.1014,,,0.141,333.21176099999997,-10.925379,78.06,5213.0,0.87,0.84
K2-66 b,Transit,1,5.06963,0.059829999999999994,,0.06702000000000001,0.222,331.526703,-10.711549,520.43,5887.0,1.11,1.67
K2-68 b,Transit,1,8.05428,0.0708,,,0.141,334.019775,-10.567317999999998,169.47,4746.0,0.73,0.68
K2-69 b,Transit,1,7.06599,0.0591,,,0.207,335.759552,-10.48858,181.63,4127.0,0.55,0.49
K2-7 b,Transit,1,28.67992,0.1814,,,0.23800000000000002,167.093765,-1.065755,754.64,5772.0,0.97,0.96
K2-70 b,Transit,1,13.97896,0.1112,,,0.258,338.4758,-10.084946,234.47,5622.0,0.94,0.93
K2-71 b,Transit,1,6.98541,0.0559,,,0.192,341.724426,-9.881619,153.86,4006.0,0.48,0.43
K2-72 b,Transit,4,5.577212,0.04,0.11,,0.096,334.621979,-9.612382,66.56,3360.47,0.27,0.33
K2-72 c,Transit,4,15.189034,0.078,0.11,,0.10300000000000001,334.621979,-9.612382,66.56,3360.47,0.27,0.33
K2-72 d,Transit,4,7.760178,0.05,0.11,,0.09,334.621979,-9.612382,66.56,3360.47,0.27,0.33
K2-72 e,Transit,4,24.158868,0.106,0.11,,0.115,334.621979,-9.612382,66.56,3360.47,0.27,0.33
K2-73 b,Transit,1,7.49543,0.07619,,,0.21899999999999997,335.025482,-9.056092999999999,271.27,5922.0,1.05,1.06
K2-74 b,Transit,1,19.5666,0.1402,,,0.20600000000000002,339.919342,-8.714505,381.85,6060.0,0.96,0.98
K2-75 b,Transit,2,7.8142,0.081,,,0.23800000000000002,338.844849,-7.469853,570.86,5995.0,1.16,1.56
K2-75 c,Transit,2,18.311,0.1429,,,0.247,338.844849,-7.469853,570.86,5995.0,1.16,1.56
K2-77 b,Transit,1,8.199796,,0.14,1.9,0.205,55.228428,12.572612,142.31,4970.0,0.8,0.76
K2-79 b,Transit,1,10.99573,0.0987,,,0.32899999999999996,55.255905000000006,13.519372,257.9,5926.0,1.06,1.28
K2-8 b,Transit,2,10.35239,0.0856,,,0.319,169.793671,-0.284375,407.93,4870.0,0.78,0.74
K2-8 c,Transit,2,5.06416,0.0532,,,0.215,169.793671,-0.284375,407.93,4870.0,0.78,0.74
K2-80 b,Transit,3,19.0918,0.135,,,0.179,59.037487,13.559289000000001,201.96,5441.0,0.9,0.87
K2-80 c,Transit,3,5.605,0.0596,,,0.131,59.037487,13.559289000000001,201.96,5441.0,0.9,0.87
K2-80 d,Transit,3,28.867253,,,,0.228,59.037487,13.559289000000001,201.96,5441.0,0.9,0.87
K2-81 b,Transit,1,6.102325,0.059,0.06,,0.17600000000000002,57.485489,14.5022,254.14,4674.13,0.75,0.63
K2-83 b,Transit,2,2.74697,0.030139999999999997,,,0.111,59.901562,15.558886,125.98,3910.0,0.48,0.42
K2-83 c,Transit,2,9.99767,0.07131,,,0.132,59.901562,15.558886,125.98,3910.0,0.48,0.42
K2-84 b,Transit,2,6.4215,0.0665,,,0.215,55.809273,16.634548000000002,287.23,5652.0,0.95,0.93
K2-84 c,Transit,2,27.86,0.1768,,,0.18100000000000002,55.809273,16.634548000000002,287.23,5652.0,0.95,0.93
K2-85 b,Transit,1,0.684533,0.012629999999999999,,,0.09,59.46439399999999,18.465254,97.49,4268.0,0.57,0.51
K2-86 b,Transit,1,8.77683,0.077,,,0.175,51.552799,18.635616,260.61,5482.0,0.79,0.76
K2-87 b,Transit,1,9.726618,0.094,,,0.6779999999999999,66.236221,18.827417,503.6,5747.0,1.16,1.4
K2-88 b,Transit,1,4.6122,0.0345,,,0.11,54.751598,19.120178,110.91,3537.0,0.26,0.26
K2-89 b,Transit,1,1.096026,0.01462,,,0.055,57.066715,20.459639000000003,86.25,3691.0,0.35,0.32
K2-9 b,Transit,1,18.4498,0.091,,,0.201,176.264465,0.005301,83.16,3390.0,0.3,0.31
K2-90 b,Transit,2,13.733314,0.096,,,0.23199999999999998,59.152405,22.472631,134.9,4484.0,0.63,0.62
K2-90 c,Transit,2,2.900706,0.035,0.19,,0.11599999999999999,59.152405,22.472631,134.9,4484.0,0.63,0.62
K2-91 b,Transit,1,1.419549,0.0164,,,0.098,63.218063,24.205112,62.69,3622.0,0.29,0.28
K2-95 b,Transit,1,10.134016,0.0696,,,0.34600000000000003,129.36274699999998,18.976685,180.63,3548.0,0.44,0.42
K2-97 b,Transit,1,8.406726,0.086,,,0.9470000000000001,127.762833,10.847586,869.76,4717.0,1.2,4.47
K2-98 b,Transit,1,10.136448,0.0974,,,0.46399999999999997,126.488289,11.511144999999999,526.31,6172.0,1.2,1.57
K2-99 b,Transit,1,18.251985,0.1597,,,1.046,208.773743,-5.4424660000000005,522.29,6217.0,1.63,2.63
KELT-1 b,Transit,1,1.217514,0.024659999999999998,0.0099,27.23,1.11,0.362142,39.383808,262.0,6518.0,1.32,1.46
KELT-10 b,Transit,1,4.1662739,0.0525,,0.679,1.399,284.548373,-47.003242,183.0,5948.0,1.11,1.21
KELT-11 b,Transit,1,4.7361,,0.0007,0.171,1.35,161.70726000000002,-9.399025,98.0,5375.0,1.44,2.69
KELT-12 b,Transit,1,5.031623,0.06708,0.0,0.95,1.78,267.64050299999997,36.570232,360.0,6279.0,1.59,2.37
KELT-14 b,Transit,1,1.7100566,0.03005,0.0,1.284,1.743,108.30148500000001,-42.409744,266.0,5720.0,1.24,1.52
KELT-15 b,Transit,1,3.32944,,0.0,1.31,1.74,117.41503700000001,-52.120453000000005,291.0,6003.0,2.06,1.78
KELT-16 b,Transit,1,0.9689951,0.02044,0.0,2.75,1.415,314.268494,31.661034,450.28,6236.0,1.21,1.36
KELT-17 b,Transit,1,3.0801716,0.04881,,1.31,1.525,125.61752299999999,13.735319,210.0,7454.0,1.64,1.65
KELT-18 b,Transit,1,2.8717518,0.0455,0.0,1.18,1.57,216.524017,59.444275,311.0,6670.0,1.52,1.91
KELT-19 A b,Transit,1,4.6117093,0.0637,,4.07,1.91,111.509499,7.615806,302.8,7500.0,1.62,1.83
KELT-2 A b,Transit,1,4.11379,,0.0,1.7,1.35,92.663948,30.957144,134.57,6327.0,1.54,1.93
KELT-20 b,Transit,1,3.4741085,0.0542,,3.382,1.7409999999999999,294.661407,31.219225,139.7,8720.0,1.76,1.56
KELT-21 b,Transit,1,3.6127647,0.052239999999999995,0.0,3.91,1.5859999999999999,304.800049,32.581039000000004,415.0,7598.0,1.46,1.64
KELT-3 b,Transit,1,2.70339,,0.0,1.94,1.56,148.643324,40.388069,178.0,6304.0,1.96,1.7
KELT-4 A b,Transit,1,2.9895932,0.04317,0.0,0.902,1.699,157.062546,25.573189000000003,210.0,6206.0,1.2,1.6
KELT-6 b,Transit,2,7.8457,,0.22,0.52,1.3,195.981868,30.640051,222.0,6102.0,1.42,1.73
KELT-6 c,Radial Velocity,2,1276.0,2.39,0.21,3.71,,195.981868,30.640051,222.0,6102.0,1.42,1.73
KELT-7 b,Transit,1,2.73477,,0.0,1.39,1.6,78.295532,33.318165,129.0,6768.0,1.76,1.81
KELT-8 b,Transit,1,3.24406,,0.04,0.66,1.62,283.30551,24.12738,236.0,5754.0,0.81,1.46
KELT-9 b,Transit,1,1.4811235,0.03462,0.0,2.88,1.891,307.859802,39.938828,188.7,10170.0,2.52,2.36
KIC 10001893 b,Orbital Brightness Modulation,3,0.2197,,,,,287.389188,46.984489,1758.47,27500.0,,
KIC 10001893 c,Orbital Brightness Modulation,3,0.32528,,,,,287.389188,46.984489,1758.47,27500.0,,
KIC 10001893 d,Orbital Brightness Modulation,3,0.81161,,,,,287.389188,46.984489,1758.47,27500.0,,
KIC 10525077 b,Transit,1,854.083,,,,0.491,287.378077,47.771187,1464.12,6091.0,1.01,1.01
KIC 3558849 b,Transit,1,1322.3,,,,0.616,294.94984700000003,38.605197,1215.64,6175.0,0.98,1.01
KIC 5437945 b,Transit,2,440.7813,,,,0.5710000000000001,288.474857,40.651357,848.0,6340.0,1.07,1.24
KIC 5951458 b,Transit,1,1320.1,,,,0.589,288.991582,41.223038,742.54,6258.0,0.98,1.52
