P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Mean (EU),P. Teq Mean (K),P. Ts Mean (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),S. Name,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Age (Gyrs),S. Distance (pc),S. RA (hrs),S. DEC (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
Kepler-338 d,Hot,Neptunian,gas,metals-rich,non-habitable,3.57,2.65,0.19,0.51,1.16,        50.63894,679.5,,0.7,-23.59,5.05,44.43,0.257,0.03,0.26,Kepler-338,Lyr,G,1.1,1.74,5923.0,3.343146,,,18.8653,40.7843,4,0,1.36,3.193,-2.2,2.44,-0.87,0.23,0.25,0,0,1,Primary Transit,      2014.00
Kepler-338 e,Hot,Superterran,rocky-iron,metals-rich,non-habitable,8.58,1.59,2.15,3.41,2.33,        417.0580,1150.8,1197.3,18.5,-24.76,3.01,9.34,0.0896,0.05,0.09,Kepler-338,Lyr,G,1.1,1.74,5923.0,3.343146,,,18.8653,40.7843,4,0,1.36,3.193,-2.39,-0.72,-0.4,0.28,0.28,0,0,1,TTV,      2014.00
Kepler-339 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,2.89,1.42,1.0,1.43,1.42,        190.8475,946.9,985.5,2.9,-23.67,2.7,4.98,0.055,0.0,0.06,Kepler-339,Cyg,G,0.84,0.8,5631.0,0.577314,,,19.5568,48.4446,3,0,0.575,1.361,-2.32,-0.16,-0.83,0.29,0.29,0,0,1,Primary Transit,      2014.00
Kepler-339 c,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.4,1.15,0.91,1.05,1.1,        121.2589,845.4,880.5,1.3,-22.72,2.19,6.99,0.069,0.0,0.07,Kepler-339,Cyg,G,0.84,0.8,5631.0,0.577314,,,19.5568,48.4446,3,0,0.575,1.361,-2.29,-0.17,-1.0,0.29,0.3,0,0,1,Primary Transit,      2014.00
Kepler-339 d,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.45,1.16,0.92,1.07,1.11,        69.71546,736.2,771.4,1.3,-22.14,2.21,10.56,0.091,0.0,0.09,Kepler-339,Cyg,G,0.84,0.8,5631.0,0.577314,,,19.5568,48.4446,3,0,0.575,1.361,-2.23,-0.17,-0.94,0.29,0.31,0,0,1,Primary Transit,      2014.00
Kepler-340 b,Hot,Superterran,gas,no-atmosphere,non-habitable,3.06,2.53,0.19,0.48,1.1,        328.4397,1084.6,,0.6,-25.52,4.81,14.84,0.134,0.0,0.13,Kepler-340,Cyg,F,2.11,1.85,6620.0,5.897463,,,19.7289,40.3006,2,0,1.733,4.016,-2.4,2.4,-1.08,0.22,0.23,0,0,1,Primary Transit,      2014.00
Kepler-340 c,Hot,Neptunian,gas,metals-rich,non-habitable,7.57,3.37,0.2,0.67,1.5,        186.1338,941.0,,1.5,-25.53,6.41,22.82,0.178,0.0,0.18,Kepler-340,Cyg,F,2.11,1.85,6620.0,5.897463,,,19.7289,40.3006,2,0,1.733,4.016,-2.36,2.68,-0.79,0.21,0.2,0,0,1,Primary Transit,      2014.00
Kepler-341 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.49,1.18,0.92,1.08,1.13,        338.7378,1093.0,1128.3,1.4,-23.88,2.23,5.2,0.06,0.0,0.06,Kepler-341,Lyr,F,0.94,1.02,6012.0,1.2194559999999999,,,19.3241,43.4728,4,0,0.8170000000000001,1.9140000000000001,-2.38,-0.17,-1.07,0.28,0.29,0,0,1,Primary Transit,      2014.00
Kepler-341 c,Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.54,1.7,1.12,1.91,1.8,        190.5400,946.5,988.4,6.2,-24.06,3.24,8.01,0.08,0.0,0.08,Kepler-341,Lyr,F,0.94,1.02,6012.0,1.2194559999999999,,,19.3241,43.4728,4,0,0.8170000000000001,1.9140000000000001,-2.34,-0.15,-0.6,0.29,0.28,0,0,1,Primary Transit,      2014.00
Kepler-341 d,Hot,Superterran,rocky-iron,metals-rich,non-habitable,7.56,1.85,1.2,2.21,2.02,        36.81488,627.6,671.0,9.0,-22.45,3.51,27.67,0.182,0.0,0.18,Kepler-341,Lyr,F,0.94,1.02,6012.0,1.2194559999999999,,,19.3241,43.4728,4,0,0.8170000000000001,1.9140000000000001,-2.16,-0.14,-0.17,0.32,0.3,0,0,1,Primary Transit,      2014.00
Kepler-341 e,Hot,Superterran,rocky-iron,metals-rich,non-habitable,10.17,1.99,1.28,2.56,2.26,        20.82262,544.2,589.2,13.1,-21.99,3.79,42.47,0.242,0.0,0.24,Kepler-341,Lyr,F,0.94,1.02,6012.0,1.2194559999999999,,,19.3241,43.4728,4,0,0.8170000000000001,1.9140000000000001,-2.05,-0.13,0.14,0.33,0.32,0,0,1,Primary Transit,      2014.00
Kepler-342 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,16.81,2.25,1.47,3.32,2.73,        172.0491,922.7,970.4,24.8,-24.56,4.28,15.17,0.128,0.0,0.13,Kepler-342,Cyg,F,1.13,1.47,6175.0,2.818853,,,19.5119,46.7267,4,0,1.23,2.8710000000000004,-2.34,-0.12,0.01,0.3,0.25,0,0,1,Primary Transit,      2014.00
Kepler-342 c,Hot,Superterran,rocky-iron,metals-rich,non-habitable,9.51,1.96,1.26,2.47,2.2,        82.36238,767.5,812.1,12.0,-23.45,3.73,26.23,0.185,0.0,0.18,Kepler-342,Cyg,F,1.13,1.47,6175.0,2.818853,,,19.5119,46.7267,4,0,1.23,2.8710000000000004,-2.27,-0.14,-0.19,0.3,0.27,0,0,1,Primary Transit,      2014.00
Kepler-342 d,Hot,Superterran,rocky-iron,metals-rich,non-habitable,26.25,2.49,1.71,4.25,3.25,        48.13285,671.1,721.3,44.8,-23.39,4.73,39.46,0.242,0.0,0.24,Kepler-342,Cyg,F,1.13,1.47,6175.0,2.818853,,,19.5119,46.7267,4,0,1.23,2.8710000000000004,-2.2,-0.11,0.7,0.3,0.26,0,0,1,Primary Transit,      2014.00
Kepler-342 e,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.58,0.88,0.84,0.74,0.81,        3497.192,1959.2,1990.1,0.5,-25.81,1.68,1.64,0.0284,0.0,0.03,Kepler-342,Cyg,F,1.13,1.47,6175.0,2.818853,,,19.5119,46.7267,4,0,1.23,2.8710000000000004,-2.46,-0.18,-1.38,0.26,0.29,0,0,1,Transit,      2016.00
Kepler-343 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,22.64,2.41,1.62,3.9,3.07,        269.4039,1032.2,1081.6,36.7,-25.2,4.58,8.97,0.088,0.0,0.09,Kepler-343,Lyr,G,1.04,1.43,5807.0,2.086264,,,19.464,42.433,2,0,1.082,2.5469999999999997,-2.36,-0.12,0.12,0.3,0.24,0,0,1,Primary Transit,      2014.00
Kepler-343 c,Hot,Superterran,rocky-iron,metals-rich,non-habitable,10.64,2.02,1.3,2.62,2.3,        74.80598,749.3,794.5,13.8,-23.41,3.83,23.22,0.167,0.0,0.17,Kepler-343,Lyr,G,1.04,1.43,5807.0,2.086264,,,19.464,42.433,2,0,1.082,2.5469999999999997,-2.25,-0.13,-0.11,0.31,0.27,0,0,1,Primary Transit,      2014.00
Kepler-344 b,Hot,Neptunian,gas,metals-rich,non-habitable,3.38,2.61,0.19,0.5,1.14,        40.91346,644.3,,0.6,-23.32,4.96,21.96,0.153,0.0,0.15,Kepler-344,Cyg,G,0.9,0.98,5774.0,0.957743,,,19.5,46.3244,2,0,0.735,1.7309999999999999,-2.17,2.42,-0.86,0.23,0.26,0,0,1,Primary Transit,      2014.00
Kepler-344 c,Hot,Neptunian,gas,metals-rich,non-habitable,4.98,2.95,0.19,0.57,1.3,        4.021698,360.8,,1.0,-21.05,5.6,125.6,0.488,0.0,0.49,Kepler-344,Cyg,G,0.9,0.98,5774.0,0.957743,,,19.5,46.3244,2,0,0.735,1.7309999999999999,-1.5,2.52,-0.41,0.25,0.45,0,0,1,Primary Transit,      2014.00
Kepler-345 b,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.32,0.74,0.8,0.59,0.66,        32.58208,608.7,636.9,0.3,-20.31,1.4,7.42,0.066,0.0,0.07,Kepler-345,Cyg,K,0.59,0.62,4504.0,0.141928,,,19.6819,45.971,2,0,0.301,0.7440000000000001,-2.06,-0.18,-1.21,0.29,0.33,0,0,1,Primary Transit,      2014.00
Kepler-345 c,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.59,1.2,0.93,1.11,1.15,        23.93786,563.5,599.2,1.5,-21.03,2.28,9.39,0.077,0.0,0.08,Kepler-345,Cyg,K,0.59,0.62,4504.0,0.141928,,,19.6819,45.971,2,0,0.301,0.7440000000000001,-2.01,-0.17,-0.79,0.32,0.35,0,0,1,Primary Transit,      2014.00
Kepler-346 b,Hot,Neptunian,gas,no-atmosphere,non-habitable,3.57,2.65,0.19,0.51,1.16,        245.3052,1008.3,,0.7,-25.31,5.05,6.51,0.071,0.0,0.07,Kepler-346,Lyr,F,0.97,1.02,6033.0,1.236584,,,19.2008,46.1176,2,0,0.8220000000000001,1.9240000000000002,-2.36,2.44,-1.02,0.22,0.23,0,0,1,Primary Transit,      2014.00
Kepler-346 c,Hot,Neptunian,gas,metals-rich,non-habitable,5.66,3.07,0.2,0.6,1.36,        43.81320,655.5,,1.1,-23.74,5.83,23.85,0.168,0.0,0.17,Kepler-346,Lyr,F,0.97,1.02,6033.0,1.236584,,,19.2008,46.1176,2,0,0.8220000000000001,1.9240000000000002,-2.19,2.56,-0.7,0.23,0.23,0,0,1,Primary Transit,      2014.00
Kepler-347 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,9.72,1.97,1.27,2.5,2.22,        101.8599,809.4,854.1,12.3,-23.7,3.75,12.8,0.11,0.0,0.11,Kepler-347,Cyg,F,1.04,1.0,6088.0,1.232504,,,19.28,49.3057,2,0,0.818,1.912,-2.29,-0.14,-0.22,0.3,0.27,0,0,1,Primary Transit,      2014.00
Kepler-347 c,Hot,Superterran,rocky-iron,metals-rich,non-habitable,6.1,1.75,1.14,2.0,1.87,        36.80326,627.5,669.8,7.0,-22.32,3.32,27.32,0.183,0.0,0.18,Kepler-347,Cyg,F,1.04,1.0,6088.0,1.232504,,,19.28,49.3057,2,0,0.818,1.912,-2.16,-0.14,-0.29,0.31,0.3,0,0,1,Primary Transit,      2014.00
Kepler-348 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,3.69,1.52,1.04,1.59,1.56,        418.2644,1152.1,1191.9,3.8,-24.68,2.89,7.06,0.076,0.0,0.08,Kepler-348,Cyg,F,1.15,1.36,6177.0,2.415896,,,19.817,40.5484,2,0,1.138,2.658,-2.4,-0.15,-0.84,0.28,0.28,0,0,1,Primary Transit,      2014.00
Kepler-348 c,Hot,Terran,rocky-iron,metals-rich,non-habitable,2.3,1.33,0.97,1.29,1.31,        126.8586,855.0,892.5,2.2,-23.08,2.53,17.27,0.138,0.0,0.14,Kepler-348,Cyg,F,1.15,1.36,6177.0,2.415896,,,19.817,40.5484,2,0,1.138,2.658,-2.32,-0.16,-0.86,0.29,0.3,0,0,1,Primary Transit,      2014.00
Kepler-349 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,8.48,1.9,1.23,2.34,2.11,        231.1255,993.4,1037.4,10.4,-24.52,3.62,5.93,0.065,0.0,0.07,Kepler-349,Cyg,G,0.97,0.93,5956.0,0.976505,,,19.5784,44.6156,2,0,0.7340000000000001,1.7209999999999999,-2.35,-0.14,-0.43,0.29,0.27,0,0,1,Primary Transit,      2014.00
Kepler-349 c,Hot,Superterran,rocky-iron,metals-rich,non-habitable,9.51,1.96,1.26,2.47,2.2,        88.57189,781.6,826.2,12.0,-23.53,3.73,12.25,0.105,0.0,0.1,Kepler-349,Cyg,G,0.97,0.93,5956.0,0.976505,,,19.5784,44.6156,2,0,0.7340000000000001,1.7209999999999999,-2.27,-0.14,-0.21,0.3,0.27,0,0,1,Primary Transit,      2014.00
Kepler-350 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,7.56,1.85,1.2,2.21,2.02,        218.9228,980.0,1023.4,9.0,-24.39,3.51,11.19,0.104,0.0,0.1,Kepler-350,Lyr,F,1.03,1.33,6215.0,2.367869,,,19.0281,39.7061,3,0,1.125,2.623,-2.36,-0.14,-0.48,0.29,0.27,0,0,1,Primary Transit,      2014.00
Kepler-350 c,Hot,Superterran,gas,metals-rich,non-habitable,5.6,3.1,0.19,0.58,1.34,        130.0055,860.3,,1.0,-24.95,5.9,17.85,0.135,0.0,0.13,Kepler-350,Lyr,F,1.03,1.33,6215.0,2.367869,,,19.0281,39.7061,3,0,1.125,2.623,-2.32,2.65,-0.84,0.22,0.22,0,0,1,Primary Transit,      2013.00
Kepler-350 d,Hot,Neptunian,rocky-water,metals-rich,non-habitable,15.26,2.8,0.7,1.95,2.33,        78.18587,757.6,801.7,10.6,-24.18,5.32,26.14,0.174,0.0,0.17,Kepler-350,Lyr,F,1.03,1.33,6215.0,2.367869,,,19.0281,39.7061,3,0,1.125,2.623,-2.27,0.81,-0.09,0.29,0.23,0,0,1,Primary Transit,      2013.00
Kepler-351 b,Hot,Neptunian,gas,metals-rich,non-habitable,5.59,3.06,0.2,0.6,1.35,        14.35292,495.9,,1.1,-22.52,5.81,37.05,0.214,0.0,0.21,Kepler-351,Lyr,G,0.89,0.85,5643.0,0.6573060000000001,,,19.0968,42.6579,3,0,0.613,1.45,-1.95,2.56,-0.56,0.23,0.29,0,0,1,Primary Transit,      2014.00
Kepler-351 c,Hot,Neptunian,gas,metals-rich,non-habitable,6.39,3.19,0.2,0.63,1.42,        7.980022,428.2,,1.3,-21.97,6.07,57.25,0.287,0.0,0.29,Kepler-351,Lyr,G,0.89,0.85,5643.0,0.6573060000000001,,,19.0968,42.6579,3,0,0.613,1.45,-1.78,2.61,-0.41,0.24,0.34,0,0,1,Primary Transit,      2014.00
Kepler-351 d,Hot,Neptunian,gas,metals-rich,non-habitable,3.87,2.72,0.19,0.52,1.19,        2.492044,320.1,,0.7,-20.35,5.17,142.54,0.5136,0.0,0.51,Kepler-351,Lyr,G,0.89,0.85,5643.0,0.6573060000000001,,,19.0968,42.6579,3,0,0.613,1.45,-1.24,2.45,-0.44,0.26,0.55,0,0,1,Transit,      2016.00
