P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Mean (EU),P. Teq Mean (K),P. Ts Mean (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),S. Name,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Age (Gyrs),S. Distance (pc),S. RA (hrs),S. DEC (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
K2-83 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.81,1.24,0.94,1.17,1.21,        40.72012,643.6,679.9,1.7,-21.69,2.36,2.75,0.0301,0.0,0.03,K2-83,Tau,K,0.48,0.42,3910.0,0.036991,,,3.9934,15.5589,2,0,0.156,0.397,-2.05,-0.16,-0.81,0.31,0.32,0,0,1,Transit,      2016.00
K2-83 c,Hot,Terran,rocky-iron,metals-rich,non-habitable,3.35,1.48,1.03,1.52,1.5,        7.274358,418.4,457.7,3.4,-20.2,2.82,10.0,0.0713,0.0,0.07,K2-83,Tau,K,0.48,0.42,3910.0,0.036991,,,3.9934,15.5589,2,0,0.156,0.397,-1.71,-0.16,-0.31,0.36,0.45,0,0,1,Transit,      2016.00
K2-84 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,22.72,2.41,1.62,3.91,3.07,        179.0693,932.0,981.4,36.9,-24.75,4.58,6.42,0.0665,0.0,0.07,K2-84,Tau,G,0.95,0.93,5652.0,0.7918890000000001,,,3.7206,16.6345,2,0,0.6729999999999999,1.591,-2.32,-0.12,0.22,0.3,0.24,0,0,1,Transit,      2016.00
K2-84 c,Hot,Superterran,rocky-iron,metals-rich,non-habitable,10.94,2.03,1.31,2.65,2.32,        25.33377,571.6,617.0,14.3,-22.24,3.86,27.86,0.1768,0.0,0.18,K2-84,Tau,G,0.95,0.93,5652.0,0.7918890000000001,,,3.7206,16.6345,2,0,0.6729999999999999,1.591,-2.08,-0.13,0.15,0.32,0.3,0,0,1,Transit,      2016.00
K2-85 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.9,1.01,0.87,0.88,0.94,        485.4239,1195.8,1228.8,0.8,-23.94,1.92,0.68,0.0126,0.0,0.01,K2-85,Tau,K,0.57,0.51,4268.0,0.077433,,,3.9643,18.4653,1,0,0.22399999999999998,0.56,-2.26,-0.17,-1.2,0.28,0.3,0,0,1,Transit,      2016.00
K2-86 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,9.51,1.96,1.26,2.47,2.2,        78.93901,759.4,804.0,12.0,-23.41,3.73,8.78,0.077,0.0,0.08,K2-86,Tau,G,0.79,0.76,5482.0,0.468029,,,3.4369,18.6356,1,0,0.522,1.2409999999999999,-2.24,-0.14,-0.18,0.31,0.27,0,0,1,Transit,      2016.00
K2-87 b,Hot,Neptunian,gas,metals-rich,non-habitable,19.36,4.6,0.2,0.91,2.05,        86.36777,776.7,,3.9,-25.37,8.75,9.73,0.0876,0.0,0.09,K2-87,Tau,G,0.95,0.93,5406.0,0.662766,,,4.4157,18.8274,1,0,0.624,1.4869999999999999,-2.24,3.23,-0.31,0.2,0.17,0,0,1,Transit,      2016.00
K2-88 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.74,1.23,0.94,1.15,1.19,        7.975145,428.1,464.2,1.6,-19.89,2.34,4.61,0.0345,0.0,0.03,K2-88,Tau,M,0.26,0.26,3537.0,0.009492,,,3.6501,19.1202,1,0,0.08,0.20600000000000002,-1.71,-0.16,-0.62,0.35,0.45,0,0,1,Transit,      2016.00
K2-89 b,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.18,0.61,0.78,0.48,0.54,        79.77581,761.4,787.0,0.1,-20.89,1.17,1.1,0.0146,0.0,0.01,K2-89,Tau,M,0.35,0.32,3691.0,0.017052,,,3.8044,20.4596,1,0,0.107,0.27399999999999997,-2.1,-0.19,-1.35,0.29,0.29,0,0,1,Transit,      2016.00
K2-90 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,11.16,2.04,1.31,2.68,2.34,        7.351605,419.5,465.0,14.7,-20.91,3.88,13.73,0.0926,0.0,0.09,K2-90,Tau,K,0.56,0.49,4136.0,0.063038,,,3.9435,22.4726,2,0,0.203,0.51,-1.72,-0.13,0.48,0.36,0.41,0,0,1,Transit,      2016.00
K2-90 c,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.93,1.02,0.87,0.89,0.95,        58.59445,704.9,738.0,0.8,-21.66,1.94,2.9,0.0328,0.0,0.03,K2-90,Tau,K,0.56,0.49,4136.0,0.063038,,,3.9435,22.4726,2,0,0.203,0.51,-2.11,-0.17,-1.04,0.3,0.32,0,0,1,Transit,      2016.00
K2-91 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.19,1.1,0.9,0.99,1.04,        45.01031,659.9,694.2,1.1,-21.53,2.09,1.42,0.0164,0.0,0.02,K2-91,Tau,M,0.29,0.28,3622.0,0.012106,,,4.2145,24.2051,1,0,0.09,0.23199999999999998,-2.04,-0.17,-0.95,0.31,0.32,0,0,1,Transit,      2016.00
K2-92 b,Hot,Neptunian,gas,no-atmosphere,non-habitable,3.17,2.56,0.19,0.48,1.11,        9634.168,2524.1,,0.6,-29.23,4.87,0.7,0.0157,0.0,0.02,K2-92,Tau,F,1.04,1.38,6098.0,2.362641,,,4.0047,25.48,1,0,1.131,2.645,-2.47,2.41,-1.3,0.21,0.23,0,0,1,Transit,      2016.00
K2-95 b,Hot,Neptunian,rocky-water,hydrogen-rich,non-habitable,530.96,3.7,10.52,38.87,11.99,        5.579791,389.7,460.6,5583.8,-21.92,7.03,10.13,0.0653,0.16,0.06,K2-95,Cnc,M3.5,0.43,0.44,3410.0,0.023486,0.8,,8.6242,18.9767,1,0,0.125,0.327,-1.59,0.27,9.96,0.09,0.36,0,0,1,Primary Transit,      2016.00
K2-97 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,349.73,14.67,0.11,1.62,4.88,        250.6387,1013.7,,38.7,-29.06,28.16,8.41,0.085,0.0,0.08,K2-97,Cnc,,1.16,4.2,,1.8106389999999999,7.8,,8.5175,10.8476,1,0,,,-2.35,10.6,1.23,0.08,0.07,0,0,1,Primary Transit,      2016.00
K2-99 b,Hot,Jovian,gas,metals-rich,non-habitable,308.4,14.45,0.1,1.48,4.62,        447.2092,1163.6,,31.5,-29.68,27.73,18.25,0.159,0.19,0.16,K2-99,Vir,G0 IV,1.6,3.1,5990.0,11.099939,2.4,604.0,13.9183,-5.4425,1,0,2.468,5.785,-2.39,10.45,0.87,0.09,0.06,0,0,1,Primary Transit,      2016.00
K2-105 b,Hot,Neptunian,water-gas,metals-rich,non-habitable,29.89,3.58,0.65,2.33,2.89,        109.5953,824.3,871.0,19.4,-25.08,6.81,8.27,0.0803,0.0,0.08,K2-105,Cnc,G,1.01,0.95,5434.0,0.706018,0.6,220.0,8.3614,13.4975,1,0,0.643,1.531,-2.27,1.27,0.21,0.28,0.2,0,0,1,Primary Transit,      2017.00
K2-106 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,8.36,1.52,2.37,3.6,2.34,        5248.438,2168.5,2215.2,19.8,-27.44,2.89,0.57,0.0116,0.0,0.01,K2-106,Psc,G5V,0.93,0.83,5814.0,0.70623,5.0,253.0,0.872,10.7947,2,0,0.629,1.4809999999999999,-2.45,-0.81,-0.76,0.27,0.28,0,0,1,Primary Transit,      2016.00
K2-106 c,Hot,Superterran,water-gas,metals-rich,non-habitable,5.72,2.46,0.38,0.94,1.52,        65.12082,719.3,756.6,2.2,-23.72,4.68,13.34,0.105,0.18,0.1,K2-106,Psc,G5V,0.93,0.83,5814.0,0.70623,5.0,253.0,0.872,10.7947,2,0,0.629,1.4809999999999999,-2.23,1.34,-0.64,0.27,0.25,0,0,1,Primary Transit,      2016.00
K2-108 b,Hot,Neptunian,gas,metals-rich,non-habitable,59.45,5.28,0.41,2.14,3.36,        763.8855,1331.1,,24.1,-28.06,10.04,4.73,0.0573,0.18,0.06,K2-108,Cnc,G,1.12,1.75,5474.0,2.467091,7.8,262.4,8.2256,16.4197,1,0,1.2,2.852,-2.38,2.68,0.04,0.22,0.15,0,0,1,Primary Transit,      2016.00
K2-110 b,Hot,Neptunian,rocky-water,metals-rich,non-habitable,16.69,2.59,0.96,2.49,2.54,        27.65208,583.5,629.4,16.0,-22.87,4.92,13.86,0.1021,0.08,0.1,K2-110,Vir,K3V,0.74,0.71,5010.0,0.287356,8.0,118.0,13.8233,-12.2845,1,0,0.42,1.014,-2.07,0.4,0.3,0.32,0.27,0,0,1,Primary Transit,      2017.00
K2-136 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.83,0.99,0.86,0.85,0.92,        32.24446,606.0,638.5,0.7,-20.94,1.87,7.98,0.0706,0.1,0.07,K2-136,Tau,K5.5,0.74,0.66,4499.0,0.160119,,59.4,4.4942,22.8828,3,0,0.32,0.7909999999999999,-2.06,-0.17,-1.01,0.3,0.34,0,0,1,Primary Transit,      2017.00
K2-136 c,Hot,Neptunian,gas,metals-rich,non-habitable,5.22,2.99,0.2,0.58,1.32,        11.51690,467.8,,1.0,-22.24,5.69,17.31,0.1184,0.13,0.12,K2-136,Tau,K5.5,0.74,0.66,4499.0,0.160119,,59.4,4.4942,22.8828,3,0,0.32,0.7909999999999999,-1.86,2.54,-0.55,0.24,0.31,0,0,1,Primary Transit,      2017.00
K2-136 d,Hot,Jovian,,,non-habitable,,16.24,,,,        6.851899,410.7,,,-25.37,31.25,25.58,0.1536,0.14,0.15,K2-136,Tau,K5.5,0.74,0.66,4499.0,0.160119,,59.4,4.4942,22.8828,3,0,0.32,0.7909999999999999,-1.71,,,,0.18,0,0,1,Primary Transit,      2017.00
K2-137 b,Hot,Terran,iron,hydrogen-rich,non-habitable,222.56,0.88,321.3,284.28,15.86,        774.7745,1344.1,1426.0,71507.4,-24.16,1.68,0.18,0.0058,0.0,0.01,K2-137,Vir,M3 V,0.46,0.44,3492.0,0.026063,,95.0,12.458,-6.1952,1,0,0.132,0.34299999999999997,-2.2,-2.48,6.63,0.12,0.29,0,0,1,Primary Transit,      2017.00
K2-138 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,4.09,1.57,1.06,1.66,1.62,        485.8884,1196.1,1236.4,4.3,-24.9,2.98,2.35,0.0338,0.0,0.03,K2-138,Aqr,K1V,0.93,0.86,5378.0,0.555098,,183.0,23.2633,-10.8497,5,0,0.5720000000000001,1.365,-2.36,-0.15,-0.83,0.29,0.28,0,0,1,Primary Transit,      2018.00
K2-138 c,Hot,Superterran,gas,no-atmosphere,non-habitable,3.02,2.52,0.19,0.48,1.09,        279.8140,1042.0,,0.6,-25.34,4.79,3.56,0.0445,0.0,0.04,K2-138,Aqr,K1V,0.93,0.86,5378.0,0.555098,,183.0,23.2633,-10.8497,5,0,0.5720000000000001,1.365,-2.33,2.4,-1.07,0.22,0.23,0,0,1,Primary Transit,      2018.00
K2-138 d,Hot,Neptunian,gas,metals-rich,non-habitable,3.57,2.65,0.19,0.51,1.16,        160.3881,906.6,,0.7,-24.84,5.05,5.4,0.0588,0.0,0.06,K2-138,Aqr,K1V,0.93,0.86,5378.0,0.555098,,183.0,23.2633,-10.8497,5,0,0.5720000000000001,1.365,-2.3,2.44,-0.99,0.22,0.23,0,0,1,Primary Transit,      2018.00
K2-138 e,Hot,Neptunian,gas,metals-rich,non-habitable,7.04,3.29,0.2,0.65,1.46,        91.07551,787.0,,1.4,-24.7,6.26,8.26,0.0781,0.0,0.08,K2-138,Aqr,K1V,0.93,0.86,5378.0,0.555098,,183.0,23.2633,-10.8497,5,0,0.5720000000000001,1.365,-2.25,2.64,-0.72,0.22,0.21,0,0,1,Primary Transit,      2018.00
K2-138 f,Hot,Neptunian,gas,metals-rich,non-habitable,4.29,2.81,0.19,0.54,1.24,        51.02715,680.9,,0.8,-23.72,5.34,12.76,0.1043,0.0,0.1,K2-138,Aqr,K1V,0.93,0.86,5378.0,0.555098,,183.0,23.2633,-10.8497,5,0,0.5720000000000001,1.365,-2.18,2.48,-0.81,0.23,0.24,0,0,1,Primary Transit,      2018.00
K2-139 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,121.14,9.09,0.16,1.46,3.65,        15.80837,508.0,,19.5,-25.0,17.35,28.38,0.1811,0.0,0.18,K2-139,Sgr,K,0.92,0.86,5287.0,0.51847,1.8,152.0,19.2711,-17.9106,1,0,0.556,1.329,-1.97,6.07,1.4,0.13,0.16,0,0,1,Primary Transit,      2017.00
K2-141 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,5.09,1.51,1.47,2.23,1.83,        3336.174,1936.2,1978.8,7.5,-26.93,2.87,0.28,0.0075,0.0,0.01,K2-141,Psc,K,0.71,0.68,4599.0,0.186139,6.3,61.0,23.3944,-1.1892,2,0,0.344,0.846,-2.34,-0.46,-0.92,0.28,0.28,0,0,1,Primary Transit,      2017.00
K2-141 c,Hot,Superterran,gas,metals-rich,non-habitable,7.31,6.94,0.02,0.15,1.03,        39.91838,640.4,,0.2,-25.42,13.23,7.75,0.0683,0.0,0.07,K2-141,Psc,K,0.71,0.68,4599.0,0.186139,6.3,61.0,23.3944,-1.1892,2,0,0.344,0.846,-2.1,9.4,-0.95,0.09,0.14,0,0,1,Primary Transit,      2018.00
K2-216 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,7.92,1.8,1.35,2.43,2.1,        243.9196,1006.8,1051.0,10.7,-24.46,3.43,2.17,0.028,0.0,0.03,K2-216,Psc,K5V,0.7,0.72,4503.0,0.191233,,115.8,0.7653,6.3469,1,0,0.35,0.8640000000000001,-2.25,-0.26,-0.45,0.3,0.27,0,0,1,Primary Transit,      2018.00
kappa And b,Cold,Jovian,gas,hydrogen-rich,non-habitable,4451.16,13.44,1.83,24.64,18.2,      0.02591204,102.2,,8161.1,-18.86,25.76,,55.0,0.0,55.0,kappa And,And,B9IV,2.8,2.29,11361.0,78.383925,0.03,51.6,23.6736,44.3339,1,0,6.138999999999999,14.148,11.2,15.85,33.07,0.03,0.09,0,0,1,Imaging,      2013.00
kappa CrB b,Hot,Jovian,gas,hydrogen-rich,non-habitable,508.7,11.0,0.38,4.2,6.8,        2.045475,302.6,,194.3,-23.21,21.03,1251.0,2.6,0.19,2.55,kappa CrB,CrB,K1IVa,1.51,5.0,4960.0,13.575524,2.5,31.1,15.8539,35.6575,1,0,2.891,7.002000000000001,-1.14,7.11,5.78,0.1,0.4,0,0,1,Radial Velocity,      2007.00
Kapteyn b,Warm,Terran,rocky-iron,metals-rich,psychroplanet,4.8,1.64,1.09,1.79,1.71,       0.4342851,205.1,246.2,5.2,-17.37,3.11,48.62,0.168,0.21,0.16,Kapteyn,Pic,M1,0.28,0.29,3550.0,0.011984,8.0,3.91,5.1947,-45.0183,2,1,0.08900000000000001,0.23199999999999998,0.12,-0.15,0.57,0.63,0.67,1,0,0,Radial Velocity,      2014.00
Kapteyn c,Cold,Superterran,rocky-iron,hydrogen-rich,non-habitable,7.0,1.81,1.18,2.13,1.97,       0.1273154,150.6,193.7,8.2,-16.25,3.44,121.54,0.311,0.23,0.3,Kapteyn,Pic,M1,0.28,0.29,3550.0,0.011984,8.0,3.91,5.1947,-45.0183,2,1,0.08900000000000001,0.23199999999999998,2.15,-0.14,1.34,0.28,0.41,0,0,0,Radial Velocity,      2014.00
KELT-1 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,8705.2,12.5,4.46,55.72,26.39,        5727.489,2216.3,,38807.0,-32.12,23.93,1.22,0.0247,0.01,0.02,KELT-1,And,F5,1.33,1.47,6516.0,3.49977,1.75,263.0,0.0239,39.3836,1,0,1.3430000000000002,3.116,-2.49,22.02,9.11,0.04,0.07,0,0,1,Primary Transit,      2012.00
KELT-2 A b,Hot,Jovian,gas,hydrogen-rich,non-habitable,472.46,14.63,0.15,2.21,5.68,        1464.055,1565.7,,71.3,-31.0,28.08,4.11,0.055,0.18,0.05,KELT-2 A,Aur,F7V,1.31,1.84,6148.0,4.349151999999999,,128.9,6.1775,30.9572,1,0,1.53,3.574,-2.44,10.49,1.03,0.08,0.06,0,0,1,Primary Transit,      2012.00
KELT-3 b,Hot,Jovian,gas,metals-rich,non-habitable,450.84,14.93,0.14,2.02,5.5,        1836.071,1667.7,,61.1,-31.27,28.67,2.7,0.0412,0.0,0.04,KELT-3,LMi,F,1.28,1.48,6304.0,3.112083,3.0,178.0,9.9094,40.3881,1,0,1.2819999999999998,2.986,-2.46,10.78,0.87,0.08,0.06,0,0,1,Primary Transit,      2012.00
KELT-4 A b,Hot,Jovian,gas,metals-rich,non-habitable,281.06,19.11,0.04,0.77,3.84,        1849.676,1670.5,,11.3,-31.82,36.95,2.99,0.0432,0.03,0.04,KELT-4 A,Leo,F,1.2,1.61,6207.0,3.451982,4.38,211.0,10.4708,25.5732,1,0,1.358,3.1689999999999996,-2.45,14.97,0.08,0.06,0.05,0,0,1,Radial Velocity,      2013.00
KELT-6 b,Hot,Jovian,gas,metals-rich,non-habitable,140.53,13.22,0.06,0.8,3.26,        507.3780,1209.0,,8.6,-29.6,25.32,7.85,0.08,0.03,0.08,KELT-6,Com,F,1.13,1.53,6272.0,3.245854,4.9,,13.0656,30.64,2,1,1.3119999999999998,3.057,-2.41,10.12,0.08,0.09,0.07,0,0,1,Primary Transit,      2013.00
KELT-6 c,Warm,Jovian,gas,hydrogen-rich,non-habitable,1179.56,11.64,0.75,8.7,10.07,       0.5812023,220.6,,881.9,-21.96,22.26,1276.0,2.39,0.21,2.34,KELT-6,Com,F,1.13,1.53,6272.0,3.245854,4.9,,13.0656,30.64,2,1,1.3119999999999998,3.057,0.25,8.41,11.28,0.07,0.39,0,1,1,Radial Velocity,      2015.00
KELT-7 b,Hot,Jovian,gas,metals-rich,non-habitable,410.14,17.17,0.08,1.39,4.89,        2933.239,1874.9,,33.2,-32.09,33.09,2.73,0.0442,0.0,0.04,KELT-7,Aur,F,1.53,1.73,6789.0,5.717536,1.3,129.0,5.2197,33.3181,1,0,1.6909999999999998,3.91,-2.48,12.89,0.45,0.07,0.05,0,0,1,Primary Transit,      2015.00
KELT-8 b,Hot,Jovian,gas,metals-rich,non-habitable,277.88,20.83,0.03,0.64,3.65,        1313.548,1533.4,,8.5,-31.63,40.42,3.24,0.0457,0.04,0.05,KELT-8,Her,G2V,1.21,1.67,5754.0,2.742851,5.4,236.0,18.8869,24.1275,1,0,1.245,2.9339999999999997,-2.42,16.64,0.07,0.06,0.05,0,0,1,Primary Transit,      2015.00
KELT-10 b,Hot,Jovian,gas,metals-rich,non-habitable,215.88,15.67,0.06,0.88,3.71,        595.5355,1258.6,,12.1,-30.15,30.12,4.17,0.0525,0.0,0.05,KELT-10,Tel,G,1.11,1.21,5948.0,1.641445,4.5,183.0,18.9697,-47.0033,1,0,0.9520000000000001,2.2319999999999998,-2.4,11.96,0.29,0.08,0.06,0,0,1,Primary Transit,      2015.00
KELT-11 b,Hot,Jovian,gas,metals-rich,non-habitable,62.0,15.34,0.02,0.26,2.01,        1422.617,1564.6,,1.1,-31.05,29.48,4.74,0.0623,0.0,0.06,KELT-11,Sex,G8,1.44,2.72,5370.0,5.519818,,98.0,10.7806,-9.3992,1,0,1.805,4.306,-2.39,14.3,-0.75,0.06,0.06,0,0,1,Primary Transit,      2016.00
KELT-15 b,Hot,Jovian,gas,metals-rich,non-habitable,292.5,16.16,0.07,1.12,4.25,        1200.899,1499.8,,20.3,-30.98,31.09,3.33,0.0461,0.0,0.05,KELT-15,Car,F,1.18,1.48,6003.0,2.555485,,201.0,7.8278,-52.1206,1,0,1.183,2.773,-2.43,12.12,0.39,0.07,0.06,0,0,1,Primary Transit,      2015.00
KELT-16 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,874.34,15.85,0.22,3.48,7.43,        6006.622,2242.9,,192.1,-32.69,30.47,0.97,0.0204,0.0,0.02,KELT-16,Cyg,F7V,1.21,1.36,6236.0,2.509528,2.9,365.0,20.9512,31.661,1,0,1.156,2.696,-2.48,12.03,1.3,0.07,0.06,0,0,1,Primary Transit,      2016.00
KELT-17 b,Hot,Jovian,gas,metals-rich,non-habitable,416.5,17.08,0.08,1.43,4.94,        3146.021,1908.0,,34.8,-32.15,32.91,3.08,0.0488,0.0,0.05,KELT-17,Cnc,A,1.64,1.65,7454.0,7.4951300000000005,,210.0,8.3744,13.7353,1,0,1.8980000000000001,4.375,-2.49,12.8,0.46,0.07,0.05,0,0,1,Primary Transit,      2015.00
KELT-18 b,Hot,Jovian,gas,metals-rich,non-habitable,375.17,17.58,0.07,1.21,4.62,        3122.677,1904.5,,25.9,-32.21,33.91,2.87,0.0455,0.0,0.05,KELT-18,UMa,F4V,1.52,1.91,6670.0,6.464722,1.9,311.0,14.435,59.4442,1,0,1.8090000000000002,4.19,-2.48,13.31,0.32,0.07,0.05,0,0,1,Primary Transit,      2017.00
KELT-19 A b,Hot,Jovian,gas,hydrogen-rich,non-habitable,1294.02,21.39,0.13,2.83,7.78,        2345.266,1772.9,,171.1,-32.32,41.56,4.61,0.0637,0.0,0.06,KELT-19 A,CMi,A8V,1.62,1.83,7500.0,9.506861,1.1,255.0,7.4342,7.6158,1,0,2.138,4.927,-2.49,18.24,1.84,0.05,0.04,0,0,1,Primary Transit,      2017.00
KELT-20 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,1118.51,19.43,0.15,2.96,7.59,        4841.678,2125.2,,170.5,-32.9,37.6,3.47,0.0542,0.0,0.05,KELT-20,Cyg,A2V,2.0,1.56,8981.0,14.223104999999999,0.3,,19.6441,31.2192,1,0,2.615,6.027,-2.5,15.92,1.45,0.06,0.05,0,0,1,Primary Transit,      2017.00
KELT-21 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,1243.15,17.76,0.22,3.94,8.37,        2939.737,1876.0,,275.7,-32.16,34.26,3.61,0.0522,0.0,0.05,KELT-21,Cyg,A8V,1.46,1.64,7598.0,8.022594,1.6,415.0,20.32,32.5811,1,0,1.964,4.526,-2.49,14.54,2.0,0.06,0.05,0,0,1,Primary Transit,      2017.00
Kepler-4 b,Hot,Neptunian,water-gas,metals-rich,non-habitable,26.21,4.0,0.41,1.64,2.56,        1122.750,1474.7,1518.9,10.8,-27.86,7.6,3.21,0.0456,0.0,0.05,Kepler-4,Dra,G0,1.22,1.49,5857.0,2.3346009999999997,4.5,550.0,19.0411,50.1358,1,0,1.141,2.6830000000000003,-2.42,1.97,-0.44,0.24,0.18,0,0,1,Primary Transit,      2010.00
Kepler-5 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,672.13,16.03,0.16,2.62,6.48,        1768.470,1652.1,,109.7,-31.38,30.83,3.55,0.0506,0.0,0.05,Kepler-5,Cyg,F,1.37,1.79,6297.0,4.535083,,,19.9606,44.035,1,0,1.5490000000000002,3.6069999999999998,-2.46,11.93,1.35,0.08,0.06,0,0,1,Primary Transit,      2010.00
Kepler-6 b,Hot,Jovian,gas,metals-rich,non-habitable,212.7,14.82,0.07,0.97,3.79,        846.3564,1374.1,,13.9,-30.41,28.45,3.23,0.0457,0.0,0.05,Kepler-6,Cyg,G,1.21,1.39,5647.0,1.7652869999999998,3.8,,19.7892,48.24,1,0,1.005,2.376,-2.4,11.14,0.25,0.08,0.06,0,0,1,Primary Transit,      2010.00
Kepler-7 b,Hot,Jovian,gas,metals-rich,non-habitable,137.67,18.08,0.02,0.42,2.76,        1168.607,1486.8,,3.2,-31.2,34.89,4.89,0.0625,0.1,0.06,Kepler-7,Lyr,G,1.36,2.02,5933.0,4.5361769999999995,3.5,,19.2389,41.0897,1,0,1.5830000000000002,3.716,-2.43,15.14,-0.35,0.06,0.05,0,0,1,Primary Transit,      2010.00
Kepler-8 b,Hot,Jovian,gas,metals-rich,non-habitable,191.72,15.89,0.05,0.76,3.47,        1265.431,1519.5,,9.2,-31.0,30.56,3.52,0.0483,0.0,0.05,Kepler-8,Lyr,F,1.21,1.49,6213.0,2.952112,3.84,1330.0,18.7525,42.4511,1,0,1.256,2.929,-2.44,12.34,-0.01,0.07,0.06,0,0,1,Primary Transit,      2010.00
Kepler-9 b,Hot,Neptunian,gas,metals-rich,non-habitable,45.12,11.09,0.03,0.37,2.02,        57.02262,699.6,,1.5,-26.84,21.2,19.22,0.143,0.06,0.14,Kepler-9,Lyr,G,1.0,1.1,5722.0,1.163769,3.0,,19.0383,38.4008,3,0,0.812,1.9169999999999998,-2.21,10.13,-0.26,0.09,0.1,0,0,1,Primary Transit,      2010.00
Kepler-9 c,Hot,Neptunian,gas,metals-rich,non-habitable,31.01,10.69,0.03,0.27,1.7,        22.24406,552.8,,0.8,-25.73,20.43,39.03,0.229,0.07,0.23,Kepler-9,Lyr,G,1.0,1.1,5722.0,1.163769,3.0,,19.0383,38.4008,3,0,0.812,1.9169999999999998,-2.06,10.65,-0.33,0.08,0.13,0,0,1,Primary Transit,      2010.00
Kepler-9 d,Hot,Superterran,rocky-water,metals-rich,non-habitable,5.25,2.0,0.66,1.32,1.62,        1561.498,1601.5,1640.8,3.5,-26.71,3.8,1.59,0.0273,0.0,0.03,Kepler-9,Lyr,G,1.0,1.1,5722.0,1.163769,3.0,,19.0383,38.4008,3,0,0.812,1.9169999999999998,-2.42,0.5,-0.95,0.27,0.26,0,0,1,Primary Transit,      2010.00
Kepler-10 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,3.33,1.47,1.05,1.54,1.5,        3811.608,2000.5,2039.8,3.5,-27.01,2.8,0.84,0.0169,0.06,0.02,Kepler-10,Dra,G,0.91,1.06,5708.0,1.080252,10.6,173.0,19.0453,50.2414,2,0,0.7829999999999999,1.849,-2.44,-0.18,-1.08,0.27,0.28,0,0,1,Primary Transit,      2011.00
Kepler-10 c,Hot,Superterran,rocky-iron,metals-rich,non-habitable,19.19,2.32,1.54,3.56,2.88,        18.62234,529.0,577.5,29.5,-22.2,4.41,45.29,0.241,0.05,0.24,Kepler-10,Dra,G,0.91,1.06,5708.0,1.080252,10.6,173.0,19.0453,50.2414,2,0,0.7829999999999999,1.849,-2.02,-0.12,0.69,0.32,0.31,0,0,1,Primary Transit,      2011.00
Kepler-11 b,Hot,Terran,water-gas,no-atmosphere,non-habitable,1.9,1.8,0.33,0.59,1.03,        136.4539,870.7,902.7,0.6,-23.82,3.42,10.3,0.091,0.0,0.09,Kepler-11,Cyg,G,0.95,1.1,5680.0,1.129974,8.0,,19.8078,41.9092,6,0,0.802,1.896,-2.3,1.29,-1.06,0.26,0.27,0,0,1,Primary Transit,      2011.00
Kepler-11 c,Hot,Terran,gas,no-atmosphere,non-habitable,2.9,2.87,0.12,0.35,1.01,        100.5673,806.8,,0.4,-24.5,5.45,13.03,0.106,0.0,0.11,Kepler-11,Cyg,G,0.95,1.1,5680.0,1.129974,8.0,,19.8078,41.9092,6,0,0.802,1.896,-2.27,3.3,-1.04,0.19,0.23,0,0,1,Primary Transit,      2011.00
Kepler-11 d,Hot,Superterran,gas,metals-rich,non-habitable,7.3,3.12,0.24,0.75,1.53,        44.69659,658.7,,1.8,-23.8,5.93,22.69,0.159,0.0,0.16,Kepler-11,Cyg,G,0.95,1.1,5680.0,1.129974,8.0,,19.8078,41.9092,6,0,0.802,1.896,-2.18,2.26,-0.58,0.24,0.23,0,0,1,Primary Transit,      2011.00
